key,mean,std,min,max,skew,kurt,trend_slope,max_drawdown,std_cm,skew_cm,kurt_cm,trend_slope_cm,max_drawdown_cm,date,stock_id
20210126-3228,237.504,20.71290161549881,213.4,281.3,1.1746882221174888,0.14863066331615338,5.240727272727275,-0.09465020576131689,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210126,3228
20210127-8024,19.794999999999998,1.9192026700921632,17.87,23.71,0.8795770939495449,-0.36550679378124196,0.241878787878788,-0.15428300993847602,中等波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210127,8024
20210128-4576,134.304,18.678419038499428,116.45,171.31,0.9689664187370309,-0.5635224571275828,5.818545454545455,-0.019714144898964937,高波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210128,4576
20210201-3086,140.116,14.739903663185865,110.41,158.86,-1.037752736642984,-0.219767037158364,3.3167272727272734,-0.1150069243358933,高波動,分布明顯左偏（偶爾有低價）,接近常態,明顯上升,股價有明顯跌幅,20210201,3086
20210201-3219,80.146,8.867138082706159,67.7,97.26,0.5023665140517182,-0.4713406921611156,2.850060606060607,0.0,高波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210201,3219
20210201-3552,316.552,27.094692305156578,285.35,356.69,0.3450691717376718,-1.2474450897474822,7.5168484848484844,-0.10000280355490766,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210201,3552
20210204-3086,146.471,6.100084607792119,138.21,158.86,0.6877042100585852,-0.2444349096866829,-1.1453939393939403,-0.12998866926853836,高波動,分布略偏右,接近常態,明顯下降,股價有明顯跌幅,20210204,3086
20210204-3219,94.26,17.870115960576314,75.33,128.73,0.9902115562241032,-0.6478761276739449,5.548484848484848,0.0,高波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210204,3219
20210218-3086,144.169,4.668695868346023,138.21,150.92,0.32931217469265933,-1.363351426245469,-0.9958181818181833,-0.08421680360455858,高波動,分布略偏右,分布平坦（較均勻）,明顯下降,股價小幅回調,20210218,3086
20210218-6482,41.602999999999994,2.265691211676178,37.54,45.34,-0.22572177172154342,-0.5654304083965864,0.028181818181818065,-0.1327745919717689,中等波動,分布接近對稱,接近常態,趨勢相對平穩,股價有明顯跌幅,20210218,6482
20210218-6485,78.215,4.104109728877463,72.66,83.66,-0.31242178763203515,-1.4545734899509992,0.9252727272727272,-0.08764439979909598,高波動,分布略偏左,分布平坦（較均勻）,明顯上升,股價小幅回調,20210218,6485
20210218-6547,126.48299999999999,9.41935247833475,115.81,145.01,0.8163146333892,-0.5716830663488999,-0.9965454545454535,-0.20136542307427066,高波動,分布略偏右,接近常態,明顯下降,股價有明顯跌幅,20210218,6547
20210218-8087,19.912,0.807655041875346,18.36,21.06,-0.49905438984144224,-0.48463168038830107,0.06193939393939408,-0.09211775878442535,低波動,分布略偏左,接近常態,略有上升,股價小幅回調,20210218,8087
20210219-3138,406.838,27.04110032278023,354.99,456.15,-0.07889281744402116,0.17094032689612781,6.7776969696969696,-0.09999239408767081,高波動,分布接近對稱,接近常態,明顯上升,股價小幅回調,20210219,3138
20210219-3169,100.348,8.63494811153425,88.79,111.44,-0.11302717892668893,-1.5052809248640884,1.6830303030303033,-0.14231873653984206,高波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210219,3169
20210219-4961,268.131,10.666885883164047,245.12,282.27,-0.9979892265773572,0.2940741408924965,0.03690909090909305,-0.13161157756757708,高波動,分布略偏左,接近常態,趨勢相對平穩,股價有明顯跌幅,20210219,4961
20210222-2009,29.517000000000003,1.5017770954587246,27.58,31.65,0.27237314697843346,-1.4510855212399187,-0.4068484848484849,-0.12859399684044234,中等波動,分布接近對稱,分布平坦（較均勻）,明顯下降,股價有明顯跌幅,20210222,2009
20210222-3483,91.26500000000001,2.0651836076565515,88.08,94.37,0.10902200131139832,-0.9991945587296125,-0.010606060606060463,-0.0666525378828018,中等波動,分布接近對稱,接近常態,趨勢相對平穩,股價小幅回調,20210222,3483
20210222-6589,63.864999999999995,4.2853477753334746,58.15,71.19,0.5096759666807212,-1.0354136092302173,1.2772727272727271,-0.05141171512852924,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價小幅回調,20210222,6589
20210223-6482,40.227999999999994,2.8680880197247904,35.53,43.41,-0.6588930887910318,-0.94442628898235,-0.6916363636363633,-0.18152499424095822,中等波動,分布略偏左,接近常態,明顯下降,股價有明顯跌幅,20210223,6482
20210223-6485,79.172,4.234978158149106,72.57,85.01,-0.33983945380652214,-1.14591498895648,0.35612121212121217,-0.1325603633755678,高波動,分布略偏左,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210223,6485
20210223-6547,125.276,7.7800274206886115,115.81,137.63,0.5401638064789972,-1.1116228534896193,2.0472727272727282,-0.07612355438442399,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價小幅回調,20210223,6547
20210223-6642,60.004999999999995,3.955834649954137,54.97,66.41,0.26084514356397887,-1.1169510416476647,0.31581818181818194,-0.15916277669025738,高波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210223,6642
20210223-6716,71.841,4.020559524355895,64.1,77.39,-0.6200341692142018,-0.38871622705252884,0.10696969696969724,-0.13309213076624885,高波動,分布略偏左,接近常態,略有上升,股價有明顯跌幅,20210223,6716
20210223-8054,35.588,1.125302922179919,33.43,36.98,-1.0444288833269628,-0.3045585396807402,0.021090909090909233,-0.09599783666846938,中等波動,分布明顯左偏（偶爾有低價）,接近常態,趨勢相對平穩,股價小幅回調,20210223,8054
20210223-8427,51.660000000000004,0.6501281924871937,51.0,52.9,0.7445753102615323,-0.7743865829427579,-0.19757575757575738,-0.03591682419659733,低波動,分布略偏右,接近常態,略有下降,股價一路上漲,20210223,8427
20210224-2465,23.543,1.505494012682289,21.47,26.47,0.471534956637061,-0.5337130312496208,0.4275757575757577,-0.04873726185201601,中等波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210224,2465
20210224-3073,31.389999999999997,0.8884443332777431,30.2,33.45,1.4047018139558667,1.043920702269018,0.053333333333333115,-0.07473841554559053,低波動,分布明顯右偏（偶爾有高價）,常有極端值,略有上升,股價小幅回調,20210224,3073
20210224-3078,45.04,2.580245466359096,42.52,50.99,1.5083700188069176,0.7711459132189393,-0.25430303030303053,-0.16611100215728572,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯下降,股價有明顯跌幅,20210224,3078
20210224-3228,359.578,19.3743609500345,325.92,397.7,0.10667853578878389,0.23570754535688287,5.396363636363636,-0.03878116343490316,高波動,分布接近對稱,接近常態,明顯上升,股價一路上漲,20210224,3228
20210224-7556,137.598,7.833459289767481,123.8,149.64,-0.25260820789120575,-0.711021611200549,-0.20933333333333204,-0.17268110130981015,高波動,分布接近對稱,接近常態,明顯下降,股價有明顯跌幅,20210224,7556
20210225-2375,117.13,11.16648258554741,101.96,144.3,1.561041430092302,1.8144493086239173,-1.1852121212121218,-0.2934164934164935,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯下降,股價有明顯跌幅,20210225,2375
20210225-3122,20.06,1.0881584851890325,18.04,21.76,-0.4701774229808572,-0.4002550787242569,-0.08206060606060615,-0.17095588235294126,中等波動,分布略偏左,接近常態,略有下降,股價有明顯跌幅,20210225,3122
20210225-4162,64.199,1.9196206222411019,62.11,68.9,1.710516892166765,1.7255284515202707,-0.43024242424242465,-0.0985486211901307,中等波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯下降,股價小幅回調,20210225,4162
20210225-4743,224.474,5.761227106943258,215.25,232.82,0.03442601002625959,-1.2225122012709622,0.5378181818181819,-0.05950976536898678,高波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價小幅回調,20210225,4743
