key,mean,std,min,max,skew,kurt,trend_slope,max_drawdown,std_cm,skew_cm,kurt_cm,trend_slope_cm,max_drawdown_cm,date,stock_id
20210104-2609,10.5685,3.0180043510833268,7.28,16.57,0.846570095257433,-0.7344097657152111,0.48244360902255656,-0.049019607843137296,高波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210104,2609
20210104-6129,11.938500000000001,2.189999459264533,8.57,16.85,0.5722049025452582,-0.33926755124498653,0.32665413533834603,-0.16831683168316838,中等波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210104,6129
20210105-2415,17.875999999999998,2.4173417326955615,16.07,24.84,1.953207381669856,2.0525389475140887,0.25102255639097754,-0.07430875576036862,中等波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210105,2415
20210105-3228,183.279,15.794483347375637,155.2,215.82,0.24744597920292427,-0.717927732962409,0.1611879699248115,-0.22889650717941085,高波動,分布接近對稱,接近常態,略有上升,股價有明顯跌幅,20210105,3228
20210106-1593,53.209500000000006,7.289841868908011,47.58,75.31,2.211893023383012,3.0176215331093523,0.81506015037594,-0.06426931905126242,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210106,1593
20210106-2611,8.065999999999999,1.7636666351666355,6.38,12.39,1.106319998117765,0.0644726321879796,0.27290225563909776,-0.1291512915129152,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價有明顯跌幅,20210106,2611
20210106-3086,31.8915,8.60016724133591,25.89,54.01,1.5710070917386543,0.7654974831161279,1.1680526315789475,-0.06331403762662807,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210106,3086
20210106-5468,14.6805,1.509564158082862,12.54,18.05,0.9258447159985924,0.1396723291440387,0.09599248120300752,-0.17608409986859405,中等波動,分布略偏右,接近常態,略有上升,股價有明顯跌幅,20210106,5468
20210106-8087,9.048,2.4578330207511523,7.35,15.33,1.550478300809152,0.6958494890234008,0.33957894736842115,-0.03416557161629444,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210106,8087
20210107-3339,14.1035,1.657036908396875,12.41,18.97,1.6690696151682716,2.1210116950117843,0.07982706766917289,-0.1563562202583277,中等波動,分布明顯右偏（偶爾有高價）,常有極端值,略有上升,股價有明顯跌幅,20210107,3339
20210108-3138,124.47850000000001,38.02840604144002,77.96,212.06,0.8313695262220252,-0.19142616958451875,6.073466165413535,-0.09720143669559998,高波動,分布略偏右,接近常態,明顯上升,股價小幅回調,20210108,3138
20210108-4946,66.19,9.969896795115947,57.1,92.8,1.5150593869611484,0.900744643064384,1.1293233082706766,-0.1295731707317072,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價有明顯跌幅,20210108,4946
20210108-4961,133.33499999999998,31.067020167780225,84.62,191.66,0.49951921719521997,-0.8157874377137202,5.009413533834586,-0.10585604240868053,高波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210108,4961
20210111-1593,57.86749999999999,12.523617635659848,48.92,86.71,1.3018637456850883,-0.08209414282137795,1.753015037593985,-0.04732229795520934,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210111,1593
20210111-3086,37.6545,14.757500670934478,25.89,71.81,1.1606650276968424,-0.18402113547080123,2.2281428571428576,-0.0544733044733044,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210111,3086
20210111-3552,186.407,27.497740404775442,165.98,259.67,1.5983275276152964,0.8686761160438916,3.6341654135338355,-0.058305589626774144,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210111,3552
20210111-3661,629.219,63.82725452344009,572.95,779.52,1.5715367282670476,0.7093916506813751,8.204556390977446,-0.06533346121874783,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210111,3661
20210111-8087,10.604000000000001,3.9684617197413696,7.35,18.5,1.0228541839778882,-0.587056994725935,0.6068120300751881,-0.014745308310992,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210111,8087
20210113-3138,149.26299999999998,54.643653081627534,84.45,257.08,0.8490887349669277,-0.5565199353935371,8.727233082706768,-0.09720143669559998,高波動,分布略偏右,接近常態,明顯上升,股價小幅回調,20210113,3138
20210113-3297,18.985,3.9318905322878392,14.6,27.1,0.6994264627857106,-0.8907626231112746,0.39293233082706774,-0.4003690036900369,高波動,分布略偏右,接近常態,明顯上升,股價大幅波動（腰斬級）,20210113,3297
20210114-1533,38.9505,7.138860645494456,32.79,55.03,1.3579504948824817,0.4058760974664857,1.0625338345864663,-0.03922567498726437,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210114,1533
20210114-5468,14.7745,1.8853325129033673,12.49,18.36,0.6309630809635595,-0.8080978326187829,0.04024812030075194,-0.31971677559912853,中等波動,分布略偏右,接近常態,趨勢相對平穩,股價大幅波動（腰斬級）,20210114,5468
20210115-3685,19.7825,2.599396438041967,18.09,27.81,2.293238000048235,3.330064576273517,0.317406015037594,-0.03440974060349403,中等波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價一路上漲,20210115,3685
20210115-4760,83.7895,11.679369339048016,71.26,111.8,1.430294429866276,0.4938888048977952,1.6588195488721809,-0.0824105073396857,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210115,4760
20210115-6228,16.986,2.302315539213785,15.37,22.67,1.8048024147911268,1.307310325941244,0.2459398496240602,-0.08945497630331753,中等波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210115,6228
20210118-2354,52.872,7.4731094071026645,47.21,69.94,1.5209032906176807,0.40984575938419354,1.0501804511278199,-0.01687160423219892,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210118,2354
20210120-3685,21.805500000000002,5.021887331314896,18.09,33.61,1.3994626024394174,0.131440154720035,0.7041729323308271,-0.07081225825647126,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210120,3685
20210126-3228,212.2105,26.022833187515587,167.81,260.93,0.09860745041144049,-0.8387179004281484,3.9227744360902266,-0.1505421184320266,高波動,分布接近對稱,接近常態,明顯上升,股價有明顯跌幅,20210126,3228
20210127-8024,13.373,2.3206897794904804,10.74,19.2,1.1425230725337123,0.20046056880195406,0.35787969924812035,-0.04419889502762435,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210127,8024
20210128-4576,94.5565,12.508245817102123,85.65,129.93,2.001953197411653,2.1295350338967136,1.5224586466165417,-0.0537022859017829,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210128,4576
20210201-3086,67.752,11.894427089585848,49.17,92.54,0.5216863982990197,-0.7273492224588276,0.782556390977444,-0.34765534765534767,高波動,分布略偏右,接近常態,明顯上升,股價大幅波動（腰斬級）,20210201,3086
20210201-3219,45.589,6.853463127653441,41.0,65.89,2.0755557678262275,2.5823450811322735,0.6706917293233084,-0.10048266783677048,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價有明顯跌幅,20210201,3219
20210201-3552,255.296,28.586591704209123,207.83,325.3,0.7210751883687653,0.22709099983776282,3.904842105263159,-0.1344912388564402,高波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210201,3552
20210204-3086,76.2825,18.422630498212904,56.48,121.13,1.0839215986525599,0.14473595167193176,1.7543984962406018,-0.34765534765534767,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價大幅波動（腰斬級）,20210204,3086
20210204-3219,49.4365,11.263668783912465,41.0,72.18,1.1316723262342612,-0.5699795120943691,1.5509699248120308,-0.07927240062878961,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210204,3219
20210218-3086,87.38250000000001,31.421854425324998,56.48,158.86,1.041159068934476,-0.24132711175061328,4.225661654135339,-0.34765534765534767,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價大幅波動（腰斬級）,20210218,3086
20210218-6482,21.591,3.147376350984554,19.31,31.05,2.161096202059389,2.844257716879379,0.35243609022556394,-0.07430488974113139,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210218,6482
20210218-6485,39.9625,8.630053287022168,29.26,60.4,0.8844326778307047,-0.15754993512466253,1.3791353383458647,-0.06468577438864057,高波動,分布略偏右,接近常態,明顯上升,股價小幅回調,20210218,6485
20210218-6547,75.36749999999999,11.56023851283719,65.93,109.43,2.059203314904774,2.519780721185783,1.4704887218045115,-0.0779020979020978,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210218,6547
20210218-8087,18.136000000000003,2.4824529464984733,13.72,22.0,-0.518890985751619,-1.1442410585682459,-0.156421052631579,-0.3257985257985258,中等波動,分布略偏左,分布平坦（較均勻）,略有下降,股價大幅波動（腰斬級）,20210218,8087
20210219-3138,273.967,56.176955576951116,195.82,398.61,0.5401044233079555,-0.5591860760595182,8.202090225563913,-0.25704746367188985,高波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210219,3138
20210219-3169,56.58,8.197695439958464,49.29,80.81,1.9856367315693848,2.4770826761757396,1.011684210526316,-0.09394463667820069,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210219,3169
20210219-4961,196.124,27.39205559051171,164.28,271.19,1.2845305042418982,1.2191240364276181,1.549338345864662,-0.20252427184466018,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價有明顯跌幅,20210219,4961
20210222-2009,21.9095,2.1887763344173075,18.45,26.45,0.8007410029890579,-0.3122017833366795,0.02821804511278191,-0.2873696407879491,中等波動,分布略偏右,接近常態,趨勢相對平穩,股價有明顯跌幅,20210222,2009
20210222-3483,68.68050000000001,7.262213288117148,61.24,87.24,1.8585742763231357,1.715455834532042,0.7112406015037595,-0.09874908020603386,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210222,3483
20210222-6589,40.045,5.475682605849249,36.11,55.9,1.8745501195334877,1.9504501689984837,0.6718496240601506,-0.0632944228274967,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價小幅回調,20210222,6589
20210223-6482,24.2405,6.641148818659234,19.31,41.25,1.550219063716963,0.7202183816734311,0.8938120300751882,-0.07430488974113139,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210223,6482
20210223-6485,46.4745,13.784040533205516,33.2,79.64,1.2073747929986642,0.14177641707193045,2.1277067669172935,-0.06468577438864057,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210223,6485
20210223-6547,84.93350000000001,23.635568708154555,65.93,145.01,1.5148336373877116,0.6336208710508626,3.3486390977443614,-0.04184564223361502,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210223,6547
