key,stock_id,T+n,date,close
20210106-1593,1593,-10,2020-12-22,49.43
20210106-1593,1593,-11,2020-12-21,49.68
20210106-1593,1593,-12,2020-12-18,49.85
20210106-1593,1593,-13,2020-12-17,48.92
20210106-1593,1593,-14,2020-12-16,49.34
20210106-1593,1593,-15,2020-12-15,49.26
20210106-1593,1593,-16,2020-12-14,50.68
20210106-1593,1593,-17,2020-12-11,51.35
20210106-1593,1593,-18,2020-12-10,50.94
20210106-1593,1593,-19,2020-12-09,52.28
20210106-1593,1593,-20,2020-12-08,47.58
20210106-1593,1593,1,2021-01-07,82.35
20210106-1593,1593,2,2021-01-08,86.71
20210106-1593,1593,3,2021-01-11,85.03
20210106-1593,1593,4,2021-01-12,93.41
20210106-1593,1593,5,2021-01-13,97.6
20210106-1593,1593,6,2021-01-14,99.69
20210106-1593,1593,7,2021-01-15,90.06
20210106-1593,1593,8,2021-01-18,90.48
20210106-1593,1593,9,2021-01-19,89.64
20210106-1593,1593,10,2021-01-20,87.96
20210106-2611,2611,0,2021-01-06,13.6
20210106-2611,2611,-1,2021-01-05,12.39
20210106-2611,2611,-2,2021-01-04,11.26
20210106-2611,2611,-3,2020-12-31,10.26
20210106-2611,2611,-4,2020-12-30,9.35
20210106-2611,2611,-5,2020-12-29,9.87
20210106-2611,2611,-6,2020-12-28,9.01
20210106-2611,2611,-7,2020-12-25,8.19
20210106-2611,2611,-8,2020-12-24,7.94
20210106-2611,2611,-9,2020-12-23,7.08
20210106-2611,2611,-10,2020-12-22,7.86
20210106-2611,2611,-11,2020-12-21,8.13
20210106-2611,2611,-12,2020-12-18,7.4
20210106-2611,2611,-13,2020-12-17,6.8
20210106-2611,2611,-14,2020-12-16,6.87
20210106-2611,2611,-15,2020-12-15,6.67
20210106-2611,2611,-16,2020-12-14,6.59
20210106-2611,2611,-17,2020-12-11,6.44
20210106-2611,2611,-18,2020-12-10,6.44
20210106-2611,2611,-19,2020-12-09,6.39
20210106-2611,2611,-20,2020-12-08,6.38
20210106-2611,2611,1,2021-01-07,12.26
20210106-2611,2611,2,2021-01-08,11.04
20210106-2611,2611,3,2021-01-11,11.35
20210106-2611,2611,4,2021-01-12,10.22
20210106-2611,2611,5,2021-01-13,9.79
20210106-2611,2611,6,2021-01-14,10.22
20210106-2611,2611,7,2021-01-15,9.35
20210106-2611,2611,8,2021-01-18,9.1
20210106-2611,2611,9,2021-01-19,8.79
20210106-2611,2611,10,2021-01-20,7.95
20210106-3086,3086,0,2021-01-06,59.42
20210106-3086,3086,-1,2021-01-05,54.01
20210106-3086,3086,-2,2021-01-04,49.17
20210106-3086,3086,-3,2020-12-31,44.72
20210106-3086,3086,-4,2020-12-30,40.67
20210106-3086,3086,-5,2020-12-29,36.98
20210106-3086,3086,-6,2020-12-28,33.64
20210106-3086,3086,-7,2020-12-25,30.58
20210106-3086,3086,-8,2020-12-24,27.8
20210106-3086,3086,-9,2020-12-23,26.21
20210106-3086,3086,-10,2020-12-22,27.01
20210106-3086,3086,-11,2020-12-21,27.72
20210106-3086,3086,-12,2020-12-18,26.21
20210106-3086,3086,-13,2020-12-17,26.61
20210106-3086,3086,-14,2020-12-16,26.37
20210106-3086,3086,-15,2020-12-15,25.89
20210106-3086,3086,-16,2020-12-14,26.57
20210106-3086,3086,-17,2020-12-11,26.41
20210106-3086,3086,-18,2020-12-10,26.49
20210106-3086,3086,-19,2020-12-09,27.13
20210106-3086,3086,-20,2020-12-08,27.64
20210106-3086,3086,1,2021-01-07,65.29
20210106-3086,3086,2,2021-01-08,71.81
20210106-3086,3086,3,2021-01-11,78.96
20210106-3086,3086,4,2021-01-12,86.58
20210106-3086,3086,5,2021-01-13,77.92
20210106-3086,3086,6,2021-01-14,70.14
20210106-3086,3086,7,2021-01-15,63.15
20210106-3086,3086,8,2021-01-18,56.87
20210106-3086,3086,9,2021-01-19,62.51
20210106-3086,3086,10,2021-01-20,56.48
20210106-5468,5468,0,2021-01-06,18.36
20210106-5468,5468,-1,2021-01-05,18.05
20210106-5468,5468,-2,2021-01-04,17.82
20210106-5468,5468,-3,2020-12-31,16.84
20210106-5468,5468,-4,2020-12-30,15.31
20210106-5468,5468,-5,2020-12-29,13.93
20210106-5468,5468,-6,2020-12-28,12.67
20210106-5468,5468,-7,2020-12-25,12.54
20210106-5468,5468,-8,2020-12-24,13.21
20210106-5468,5468,-9,2020-12-23,13.61
20210106-5468,5468,-10,2020-12-22,13.79
20210106-5468,5468,-11,2020-12-21,13.79
20210106-5468,5468,-12,2020-12-18,14.78
20210106-5468,5468,-13,2020-12-17,15.18
20210106-5468,5468,-14,2020-12-16,15.18
20210106-5468,5468,-15,2020-12-14,15.22
20210106-5468,5468,-16,2020-12-11,15.22
20210106-5468,5468,-17,2020-12-10,14.78
20210106-5468,5468,-18,2020-12-09,13.88
20210106-5468,5468,-19,2020-12-08,13.93
20210106-5468,5468,-20,2020-12-07,13.88
20210106-5468,5468,1,2021-01-07,16.52
20210106-5468,5468,2,2021-01-08,14.96
20210106-5468,5468,3,2021-01-11,13.88
20210106-5468,5468,4,2021-01-12,12.49
20210106-5468,5468,5,2021-01-13,12.58
20210106-5468,5468,6,2021-01-14,11.33
20210106-5468,5468,7,2021-01-15,11.64
20210106-5468,5468,8,2021-01-18,12.05
20210106-5468,5468,9,2021-01-19,11.64
20210106-5468,5468,10,2021-01-20,11.24
20210106-8087,8087,0,2021-01-06,16.84
20210106-8087,8087,-1,2021-01-05,15.33
20210106-8087,8087,-2,2021-01-04,13.96
20210106-8087,8087,-3,2020-12-31,12.73
20210106-8087,8087,-4,2020-12-30,11.59
20210106-8087,8087,-5,2020-12-29,10.55
20210106-8087,8087,-6,2020-12-28,9.61
20210106-8087,8087,-7,2020-12-25,8.74
20210106-8087,8087,-8,2020-12-24,7.95
20210106-8087,8087,-9,2020-12-23,7.63
20210106-8087,8087,-10,2020-12-22,7.57
20210106-8087,8087,-11,2020-12-21,7.57
20210106-8087,8087,-12,2020-12-18,7.63
20210106-8087,8087,-13,2020-12-17,7.53
20210106-8087,8087,-14,2020-12-16,7.53
20210106-8087,8087,-15,2020-12-14,7.51
20210106-8087,8087,-16,2020-12-11,7.35
20210106-8087,8087,-17,2020-12-10,7.46
20210106-8087,8087,-18,2020-12-09,7.55
20210106-8087,8087,-19,2020-12-08,7.61
20210106-8087,8087,-20,2020-12-07,7.56
20210106-8087,8087,1,2021-01-07,18.5
20210106-8087,8087,2,2021-01-08,18.5
20210106-8087,8087,3,2021-01-11,20.3
20210106-8087,8087,4,2021-01-12,20.3
20210106-8087,8087,5,2021-01-13,19.4
20210106-8087,8087,6,2021-01-14,19.68
20210106-8087,8087,7,2021-01-15,19.68
20210106-8087,8087,8,2021-01-18,19.4
20210106-8087,8087,9,2021-01-19,19.87
20210106-8087,8087,10,2021-01-20,20.2
20210107-3339,3339,0,2021-01-07,18.26
20210107-3339,3339,-1,2021-01-06,18.97
20210107-3339,3339,-2,2021-01-05,17.25
20210107-3339,3339,-3,2021-01-04,15.72
20210107-3339,3339,-4,2020-12-31,14.33
20210107-3339,3339,-5,2020-12-30,13.03
20210107-3339,3339,-6,2020-12-29,12.55
20210107-3339,3339,-7,2020-12-28,12.7
20210107-3339,3339,-8,2020-12-25,12.41
20210107-3339,3339,-9,2020-12-24,12.6
20210107-3339,3339,-10,2020-12-23,12.84
20210107-3339,3339,-11,2020-12-22,12.75
20210107-3339,3339,-12,2020-12-21,13.22
20210107-3339,3339,-13,2020-12-18,13.8
