公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,broker_bought,avg_vol_5T,max_vol_5T,vol_diff_5T,avg_vol_10T,max_vol_10T,vol_diff_10T,avg_vol_20T,max_vol_20T,vol_diff_20T
2021-01-15,3685,元創精密,2021-01-18,2021-01-29,10,5,30.59,30.59,0.0,0,589000.0,1586000.0,0.6286,333500.0,1586000.0,0.7897,185400.0,1586000.0,0.8831
2021-01-15,4760,勤凱,2021-01-18,2021-01-29,10,5,113.5,110.52,0.0263,0,7864400.0,12008000.0,0.3451,5340000.0,12008000.0,0.5553,3293350.0,12008000.0,0.7257
2021-01-15,6228,全譜,2021-01-18,2021-01-29,10,5,24.56,22.37,0.0892,0,577600.0,1467000.0,0.6063,299900.0,1467000.0,0.7956,157900.0,1467000.0,0.8924
2021-01-18,2354,鴻準,2021-01-19,2021-02-01,10,5,69.13,70.31,-0.0171,0,95453461.4,145332945.0,0.3432,54848244.9,145332945.0,0.6226,30592441.6,145332945.0,0.7895
2021-01-20,3685,元創精密,2021-01-21,2021-02-03,10,20,33.21,30.59,0.0789,0,691200.0,2015000.0,0.657,594100.0,2015000.0,0.7052,328950.0,2015000.0,0.8367
2021-01-26,3228,金麗科,2021-01-27,2021-02-18,10,20,254.62,228.92,0.1009,0,5477800.0,6080000.0,0.099,3228100.0,6080000.0,0.4691,2793400.0,6080000.0,0.5406
2021-01-27,8024,佑華,2021-01-28,2021-02-19,10,5,20.61,21.09,-0.0233,0,2602800.0,4273000.0,0.3909,4300400.0,18184000.0,0.7635,2899050.0,18184000.0,0.8406
2021-01-28,4576,大銀微系統,2021-01-29,2021-02-22,10,5,121.26,121.26,0.0,0,9381887.0,15970032.0,0.4125,5056482.2,15970032.0,0.6834,2891962.7,15970032.0,0.8189
2021-02-01,3086,華義,2021-02-02,2021-02-24,10,20,101.67,101.67,0.0,0,128200.0,207000.0,0.3807,99600.0,224000.0,0.5554,80600.0,224000.0,0.6402
2021-02-01,3219,倚強股份,2021-02-02,2021-02-24,10,10,65.89,72.18,-0.0955,0,135800.0,402000.0,0.6622,81700.0,402000.0,0.7968,46100.0,402000.0,0.8853
2021-02-01,3552,同致,2021-02-02,2021-02-24,10,20,285.35,285.83,-0.0017,0,25384600.0,35926000.0,0.2934,14330600.0,35926000.0,0.6011,12963900.0,35926000.0,0.6391
2021-02-04,3086,華義,2021-02-05,2021-03-02,10,20,126.3,133.05,-0.0534,0,145200.0,248000.0,0.4145,114300.0,248000.0,0.5391,86750.0,248000.0,0.6502
2021-02-04,3219,倚強股份,2021-02-05,2021-03-02,10,25,66.94,73.42,-0.0968,0,144600.0,402000.0,0.6403,94100.0,402000.0,0.7659,53600.0,402000.0,0.8667
2021-02-18,3086,華義,2021-02-19,2021-03-05,10,20,144.57,142.98,0.011,0,113600.0,248000.0,0.5419,124900.0,248000.0,0.4964,90900.0,248000.0,0.6335
2021-02-18,6482,弘煜科,2021-02-19,2021-03-05,10,5,34.14,34.14,0.0,0,16200.0,29000.0,0.4414,17000.0,42000.0,0.5952,13750.0,42000.0,0.6726
2021-02-18,6485,點序,2021-02-19,2021-03-05,10,5,66.39,66.39,0.0,0,3686400.0,7695000.0,0.5209,4873500.0,12481000.0,0.6095,3195250.0,12481000.0,0.744
2021-02-18,6547,高端疫苗,2021-02-19,2021-03-05,10,5,120.17,120.17,0.0,0,8340400.0,14329000.0,0.4179,5668900.0,14329000.0,0.6044,4039800.0,14329000.0,0.7181
2021-02-18,8087,華鎂鑫,2021-02-19,2021-03-05,10,20,22.62,20.3,0.1026,0,680200.0,1015000.0,0.3299,421000.0,1015000.0,0.5852,295550.0,1015000.0,0.7088
2021-02-19,3138,耀登,2021-02-22,2021-03-08,10,20,418.56,438.05,-0.0466,0,1162445.6,1733878.0,0.3296,1601335.2,2475358.0,0.3531,1143379.9,2475358.0,0.5381
2021-02-19,3169,亞信,2021-02-22,2021-03-08,10,5,88.88,88.88,0.0,0,5282600.0,11676000.0,0.5476,3759000.0,11676000.0,0.6781,2619050.0,11676000.0,0.7757
2021-02-19,4961,天鈺,2021-02-22,2021-03-08,10,20,276.4,269.23,0.0259,0,58629882.0,102355198.0,0.4272,46990653.3,102355198.0,0.5409,27922031.8,102355198.0,0.7272
2021-02-22,2009,第一銅,2021-02-23,2021-03-09,10,5,28.23,29.08,-0.0301,0,23911298.6,43528538.0,0.4507,27389913.6,66117636.0,0.5857,20279458.7,66117636.0,0.6933
2021-02-22,3483,力致,2021-02-23,2021-03-09,10,5,86.82,94.79,-0.0918,0,11979800.0,16793000.0,0.2866,7161700.0,16793000.0,0.5735,4992850.0,16793000.0,0.7027
2021-02-22,6589,台康生技,2021-02-23,2021-03-09,10,5,61.43,61.43,0.0,0,9915400.0,19009000.0,0.4784,6448000.0,19009000.0,0.6608,3826100.0,19009000.0,0.7987
2021-02-23,6482,弘煜科,2021-02-24,2021-03-10,10,20,45.34,45.34,0.0,0,113000.0,363000.0,0.6887,61400.0,363000.0,0.8309,37850.0,363000.0,0.8957
2021-02-23,6485,點序,2021-02-24,2021-03-10,10,20,76.86,72.66,0.0546,0,2938800.0,4999000.0,0.4121,5132700.0,12481000.0,0.5888,3729300.0,12481000.0,0.7012
2021-02-23,6547,高端疫苗,2021-02-24,2021-03-10,10,20,159.45,130.58,0.1811,0,2766800.0,5873000.0,0.5289,5999600.0,14329000.0,0.5813,4191850.0,14329000.0,0.7075
2021-02-23,6642,富致,2021-02-24,2021-03-10,10,5,54.81,54.49,0.0058,0,771400.0,1129000.0,0.3167,460200.0,1129000.0,0.5924,275800.0,1129000.0,0.7557
2021-02-23,6716,應廣,2021-02-24,2021-03-10,10,5,62.84,66.43,-0.0571,0,521400.0,725000.0,0.2808,282100.0,725000.0,0.6109,157100.0,725000.0,0.7833
2021-02-23,8054,安國,2021-02-24,2021-03-10,10,5,34.22,34.97,-0.0219,0,10675800.0,28738000.0,0.6285,8941300.0,28738000.0,0.6889,7293700.0,28738000.0,0.7462
2021-02-23,8427,基勝-KY,2021-02-24,2021-03-10,10,5,57.1,54.9,0.0385,0,118217.2,476754.0,0.752,68108.7,476754.0,0.8571,40309.65,476754.0,0.9154
2021-02-24,2465,麗臺,2021-02-25,2021-03-11,10,5,22.22,23.02,-0.036,0,6644029.0,14478801.0,0.5411,3592679.0,14478801.0,0.7519,2326029.3,14478801.0,0.8393
