date,stock_id,close
2017-01-03,1101,18.32
2017-01-04,1101,18.37
2017-01-05,1101,18.37
2017-01-06,1101,18.37
2017-01-09,1101,18.19
2017-01-10,1101,18.22
2017-01-11,1101,18.66
2017-01-12,1101,18.92
2017-01-13,1101,18.77
2017-01-16,1101,18.66
2017-01-17,1101,18.53
2017-01-18,1101,18.48
2017-01-19,1101,18.06
2017-01-20,1101,18.22
2017-01-23,1101,18.64
2017-01-24,1101,18.45
2017-01-03,1102,17.09
2017-01-04,1102,16.99
2017-01-05,1102,17.09
2017-01-06,1102,17.09
2017-01-09,1102,16.96
2017-01-10,1102,16.89
2017-01-11,1102,17.18
2017-01-12,1102,17.54
2017-01-13,1102,17.57
2017-01-16,1102,17.35
2017-01-17,1102,17.41
2017-01-18,1102,17.12
2017-01-19,1102,16.96
2017-01-20,1102,16.89
2017-01-23,1102,17.05
2017-01-24,1102,17.25
2017-01-03,1104,14.23
2017-01-04,1104,14.23
2017-01-05,1104,14.26
2017-01-06,1104,14.18
2017-01-09,1104,14.18
2017-01-10,1104,14.15
2017-01-11,1104,14.21
2017-01-12,1104,14.21
2017-01-13,1104,14.15
2017-01-16,1104,14.15
2017-01-17,1104,14.21
2017-01-18,1104,14.23
2017-01-19,1104,14.23
2017-01-20,1104,14.21
2017-01-23,1104,14.21
2017-01-24,1104,14.23
2017-01-03,1110,14.66
2017-01-04,1110,14.56
2017-01-05,1110,14.56
2017-01-06,1110,14.52
2017-01-09,1110,14.42
2017-01-10,1110,14.42
2017-01-11,1110,14.28
2017-01-12,1110,14.33
2017-01-13,1110,14.47
2017-01-17,1110,14.42
2017-01-18,1110,14.66
2017-01-19,1110,14.56
2017-01-20,1110,14.52
2017-01-23,1110,14.42
2017-01-24,1110,14.8
2017-01-03,1201,15.19
2017-01-04,1201,15.02
2017-01-05,1201,15.06
2017-01-06,1201,15.02
2017-01-09,1201,15.11
2017-01-10,1201,14.98
2017-01-11,1201,15.5
2017-01-12,1201,15.58
2017-01-13,1201,15.32
2017-01-16,1201,15.19
2017-01-17,1201,15.41
2017-01-18,1201,15.37
2017-01-19,1201,15.84
2017-01-20,1201,15.75
2017-01-23,1201,15.71
2017-01-24,1201,15.8
2017-01-03,1203,17.31
2017-01-04,1203,17.39
2017-01-05,1203,17.39
2017-01-06,1203,17.54
2017-01-09,1203,17.5
2017-01-10,1203,17.39
2017-01-11,1203,17.35
2017-01-12,1203,17.39
2017-01-13,1203,17.35
2017-01-16,1203,17.39
2017-01-17,1203,17.5
2017-01-18,1203,17.66
2017-01-19,1203,17.58
2017-01-20,1203,17.58
2017-01-23,1203,17.58
2017-01-24,1203,17.5
2017-01-03,1210,17.3
2017-01-04,1210,17.27
2017-01-05,1210,17.21
2017-01-06,1210,17.09
2017-01-09,1210,16.86
2017-01-10,1210,16.77
2017-01-11,1210,16.92
2017-01-12,1210,16.92
2017-01-13,1210,16.92
2017-01-16,1210,16.77
2017-01-17,1210,16.86
2017-01-18,1210,17.06
2017-01-19,1210,17.03
2017-01-20,1210,17.09
2017-01-23,1210,17.06
2017-01-24,1210,17.09
2017-01-03,1213,16.35
2017-01-04,1213,16.35
2017-01-05,1213,16.35
2017-01-06,1213,16.4
2017-01-09,1213,16.35
2017-01-10,1213,16.3
2017-01-11,1213,16.35
2017-01-12,1213,16.3
2017-01-13,1213,16.35
2017-01-16,1213,16.35
2017-01-17,1213,16.4
2017-01-18,1213,16.45
2017-01-19,1213,16.4
2017-01-20,1213,16.45
