year_month,stock_id,mean_close
201703,1215,32.10608695652174
201704,1215,33.446666666666665
201705,1215,36.2415
201706,1215,42.883913043478266
201707,1215,46.28809523809524
201708,1215,41.455652173913045
201709,1215,41.06181818181818
201710,1215,41.03263157894737
201711,1215,39.73909090909091
201712,1215,38.23619047619048
201701,1216,40.43625
201702,1216,40.59166666666667
201703,1216,42.39043478260869
201704,1216,41.919444444444444
201705,1216,42.8035
201706,1216,44.62869565217392
201707,1216,44.965999999999994
201708,1216,46.38652173913043
201709,1216,49.725
201710,1216,49.53842105263158
201711,1216,49.345
201712,1216,50.38857142857143
201701,1225,37.618
201702,1225,38.86642857142857
201703,1225,39.49363636363636
201704,1225,39.278125
201705,1225,39.0921052631579
201706,1225,41.02181818181818
201707,1225,42.48833333333333
201708,1225,46.9752380952381
201709,1225,50.75058823529412
201710,1225,52.358823529411765
201711,1225,52.586
201712,1225,53.515
201701,1227,54.71875
201702,1227,55.47222222222222
201703,1227,54.70434782608696
201704,1227,53.83277777777778
201705,1227,55.496500000000005
201706,1227,57.87826086956522
201707,1227,58.08238095238095
201708,1227,57.46695652173913
201709,1227,57.26181818181818
201710,1227,56.735789473684214
201711,1227,56.73727272727273
201712,1227,55.76190476190476
201701,1232,57.334375
201702,1232,58.37833333333333
201703,1232,60.78652173913043
201704,1232,62.068333333333335
201705,1232,62.0635
201706,1232,63.113913043478256
201707,1232,65.64095238095238
201708,1232,64.3404347826087
201709,1232,64.19272727272727
201710,1232,64.22894736842105
201711,1232,65.02727272727272
201712,1232,64.74571428571429
201707,1240,31.78333333333333
201708,1240,31.821739130434782
201709,1240,31.254
201710,1240,30.612142857142857
201711,1240,30.80277777777778
201712,1240,30.86
201701,1256,83.696875
201702,1256,89.48277777777778
201703,1256,97.02782608695652
201704,1256,92.52944444444444
201705,1256,93.9785
201706,1256,96.27652173913044
201707,1256,96.28666666666666
201708,1256,91.98260869565217
201709,1256,105.70545454545454
201710,1256,97.9578947368421
201711,1256,101.96863636363636
201712,1256,98.9947619047619
201701,1258,37.105000000000004
201702,1258,37.89388888888889
201703,1258,36.43608695652174
201704,1258,34.19555555555556
201705,1258,33.818
201706,1258,35.625652173913046
201707,1258,35.59285714285714
201708,1258,33.52608695652174
201709,1258,32.809090909090905
201710,1258,31.626842105263155
201701,1259,54.67875
201702,1259,56.02722222222222
201703,1259,57.26521739130435
201704,1259,56.080625
201705,1259,60.253499999999995
201706,1259,70.51086956521739
201707,1259,70.50285714285714
201708,1259,65.93565217391304
201709,1259,63.095238095238095
201710,1259,61.94529411764705
201711,1259,64.30428571428573
201712,1259,66.18368421052632
201701,1262,135.12
201702,1262,152.03444444444443
201703,1262,148.6713043478261
201704,1262,145.80499999999998
201705,1262,118.5915
201706,1262,115.51826086956522
201707,1262,94.72047619047619
201708,1262,81.69826086956522
201709,1262,72.7890909090909
201710,1262,73.36052631578949
201711,1262,62.10727272727272
201712,1262,60.706500000000005
201701,1264,111.65
201702,1264,119.88555555555556
201703,1264,128.30043478260868
201704,1264,133.315
201705,1264,139.83599999999998
201706,1264,138.9913043478261
201707,1264,145.41809523809525
201708,1264,141.20391304347825
201709,1264,141.0109090909091
201710,1264,141.58157894736843
201711,1264,144.9868181818182
201712,1264,148.04333333333332
201701,1268,112.170625
201702,1268,110.748125
201703,1268,115.53315789473685
201704,1268,118.82944444444443
201705,1268,122.75050000000002
201706,1268,132.20681818181816
201707,1268,128.67809523809524
201708,1268,129.35652173913041
201709,1268,130.7281818181818
201710,1268,114.99052631578948
201711,1268,110.62409090909091
201712,1268,101.66380952380953
201701,1301,61.79375
201702,1301,63.48388888888889
201703,1301,62.58217391304348
201704,1301,63.44111111111111
201705,1301,61.54
201706,1301,62.46739130434783
201707,1301,65.41
201708,1301,67.22869565217391
201709,1301,68.27727272727272
201710,1301,67.00842105263159
201711,1301,66.95772727272727
201712,1301,68.5352380952381
201701,1303,48.905625
201702,1303,50.876666666666665
201703,1303,47.9104347826087
201704,1303,48.24166666666667
201705,1303,47.725
201706,1303,48.727391304347826
201707,1303,52.14904761904762
201708,1303,53.713913043478264
201709,1303,53.77045454545455
201710,1303,53.01263157894737
201711,1303,53.45954545454546
201712,1303,53.790000000000006
201701,1315,35.72
201702,1315,37.19444444444444
201703,1315,37.006956521739134
201704,1315,36.654444444444444
201705,1315,36.0595
201706,1315,36.16608695652174
201707,1315,37.31809523809524
201708,1315,36.52869565217391
201709,1315,36.70454545454545
201710,1315,36.6978947368421
201711,1315,36.83227272727272
201712,1315,33.26095238095238
201701,1319,42.4
201702,1319,42.96166666666667
201703,1319,40.953478260869566
201704,1319,36.84722222222222
201705,1319,37.233000000000004
201706,1319,38.87608695652174
201707,1319,42.49285714285715
201708,1319,41.25391304347826
201709,1319,44.24636363636363
201710,1319,47.11684210526316
201711,1319,43.62045454545454
201712,1319,42.06952380952381
201701,1326,67.730625
201702,1326,68.46222222222222
201703,1326,65.83086956521738
201704,1326,65.48722222222221
201705,1326,63.638999999999996
201706,1326,64.23217391304347
201707,1326,67.64714285714285
201708,1326,68.82521739130435
201709,1326,69.82681818181818
201710,1326,68.97999999999999
201711,1326,69.2990909090909
201712,1326,71.88952380952381
201701,1338,61.9275
201702,1338,65.20222222222222
201703,1338,65.76478260869565
201704,1338,65.91333333333334
201705,1338,69.28999999999999
201706,1338,71.44565217391305
201707,1338,73.7752380952381
201708,1338,77.27521739130434
201709,1338,79.97681818181819
201710,1338,80.17526315789473
201711,1338,80.96318181818182
201712,1338,78.87
201706,1339,30.205652173913045
201707,1339,31.430952380952384
201708,1339,31.16695652173913
201709,1339,30.29318181818182
201711,1339,30.825454545454544
201701,1340,40.30375
201702,1340,40.74111111111111
201703,1340,40.74826086956522
201704,1340,37.455000000000005
201705,1340,34.089999999999996
201706,1340,37.25521739130435
201707,1340,37.96666666666666
201708,1340,39.455652173913045
201709,1340,39.35227272727273
201710,1340,38.62105263157895
201711,1340,39.08
201712,1340,37.276666666666664
201701,1419,31.33625
201702,1419,31.733999999999998
201703,1419,31.438
201704,1419,32.696875
201705,1419,31.446999999999996
201706,1419,31.471500000000002
201707,1419,32.396190476190476
201708,1419,32.49608695652174
201709,1419,32.99727272727272
201710,1419,32.05133333333333
201711,1419,32.955238095238094
201712,1419,34.6
201701,1472,63.5075
201702,1472,61.04722222222222
201703,1472,60.539130434782614
201704,1472,69.64777777777778
201705,1472,84.32300000000001
201706,1472,82.97782608695653
201707,1472,79.9447619047619
201708,1472,79.58173913043478
201709,1472,112.6009090909091
201710,1472,120.09666666666668
201711,1472,119.35954545454545
201712,1472,128.93761904761905
201704,1475,36.77111111111111
201705,1475,38.32
201706,1475,55.969130434782606
201707,1475,74.94761904761906
201708,1475,111.3395652173913
201709,1475,105.48136363636364
201710,1475,106.61052631578947
201711,1475,108.42133333333332
201712,1475,84.25238095238095
201701,1476,255.536875
201702,1476,235.25055555555556
201703,1476,242.06782608695653
201704,1476,241.35944444444445
201705,1476,248.9345
201706,1476,264.5547826086957
201707,1476,291.05285714285714
201708,1476,304.5095652173913
201709,1476,297.0377272727273
201710,1476,300.88894736842104
201711,1476,247.4481818181818
201712,1476,236.5104761904762
201701,1477,74.140625
201702,1477,71.88222222222221
201703,1477,77.03304347826086
201704,1477,74.78055555555555
201705,1477,80.9945
201706,1477,85.87826086956522
201707,1477,87.46857142857142
