date,stock_id,market_value
2021-04-28,1101B,10720000000.0
2021-04-29,1101B,10740000000.0
2021-05-03,1101B,10720000000.0
2021-05-04,1101B,10720000000.0
2021-05-05,1101B,10740000000.0
2021-05-06,1101B,0.0
2021-05-07,1101B,0.0
2021-05-10,1101B,10740000000.0
2021-05-11,1101B,10720000000.0
2021-05-12,1101B,10720000000.0
2021-05-13,1101B,10720000000.0
2021-05-14,1101B,10720000000.0
2021-05-17,1101B,10720000000.0
2021-05-18,1101B,10720000000.0
2021-05-19,1101B,10720000000.0
2021-05-20,1101B,10720000000.0
2021-05-21,1101B,10720000000.0
2021-05-24,1101B,0.0
2021-05-25,1101B,0.0
2021-05-26,1101B,10720000000.0
2021-05-27,1101B,10720000000.0
2021-05-28,1101B,10720000000.0
2021-05-31,1101B,10720000000.0
2021-06-01,1101B,10720000000.0
2021-06-02,1101B,10720000000.0
2021-06-03,1101B,0.0
2021-06-04,1101B,10720000000.0
2021-06-07,1101B,10720000000.0
2021-06-08,1101B,0.0
2021-06-09,1101B,10720000000.0
2021-06-10,1101B,10720000000.0
2021-06-11,1101B,0.0
2021-06-15,1101B,0.0
2021-06-16,1101B,0.0
2021-06-17,1101B,10760000000.0
2021-06-18,1101B,10760000000.0
2021-06-21,1101B,0.0
2021-06-22,1101B,10760000000.0
2021-06-23,1101B,10760000000.0
2021-06-24,1101B,10760000000.0
2021-06-25,1101B,0.0
2021-06-28,1101B,10760000000.0
2021-06-29,1101B,10760000000.0
2021-06-30,1101B,10780000000.0
2021-07-01,1101B,10780000000.0
2021-07-02,1101B,0.0
2021-07-05,1101B,0.0
2021-07-06,1101B,10760000000.0
2021-07-07,1101B,0.0
2021-07-08,1101B,10780000000.0
2021-07-09,1101B,0.0
2021-07-12,1101B,10780000000.0
2021-07-13,1101B,10780000000.0
2021-07-14,1101B,10780000000.0
2021-07-15,1101B,0.0
2021-07-16,1101B,0.0
2021-07-19,1101B,10780000000.0
2021-07-20,1101B,10780000000.0
2021-07-21,1101B,10780000000.0
2021-07-22,1101B,10760000000.0
2021-07-23,1101B,10760000000.0
2021-07-26,1101B,10720000000.0
2021-07-27,1101B,10700000000.0
2021-07-28,1101B,10780000000.0
2021-07-29,1101B,10680000000.0
2021-07-30,1101B,10760000000.0
2021-08-02,1101B,10760000000.0
2021-08-03,1101B,0.0
2021-08-04,1101B,10780000000.0
2021-08-05,1101B,10780000000.0
2021-08-06,1101B,0.0
2021-08-09,1101B,10780000000.0
2021-08-10,1101B,10800000000.0
2021-08-11,1101B,10760000000.0
2021-08-12,1101B,10360000000.0
2021-08-13,1101B,10340000000.0
2021-08-16,1101B,10340000000.0
2021-08-17,1101B,10340000000.0
2021-08-18,1101B,10340000000.0
2021-08-19,1101B,10340000000.0
2021-08-20,1101B,10320000000.0
2021-08-23,1101B,10340000000.0
2021-08-24,1101B,10300000000.0
2021-08-25,1101B,10360000000.0
2021-08-26,1101B,10360000000.0
2021-08-27,1101B,10360000000.0
2021-08-30,1101B,10300000000.0
2021-08-31,1101B,10340000000.0
2021-09-01,1101B,10320000000.0
2021-09-02,1101B,10280000000.0
2021-09-03,1101B,10280000000.0
2021-09-06,1101B,10320000000.0
2021-09-07,1101B,10320000000.0
2021-09-08,1101B,10280000000.0
2021-09-09,1101B,10340000000.0
2021-09-10,1101B,10320000000.0
2021-09-13,1101B,10340000000.0
2021-09-14,1101B,10340000000.0
2021-09-15,1101B,0.0
2021-09-16,1101B,0.0
2021-09-17,1101B,10360000000.0
2021-09-22,1101B,0.0
2021-09-24,1101B,10360000000.0
2021-09-27,1101B,10360000000.0
2021-09-28,1101B,10340000000.0
2021-09-29,1101B,10440000000.0
2021-09-30,1101B,10420000000.0
