date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2012-12-20,5222,20000,267470,9.61,10.49,9.93,10.17,0.4,8
2012-12-21,5222,25000,335500,10.1,10.19,10.04,10.19,0.02,3
2012-12-24,5222,53000,725040,10.19,10.33,10.33,10.33,0.14,11
2012-12-25,5222,30000,416400,10.33,10.48,10.48,10.48,0.15,3
2012-12-26,5222,31000,439580,10.48,11.33,10.48,11.33,0.85,12
2012-12-27,5222,269214,4406758,10.71,12.63,11.6,12.63,1.3,29
2012-12-28,5222,59000,1157510,12.36,17.48,12.87,17.48,4.85,32
