date,stock_id,market_value
2019-01-02,2908,11319503788.0
2019-01-03,2908,11217526276.0
2019-01-04,2908,11217526276.0
2019-01-07,2908,11217526276.0
2019-01-08,2908,11243020654.0
2019-01-09,2908,11268515032.0
2019-01-10,2908,11141043142.0
2019-01-11,2908,11141043142.0
2019-01-14,2908,11192031898.0
2019-01-15,2908,11141043142.0
2019-01-16,2908,11090054387.0
2019-01-17,2908,11141043142.0
2019-01-18,2908,11192031898.0
2019-01-21,2908,11243020654.0
2019-01-22,2908,11243020654.0
2019-01-23,2908,11268515032.0
2019-01-24,2908,11294009410.0
2019-01-25,2908,11395986921.0
2019-01-28,2908,11446975677.0
2019-01-29,2908,11446975677.0
2019-01-30,2908,11446975677.0
2019-02-11,2908,11446975677.0
2019-02-12,2908,11446975677.0
2019-02-13,2908,11421481299.0
2019-02-14,2908,11446975677.0
2019-02-15,2908,11548953189.0
2019-02-18,2908,11548953189.0
2019-02-19,2908,11548953189.0
2019-02-20,2908,11625436322.0
2019-02-21,2908,11523458811.0
2019-02-22,2908,11523458811.0
2019-02-25,2908,11625436322.0
2019-02-26,2908,11599941945.0
2019-02-27,2908,11599941945.0
2019-03-04,2908,11599941945.0
2019-03-05,2908,11548953189.0
2019-03-06,2908,11472470055.0
2019-03-07,2908,11497964433.0
2019-03-08,2908,11472470055.0
2019-03-11,2908,11574447567.0
2019-03-12,2908,11421481299.0
2019-03-13,2908,11523458811.0
2019-03-14,2908,11523458811.0
2019-03-15,2908,11523458811.0
2019-03-18,2908,11523458811.0
2019-03-19,2908,11523458811.0
2019-03-20,2908,11497964433.0
2019-03-21,2908,11574447567.0
2019-03-22,2908,11625436322.0
2019-03-25,2908,11548953189.0
2019-03-26,2908,11446975677.0
2019-03-27,2908,11370492543.0
2019-03-28,2908,11446975677.0
2019-03-29,2908,11472470055.0
2019-04-01,2908,11523458811.0
2019-04-02,2908,11421481299.0
2019-04-03,2908,11370492543.0
2019-04-08,2908,11166537520.0
2019-04-09,2908,11217526276.0
2019-04-10,2908,11217526276.0
2019-04-11,2908,11217526276.0
2019-04-12,2908,11013571253.0
2019-04-15,2908,10911593741.0
2019-04-16,2908,10784121852.0
2019-04-17,2908,10860604985.0
2019-04-18,2908,10809616230.0
2019-04-19,2908,10911593741.0
2019-04-22,2908,10911593741.0
2019-04-23,2908,10860604985.0
2019-04-24,2908,10758627474.0
2019-04-25,2908,10962582497.0
2019-04-26,2908,11013571253.0
2019-04-29,2908,10860604985.0
2019-04-30,2908,10809616230.0
2019-05-02,2908,10860604985.0
2019-05-03,2908,10886099363.0
2019-05-06,2908,10860604985.0
2019-05-07,2908,10911593741.0
2019-05-08,2908,10860604985.0
2019-05-09,2908,10784121852.0
2019-05-10,2908,10809616230.0
2019-05-13,2908,10707638718.0
2019-05-14,2908,10707638718.0
2019-05-15,2908,10860604985.0
2019-05-16,2908,10860604985.0
2019-05-17,2908,10860604985.0
2019-05-20,2908,10911593741.0
2019-05-21,2908,11064560009.0
2019-05-22,2908,10988076875.0
2019-05-23,2908,10988076875.0
2019-05-24,2908,10988076875.0
2019-05-27,2908,11039065631.0
2019-05-28,2908,10427200561.0
2019-05-29,2908,10937088119.0
2019-05-30,2908,10911593741.0
2019-05-31,2908,10860604985.0
2019-06-03,2908,10860604985.0
2019-06-04,2908,10860604985.0
2019-06-05,2908,10860604985.0
2019-06-06,2908,10886099363.0
2019-06-10,2908,10860604985.0
2019-06-11,2908,10860604985.0
2019-06-12,2908,10860604985.0
2019-06-13,2908,10911593741.0
2019-06-14,2908,11064560009.0
2019-06-17,2908,11141043142.0
2019-06-18,2908,11370492543.0
2019-06-19,2908,11625436322.0
2019-06-20,2908,11625436322.0
2019-06-21,2908,11217526276.0
2019-06-24,2908,11574447567.0
2019-06-25,2908,11115548764.0
2019-06-26,2908,11039065631.0
2019-06-27,2908,11013571253.0
2019-06-28,2908,10962582497.0
2019-07-01,2908,10988076875.0
2019-07-02,2908,11039065631.0
2019-07-03,2908,11013571253.0
2019-07-04,2908,11064560009.0
2019-07-05,2908,11064560009.0
2019-07-08,2908,11090054387.0
2019-07-09,2908,11141043142.0
2019-07-10,2908,11141043142.0
2019-07-11,2908,11141043142.0
2019-07-12,2908,11166537520.0
2019-07-15,2908,11294009410.0
2019-07-16,2908,10580166829.0
2019-07-17,2908,10580166829.0
2019-07-18,2908,10580166829.0
2019-07-19,2908,10554672451.0
2019-07-22,2908,10529178073.0
2019-07-23,2908,10452694939.0
2019-07-24,2908,10452694939.0
2019-07-25,2908,10427200561.0
2019-07-26,2908,10452694939.0
2019-07-29,2908,10503683695.0
2019-07-30,2908,10452694939.0
2019-07-31,2908,10401706183.0
2019-08-01,2908,10325223050.0
2019-08-02,2908,10350717427.0
2019-08-05,2908,10707638718.0
2019-08-06,2908,10631155584.0
2019-08-07,2908,10758627474.0
2019-08-08,2908,10809616230.0
2019-08-12,2908,10860604985.0
2019-08-13,2908,10707638718.0
2019-08-14,2908,10860604985.0
2019-08-15,2908,10707638718.0
2019-08-16,2908,10809616230.0
2019-08-19,2908,10860604985.0
2019-08-20,2908,10860604985.0
2019-08-21,2908,10860604985.0
2019-08-22,2908,10860604985.0
2019-08-23,2908,10860604985.0
2019-08-26,2908,10835110608.0
2019-08-27,2908,10758627474.0
2019-08-28,2908,10835110608.0
2019-08-29,2908,10809616230.0
2019-08-30,2908,10860604985.0
2019-09-02,2908,10860604985.0
2019-09-03,2908,10860604985.0
2019-09-04,2908,10886099363.0
2019-09-05,2908,10886099363.0
2019-09-06,2908,10886099363.0
2019-09-09,2908,11039065631.0
2019-09-10,2908,10962582497.0
2019-09-11,2908,10962582497.0
2019-09-12,2908,10988076875.0
2019-09-16,2908,11013571253.0
2019-09-17,2908,11039065631.0
2019-09-18,2908,11166537520.0
2019-09-19,2908,11090054387.0
2019-09-20,2908,11090054387.0
2019-09-23,2908,11166537520.0
2019-09-24,2908,11141043142.0
2019-09-25,2908,11115548764.0
2019-09-26,2908,11013571253.0
2019-09-27,2908,10962582497.0
2019-10-01,2908,11141043142.0
2019-10-02,2908,11115548764.0
2019-10-03,2908,11166537520.0
2019-10-04,2908,11243020654.0
2019-10-07,2908,11294009410.0
2019-10-08,2908,11395986921.0
2019-10-09,2908,11217526276.0
2019-10-14,2908,11421481299.0
2019-10-15,2908,11395986921.0
2019-10-16,2908,11243020654.0
2019-10-17,2908,11192031898.0
2019-10-18,2908,11217526276.0
2019-10-21,2908,11294009410.0
2019-10-22,2908,11319503788.0
2019-10-23,2908,11217526276.0
2019-10-24,2908,11166537520.0
2019-10-25,2908,11217526276.0
2019-10-28,2908,11192031898.0
2019-10-29,2908,11115548764.0
2019-10-30,2908,11217526276.0
2019-10-31,2908,11090054387.0
2019-11-01,2908,11115548764.0
2019-11-04,2908,11090054387.0
2019-11-05,2908,11192031898.0
2019-11-06,2908,11115548764.0
2019-11-07,2908,11090054387.0
2019-11-08,2908,11064560009.0
2019-11-11,2908,11039065631.0
2019-11-12,2908,10962582497.0
2019-11-13,2908,10937088119.0
2019-11-14,2908,10886099363.0
2019-11-15,2908,10937088119.0
2019-11-18,2908,10835110608.0
2019-11-19,2908,10962582497.0
2019-11-20,2908,10962582497.0
2019-11-21,2908,10911593741.0
2019-11-22,2908,10835110608.0
2019-11-25,2908,10758627474.0
2019-11-26,2908,10529178073.0
2019-11-27,2908,10656649962.0
2019-11-28,2908,10580166829.0
2019-11-29,2908,10554672451.0
2019-12-02,2908,10554672451.0
2019-12-03,2908,10554672451.0
2019-12-04,2908,10529178073.0
2019-12-05,2908,10631155584.0
2019-12-06,2908,10656649962.0
2019-12-09,2908,10656649962.0
2019-12-10,2908,10529178073.0
2019-12-11,2908,10503683695.0
2019-12-12,2908,10503683695.0
2019-12-13,2908,10554672451.0
2019-12-16,2908,10554672451.0
2019-12-17,2908,10529178073.0
2019-12-18,2908,10580166829.0
2019-12-19,2908,10554672451.0
2019-12-20,2908,10478189317.0
2019-12-23,2908,10554672451.0
2019-12-24,2908,10529178073.0
2019-12-25,2908,10554672451.0
2019-12-26,2908,10605661206.0
2019-12-27,2908,10580166829.0
