stock_id,year_month,mean_market_value,rank
9927,2010-01,7262011942.384,373.0
9928,2010-01,2546480394.384,608.0
9929,2010-01,798938858.336,752.0
9930,2010-01,8559956216.28,339.0
9931,2010-01,1869897701.8032787,668.0
9933,2010-01,21791779259.432,140.0
9934,2010-01,10218755598.748,296.0
9935,2010-01,1995687353.5,658.0
9937,2010-01,11005639316.0,279.0
9938,2010-01,8131087433.596,354.0
9939,2010-01,14163066187.872,223.0
9940,2010-01,19164916286.564,160.0
9941,2010-01,10666507320.0,287.0
9942,2010-01,3415585102.776,557.0
9943,2010-01,4673057583.054394,479.0
9944,2010-01,2400014063.184,620.0
9945,2010-01,37890144414.928,90.0
9955,2010-01,5619437714.104,427.0
9958,2010-01,1465830568.976,709.0
