,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2016-05-03,2885,21688241,230574960,10.7,10.75,10.5,10.65,0.0,3065
1,2016-05-04,2885,35046001,365110862,10.6,10.6,10.15,10.3,-0.35,5344
2,2016-05-05,2885,30127385,309390906,10.3,10.35,10.2,10.25,-0.05,3991
3,2016-05-06,2885,34933972,354846391,10.25,10.25,10.1,10.15,-0.1,7378
4,2016-05-09,2885,27488631,280388906,10.2,10.3,10.15,10.2,0.05,3603
5,2016-05-10,2885,35355627,360397404,10.15,10.3,10.1,10.2,0.0,4773
6,2016-05-11,2885,47869442,487375186,10.3,10.3,10.1,10.2,0.0,4622
7,2016-05-12,2885,35174953,358819428,10.15,10.3,10.1,10.2,0.0,3963
8,2016-05-13,2885,29453378,299276077,10.2,10.2,10.1,10.15,-0.05,6515
9,2016-05-16,2885,31422986,319909981,10.15,10.25,10.1,10.2,0.05,4705
10,2016-05-17,2885,35493730,360708146,10.15,10.25,10.1,10.2,0.0,4702
11,2016-05-18,2885,30296704,307276590,10.15,10.2,10.1,10.15,-0.05,7872
12,2016-05-19,2885,28331331,288116089,10.15,10.25,10.1,10.2,0.05,3725
13,2016-05-20,2885,11289878,115246135,10.25,10.3,10.15,10.15,-0.05,2061
14,2016-05-23,2885,24567065,254573635,10.15,10.5,10.1,10.5,0.35,3767
15,2016-05-24,2885,13144845,137087354,10.5,10.55,10.35,10.35,-0.15,3257
16,2016-05-25,2885,18663466,195828271,10.45,10.55,10.4,10.55,0.2,3279
17,2016-05-26,2885,10765965,113019049,10.5,10.55,10.45,10.5,-0.05,2558
18,2016-05-27,2885,21778602,231350999,10.55,10.75,10.5,10.7,0.2,3856
19,2016-05-30,2885,20697687,223227010,10.7,10.85,10.65,10.8,0.1,4950
20,2016-05-31,2885,45292318,493909235,10.8,11.0,10.7,11.0,0.2,5704
21,2016-06-01,2885,38415865,422232453,11.0,11.1,10.9,10.95,-0.05,8442
