,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2016-06-01,2888,34512657,236473941,6.78,6.92,6.75,6.91,0.11,4816
1,2016-06-02,2888,34425832,234916932,6.9,6.91,6.77,6.79,-0.12,4413
2,2016-06-03,2888,30259547,205253511,6.78,6.85,6.72,6.85,0.06,3882
3,2016-06-04,2888,7211478,49197612,6.86,6.86,6.79,6.79,-0.06,862
4,2016-06-06,2888,22241576,151296499,6.79,6.88,6.75,6.78,-0.01,2604
5,2016-06-07,2888,28603933,194193887,6.81,6.84,6.76,6.8,0.02,3782
6,2016-06-08,2888,29577653,201046385,6.8,6.83,6.77,6.81,0.01,4425
7,2016-06-13,2888,30105928,199836021,6.76,6.76,6.57,6.59,-0.22,4440
8,2016-06-14,2888,24924828,163150396,6.55,6.59,6.5,6.54,-0.05,4296
9,2016-06-15,2888,12861206,83748035,6.54,6.57,6.47,6.51,-0.03,3395
10,2016-06-16,2888,24023082,153980117,6.51,6.52,6.37,6.37,-0.14,4148
11,2016-06-17,2888,13447183,86779017,6.45,6.5,6.42,6.46,0.09,3456
12,2016-06-20,2888,21466125,138092323,6.49,6.52,6.39,6.47,0.01,4212
13,2016-06-21,2888,16539010,107163237,6.47,6.52,6.45,6.49,0.02,3348
14,2016-06-22,2888,9152329,59398474,6.49,6.51,6.45,6.51,0.02,2184
15,2016-06-23,2888,8664076,56042419,6.51,6.51,6.44,6.47,-0.04,2149
16,2016-06-24,2888,24351078,154850743,6.47,6.52,6.28,6.3,-0.17,3652
17,2016-06-27,2888,18607389,116441395,6.24,6.29,6.22,6.27,-0.03,2834
18,2016-06-28,2888,17743875,110620673,6.27,6.27,6.2,6.27,0.0,2571
19,2016-06-29,2888,12744664,80314123,6.28,6.33,6.27,6.28,0.01,2579
20,2016-06-30,2888,13546193,85703945,6.3,6.36,6.3,6.31,0.03,2659
21,2016-07-01,2888,15745177,100509323,6.35,6.41,6.33,6.38,0.07,3013
22,2016-07-04,2888,8906869,56802296,6.37,6.43,6.34,6.36,-0.02,2106
23,2016-07-05,2888,9577649,60652487,6.33,6.36,6.31,6.32,-0.04,2252
24,2016-07-06,2888,37265317,231357355,6.28,6.28,6.18,6.21,-0.11,4532
25,2016-07-07,2888,16863741,104760680,6.23,6.24,6.18,6.22,0.01,2399
26,2016-07-11,2888,21504448,135491456,6.3,6.32,6.25,6.32,0.1,3716
27,2016-07-12,2888,25528997,162507150,6.34,6.4,6.31,6.4,0.08,4755
28,2016-07-13,2888,23905020,153007455,6.45,6.45,6.38,6.4,0.0,4423
29,2016-07-14,2888,15798375,101329695,6.4,6.44,6.37,6.44,0.04,3167
30,2016-07-15,2888,35565938,233373822,6.45,6.64,6.45,6.57,0.13,6653
31,2016-07-18,2888,24010244,159497517,6.6,6.69,6.59,6.64,0.07,4689
32,2016-07-19,2888,27098210,180302474,6.66,6.69,6.6,6.69,0.05,4919
33,2016-07-20,2888,29874089,200064734,6.68,6.75,6.65,6.72,0.03,5452
34,2016-07-21,2888,24821955,167643446,6.73,6.79,6.7,6.76,0.04,5068
35,2016-07-22,2888,21461326,143205275,6.73,6.74,6.65,6.65,-0.11,4154
36,2016-07-25,2888,15504757,102602775,6.66,6.73,6.55,6.61,-0.04,3271
37,2016-07-26,2888,15047647,99112032,6.61,6.63,6.56,6.6,-0.01,3363
38,2016-07-27,2888,12229862,80527855,6.59,6.61,6.55,6.58,-0.02,2820
39,2016-07-28,2888,16075298,105547399,6.57,6.6,6.53,6.59,0.01,3384
40,2016-07-29,2888,18766926,121952977,6.58,6.59,6.47,6.48,-0.11,3096
41,2016-08-01,2888,16089558,105897794,6.48,6.6,6.48,6.6,0.12,3987
42,2016-08-02,2888,10033352,65642247,6.58,6.6,6.5,6.5,-0.1,2017
43,2016-08-03,2888,9413868,61367743,6.46,6.57,6.42,6.54,0.04,2880
44,2016-08-04,2888,8862799,57698296,6.51,6.54,6.48,6.52,-0.02,2507
45,2016-08-05,2888,16968225,111294972,6.52,6.6,6.51,6.55,0.03,3528
46,2016-08-08,2888,17344943,114287055,6.6,6.64,6.56,6.59,0.04,3063
47,2016-08-09,2888,15386651,101303646,6.59,6.61,6.57,6.57,-0.02,2744
48,2016-08-10,2888,29676805,198230672,6.63,6.7,6.63,6.7,0.13,4703
49,2016-08-11,2888,19384946,129098989,6.7,6.71,6.62,6.68,-0.02,2787
50,2016-08-12,2888,16457496,110029926,6.68,6.71,6.67,6.68,0.0,3320
51,2016-08-15,2888,12075371,80220169,6.68,6.69,6.61,6.65,-0.03,2516
52,2016-08-16,2888,14872336,98848016,6.65,6.7,6.61,6.65,0.0,2666
53,2016-08-17,2888,10812194,71726063,6.65,6.67,6.61,6.65,0.0,3004
54,2016-08-18,2888,11018544,73314914,6.65,6.68,6.62,6.66,0.01,2220
55,2016-08-19,2888,15423450,102061236,6.65,6.67,6.58,6.58,-0.08,2621
56,2016-08-22,2888,14352385,93547961,6.6,6.61,6.48,6.51,-0.07,2600
57,2016-08-23,2888,28257289,187392400,6.55,6.71,6.54,6.69,0.18,4091
58,2016-08-24,2888,7958412,53199451,6.72,6.72,6.65,6.67,-0.02,2144
