stock_id,start_date,end_date,SD_close,ED_close,combination,return_rank
2355,2010-01-04,2010-03-31,16.17,14.33,201001-201004,
2356,2010-01-04,2010-03-31,7.69,7.33,201001-201004,
2357,2010-01-04,2010-03-31,19.33,17.32,201001-201004,
2360,2010-01-04,2010-03-31,40.77,39.29,201001-201004,
2362,2010-01-04,2010-03-31,28.41,36.47,201001-201004,
2363,2010-01-04,2010-03-31,27.29,24.52,201001-201004,
2367,2010-01-04,2010-03-31,8.98,8.52,201001-201004,
2368,2010-01-04,2010-03-31,13.06,11.67,201001-201004,
2371,2010-01-04,2010-03-31,20.07,19.21,201001-201004,
2373,2010-01-04,2010-03-31,23.65,25.46,201001-201004,
2374,2010-01-04,2010-03-31,41.68,35.5,201001-201004,
2376,2010-01-04,2010-03-31,11.76,11.78,201001-201004,
2377,2010-01-04,2010-03-31,9.29,8.72,201001-201004,
2379,2010-01-04,2010-03-31,43.1,39.51,201001-201004,
2382,2010-01-04,2010-03-31,29.41,26.29,201001-201004,
2383,2010-01-04,2010-03-31,11.67,15.05,201001-201004,
2384,2010-01-04,2010-03-31,25.94,25.49,201001-201004,
2385,2010-01-04,2010-03-31,25.27,27.73,201001-201004,
2388,2010-01-04,2010-03-31,37.64,35.23,201001-201004,
2392,2010-01-04,2010-03-31,36.03,30.52,201001-201004,
2393,2010-01-04,2010-03-31,52.35,43.93,201001-201004,
2395,2010-01-04,2010-03-31,28.61,26.79,201001-201004,
2401,2010-01-04,2010-03-31,22.27,18.72,201001-201004,
2403,2010-01-04,2010-03-31,28.65,37.89,201001-201004,
2404,2010-01-04,2010-03-31,12.06,13.48,201001-201004,
2408,2010-01-04,2010-03-31,196.09,187.43,201001-201004,
2409,2010-01-04,2010-03-31,27.18,24.59,201001-201004,
2412,2010-01-04,2010-03-31,36.44,38.17,201001-201004,
2439,2010-01-04,2010-03-31,27.56,25.65,201001-201004,
2441,2010-01-04,2010-03-31,12.57,12.73,201001-201004,
2448,2010-01-04,2010-03-31,97.93,87.92,201001-201004,
2449,2010-01-04,2010-03-31,7.01,7.22,201001-201004,
2450,2010-01-04,2010-03-31,20.62,21.34,201001-201004,
2451,2010-01-04,2010-03-31,45.41,43.52,201001-201004,
2452,2010-01-04,2010-03-24,91.3,93.6,201001-201004,
2454,2010-01-04,2010-03-31,269.53,261.92,201001-201004,
2455,2010-01-04,2010-03-31,43.7,44.88,201001-201004,
2456,2010-01-04,2010-03-31,24.47,31.91,201001-201004,
2457,2010-01-04,2010-03-31,20.03,19.36,201001-201004,
2458,2010-01-04,2010-03-31,40.07,33.38,201001-201004,
2474,2010-01-04,2010-03-31,46.93,41.36,201001-201004,
2475,2010-01-04,2010-03-31,4.37,3.63,201001-201004,
2478,2010-01-04,2010-03-31,43.76,37.51,201001-201004,
2481,2010-01-04,2010-03-31,19.68,23.52,201001-201004,
2485,2010-01-04,2010-03-31,38.58,37.88,201001-201004,
2489,2010-01-04,2010-03-31,18.24,17.27,201001-201004,
2492,2010-01-04,2010-03-31,15.5,15.7,201001-201004,
2495,2010-01-04,2010-03-31,32.96,30.01,201001-201004,
2498,2010-01-04,2010-03-31,264.76,268.75,201001-201004,
2499,2010-01-04,2010-03-31,50.14,48.66,201001-201004,
2501,2010-01-04,2010-03-31,7.63,7.52,201001-201004,
2504,2010-01-04,2010-03-31,9.67,8.52,201001-201004,
2511,2010-01-04,2010-03-31,5.84,5.16,201001-201004,
2514,2010-01-04,2010-03-31,14.59,15.48,201001-201004,
2515,2010-01-04,2010-03-31,5.77,5.08,201001-201004,
2520,2010-01-04,2010-03-31,11.92,10.23,201001-201004,
2534,2010-01-04,2010-03-31,9.54,10.62,201001-201004,
2542,2010-01-04,2010-03-31,8.16,8.16,201001-201004,
2545,2010-01-04,2010-03-31,19.42,16.41,201001-201004,
2547,2010-01-04,2010-03-31,13.22,12.28,201001-201004,
2548,2010-01-04,2010-03-31,23.21,21.98,201001-201004,
2601,2010-01-04,2010-03-31,36.31,37.34,201001-201004,
2603,2010-01-04,2010-03-31,15.7,16.17,201001-201004,
2605,2010-01-04,2010-03-31,21.91,21.1,201001-201004,
2606,2010-01-04,2010-03-31,27.73,27.61,201001-201004,
2607,2010-01-04,2010-03-31,19.48,17.84,201001-201004,
2608,2010-01-04,2010-03-31,12.88,13.96,201001-201004,
