Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
1301,2016-05-03,2016-10-31,79.0,85.4,0.08101265822784817,2016-05-03_2016-10-31,83
8341,2016-05-03,2016-10-31,142.5,113.0,-0.20701754385964913,2016-05-03_2016-10-31,190
5876,2016-05-03,2016-10-31,28.08,26.35,-0.0616096866096865,2016-05-03_2016-10-31,169
1227,2016-05-03,2016-10-31,78.7,78.1,-0.007623888182973424,2016-05-03_2016-10-31,134
2889,2016-05-03,2016-10-31,7.98,8.0,0.0025062656641603475,2016-05-03_2016-10-31,127
3005,2016-05-03,2016-10-31,21.35,41.0,0.9203747072599531,2016-05-03_2016-10-31,2
1216,2016-05-03,2016-10-31,57.8,61.1,0.05709342560553641,2016-05-03_2016-10-31,96
3023,2016-05-03,2016-10-31,68.5,71.0,0.0364963503649635,2016-05-03_2016-10-31,106
5534,2016-05-03,2016-10-31,51.9,51.8,-0.0019267822736031104,2016-05-03_2016-10-31,131
2023,2016-05-03,2016-10-31,8.27,12.2,0.4752116082224909,2016-05-03_2016-10-31,12
6415,2016-05-03,2016-10-31,421.0,461.0,0.09501187648456057,2016-05-03_2016-10-31,78
1402,2016-05-03,2016-10-31,24.05,24.45,0.016632016632016574,2016-05-03_2016-10-31,115
1262,2016-05-03,2016-10-31,142.0,167.5,0.1795774647887324,2016-05-03_2016-10-31,44
1704,2016-05-03,2016-10-31,39.2,38.6,-0.015306122448979626,2016-05-03_2016-10-31,139
3060,2016-05-03,2016-10-31,49.95,37.1,-0.2572572572572573,2016-05-03_2016-10-31,194
3576,2016-05-03,2016-10-31,17.1,16.15,-0.05555555555555572,2016-05-03_2016-10-31,167
1605,2016-05-03,2016-10-31,8.92,11.05,0.2387892376681615,2016-05-03_2016-10-31,34
6005,2016-05-03,2016-10-31,8.46,7.9,-0.06619385342789603,2016-05-03_2016-10-31,174
1590,2016-05-03,2016-10-31,220.0,251.5,0.1431818181818182,2016-05-03_2016-10-31,55
8046,2016-05-03,2016-10-31,31.5,23.85,-0.2428571428571428,2016-05-03_2016-10-31,192
8150,2016-05-03,2016-10-31,30.5,28.15,-0.0770491803278689,2016-05-03_2016-10-31,177
1536,2016-05-03,2016-10-31,152.0,131.5,-0.13486842105263158,2016-05-03_2016-10-31,185
9907,2016-05-03,2016-10-31,15.2,13.55,-0.10855263157894728,2016-05-03_2016-10-31,183
9940,2016-05-03,2016-10-31,26.95,28.9,0.07235621521335804,2016-05-03_2016-10-31,90
1504,2016-05-03,2016-10-31,26.0,28.05,0.07884615384615387,2016-05-03_2016-10-31,85
1702,2016-05-03,2016-10-31,59.7,67.3,0.12730318257956438,2016-05-03_2016-10-31,66
3662,2016-05-03,2016-10-31,103.0,11.75,-0.8859223300970874,2016-05-03_2016-10-31,199
1477,2016-05-03,2016-10-31,166.0,124.5,-0.25,2016-05-03_2016-10-31,193
1589,2016-05-03,2016-10-31,204.5,124.0,-0.39364303178484106,2016-05-03_2016-10-31,197
1707,2016-05-03,2016-10-31,200.0,265.0,0.325,2016-05-03_2016-10-31,22
1476,2016-05-03,2016-10-31,354.0,359.0,0.014124293785310734,2016-05-03_2016-10-31,117
2849,2016-05-03,2016-10-31,13.9,12.05,-0.1330935251798561,2016-05-03_2016-10-31,184
4137,2016-05-03,2016-10-31,229.5,138.5,-0.39651416122004357,2016-05-03_2016-10-31,198
1434,2016-05-03,2016-10-31,29.1,28.8,-0.010309278350515488,2016-05-03_2016-10-31,136
2355,2016-05-03,2016-10-31,64.5,60.5,-0.06201550387596899,2016-05-03_2016-10-31,170
6414,2016-05-03,2016-10-31,420.0,501.0,0.19285714285714287,2016-05-03_2016-10-31,42
2231,2016-05-03,2016-10-31,383.0,290.0,-0.24281984334203655,2016-05-03_2016-10-31,191
6409,2016-05-03,2016-10-31,502.0,474.0,-0.055776892430278883,2016-05-03_2016-10-31,168
2834,2016-05-03,2016-10-31,8.31,7.98,-0.03971119133574008,2016-05-03_2016-10-31,159
