combination,remark,count,mean_avg_monthly_return,std_avg_monthly_return
201001-201010,loser,14,-0.018257164180878936,0.03260723010371225
201001-201010,winner,14,0.007547457860083544,0.032638024572484776
201002-201011,loser,14,-0.030444148580719983,0.04381633455220704
201002-201011,winner,14,-0.005566417996506764,0.0304369265812959
201003-201012,loser,14,-0.03857944484013582,0.04621750531161509
201003-201012,winner,14,-0.015323022931145165,0.039162893652831585
201004-201101,loser,14,-0.051985681108225705,0.03233959689476249
201004-201101,winner,14,-0.02461586404504285,0.03506984014221981
201005-201102,loser,14,-0.059725986328185,0.052401078738124204
201005-201102,winner,14,-0.024529183774455683,0.02919148451176323
201006-201103,loser,14,-0.05744428697868341,0.05976827965022005
201006-201103,winner,14,-0.030478473245222924,0.04105654915386735
201007-201104,loser,14,-0.04706129073535263,0.05731664621534131
201007-201104,winner,14,-0.033584910225128994,0.034685469342759324
201008-201105,loser,14,-0.03599458890658095,0.04796782323212134
201008-201105,winner,14,-0.022053351949664797,0.03058314496114829
201009-201106,loser,14,-0.029769569889964598,0.03904823654146314
201009-201106,winner,14,-0.02043023757342599,0.024146102260708735
201010-201107,loser,14,-0.025193729913323592,0.0312065865692113
201010-201107,winner,14,-0.027721212041432935,0.017526363218248367
201011-201108,loser,14,0.0034406849484960706,0.02798511391046146
201011-201108,winner,14,-0.020981640637528675,0.03047646203920243
201012-201109,loser,14,-0.018849807642117238,0.0328237065672221
201012-201109,winner,14,-0.017611093841789587,0.029753259550638088
201101-201110,loser,14,-0.015281739133150441,0.024556908983867174
201101-201110,winner,14,0.014038271653581036,0.02388799894056545
201102-201111,loser,14,-0.035619050142890636,0.028558034293657195
201102-201111,winner,14,0.006529519541737793,0.02063862497768722
201103-201112,loser,14,0.0023333684286806137,0.027318077543118883
201103-201112,winner,14,0.014567794982912944,0.022097515937621288
201104-201201,loser,14,-0.017290336725607428,0.024150125776985255
201104-201201,winner,14,0.022812410950587423,0.024628839939818133
201105-201202,loser,14,-0.05226374272168808,0.03281178074887289
201105-201202,winner,14,0.007506683191431972,0.019436397781286925
201106-201203,loser,14,-0.03895332624488544,0.039652824194774214
201106-201203,winner,14,0.0076894273486012785,0.022584179556686304
201107-201204,loser,14,-0.010231498490811671,0.034139261591242816
201107-201204,winner,14,0.010342745057119842,0.021082113023112175
201108-201205,loser,14,-0.0002476552534073778,0.042412425371904386
201108-201205,winner,14,0.010669989510981965,0.017568202703787037
201109-201206,loser,14,0.014748309792150178,0.03687319732974118
201109-201206,winner,14,0.017967282085055457,0.021331317976526237
201110-201207,loser,14,-0.003370510472805657,0.023250738787379956
201110-201207,winner,14,0.013321456617726242,0.02286374355292603
201111-201208,loser,14,0.015517289657339709,0.04038922790660957
201111-201208,winner,14,0.02783249201813705,0.023996987123286847
201112-201209,loser,14,0.0026904945434284284,0.0249400721963891
201112-201209,winner,14,0.013708058557097036,0.030761730962569084
201201-201210,loser,14,-0.005083788410922193,0.02634806187385113
201201-201210,winner,14,0.006977668187039915,0.030018651435359124
201202-201211,loser,14,0.006259918025590692,0.024535361290430616
201202-201211,winner,14,0.017322308112788,0.024493749770291375
201203-201212,loser,14,-0.007743341064012743,0.029436008727038804
201203-201212,winner,14,0.012766766169802879,0.01722847608087323
201204-201301,loser,14,-0.004999070737233764,0.03560561378542611
201204-201301,winner,14,0.019523609718686295,0.032782310549515935
201205-201302,loser,14,0.007929114089137042,0.05711305068952952
201205-201302,winner,14,0.005206011175055843,0.042657659309384775
201206-201303,loser,14,-0.0037189653459407364,0.05157683906078724
201206-201303,winner,14,0.008949341265170852,0.04373248259492216
201207-201304,loser,14,-0.00727165453645025,0.03445331110106549
201207-201304,winner,14,-0.004514312867324286,0.04307959595873834
201208-201305,loser,14,-0.005473564115791607,0.029415681469861486
201208-201305,winner,14,-0.014989941349830078,0.04847265989648698
201209-201306,loser,14,0.008392759385538571,0.026585173789198484
201209-201306,winner,14,0.0006640760346048925,0.05279025620085413
201210-201307,loser,14,0.00512282169362845,0.029648532664733166
201210-201307,winner,14,0.021110559680742845,0.02661913317019792
201211-201308,loser,14,0.0081982226981571,0.032596280471865705
201211-201308,winner,14,0.015688156331275037,0.02344184956732976
201212-201309,loser,14,-0.00042785275894167827,0.02528261717584741
201212-201309,winner,14,0.01211108760943728,0.026557204442737046
