date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-01-03,2734,1924000,49232500,20.85,23.54,20.71,23.0,1.57,1050
2022-01-04,2734,918000,22253850,22.01,22.46,21.25,22.01,-0.99,566
2022-01-05,2734,419000,9885600,21.83,22.01,20.22,21.12,-0.89,309
2022-01-06,2734,204000,4601100,21.12,21.12,19.95,20.49,-0.63,163
2022-01-07,2734,422000,9309400,20.49,20.49,19.45,19.5,-0.99,267
2022-01-10,2734,140000,3057250,19.32,20.04,19.32,19.54,0.04,110
2022-01-11,2734,144000,3130650,20.13,20.13,19.32,19.54,0.0,84
2022-01-12,2734,95000,2067700,19.63,19.63,19.5,19.5,-0.04,51
2022-01-13,2734,91000,1971550,19.5,19.59,19.41,19.41,-0.09,60
2022-01-14,2734,197000,4187150,19.41,19.41,18.87,19.27,-0.14,107
2022-01-17,2734,72000,1579650,19.27,19.9,19.27,19.77,0.5,43
2022-01-18,2734,346000,7380400,19.77,19.81,18.87,19.36,-0.41,183
2022-01-19,2734,214000,4542950,18.42,19.72,18.42,19.14,-0.22,100
2022-01-20,2734,120000,2656700,20.53,20.53,19.32,19.59,0.45,79
2022-01-21,2734,86000,1843700,19.54,19.54,19.14,19.23,-0.36,61
2022-01-24,2734,97000,2077400,19.14,19.45,18.87,19.32,0.09,66
2022-01-25,2734,103000,2221300,19.14,19.72,19.14,19.27,-0.05,72
2022-01-26,2734,138000,3035450,19.68,19.99,19.32,19.72,0.45,92
2022-02-07,2734,306000,6916900,19.9,20.62,19.86,20.58,0.86,187
2022-02-08,2734,295000,6899050,20.58,21.21,20.49,21.16,0.58,206
2022-02-09,2734,166000,3865150,21.12,21.25,20.71,20.94,-0.22,121
2022-02-10,2734,217000,5060200,20.98,21.16,20.76,21.16,0.22,127
2022-02-11,2734,352000,8478900,21.16,22.33,20.94,21.56,0.4,237
2022-02-14,2734,220000,5207350,21.52,21.56,20.89,21.25,-0.31,155
2022-02-15,2734,1475000,37735650,21.25,23.36,21.25,22.91,1.66,707
2022-02-16,2734,1192000,30089850,22.87,23.36,22.06,22.91,0.0,654
2022-02-17,2734,2308000,63599450,22.87,25.2,22.55,25.2,2.29,1041
2022-02-18,2734,4010000,119463250,25.2,27.72,25.16,27.72,2.52,2184
2022-02-21,2734,2670000,80086350,27.76,28.35,25.88,26.82,-0.9,1635
2022-02-22,2734,1588000,44495200,25.97,26.28,24.22,25.38,-1.44,1037
2022-02-23,2734,1316000,38351400,25.61,26.96,25.16,26.91,1.53,801
