date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2014-01-02,6170,2024000,26330800,8.37,8.95,8.37,8.95,0.58,636
2014-01-03,6170,2466000,33583800,9.15,9.49,8.98,9.43,0.48,819
2014-01-06,6170,2237000,31459500,9.46,9.94,9.32,9.46,0.03,785
2014-01-07,6170,1100000,15289950,9.46,9.63,9.26,9.36,-0.1,400
2014-01-08,6170,1251000,17722150,9.6,9.77,9.53,9.56,0.2,382
2014-01-09,6170,1446000,20009100,9.56,9.56,9.26,9.39,-0.17,402
2014-01-10,6170,1240000,17300000,9.43,9.63,9.26,9.53,0.14,331
2014-01-13,6170,2918000,40157850,9.53,9.94,8.88,9.39,-0.14,830
2014-01-14,6170,912000,12371300,9.19,9.49,9.05,9.19,-0.2,283
2014-01-15,6170,1462000,19865250,9.26,9.53,9.05,9.26,0.07,375
2014-01-16,6170,719000,9693400,9.29,9.32,9.09,9.15,-0.11,190
2014-01-17,6170,571000,7641600,9.19,9.22,9.02,9.19,0.04,176
2014-01-20,6170,1244000,17346050,9.7,9.7,9.26,9.49,0.3,397
2014-01-21,6170,1190000,16581250,9.53,9.56,9.39,9.53,0.04,237
2014-01-22,6170,726000,10124500,9.53,9.6,9.39,9.43,-0.1,183
2014-01-23,6170,435000,6101750,9.43,9.63,9.43,9.53,0.1,151
2014-01-24,6170,1642000,22850300,9.53,9.83,9.19,9.53,0.0,420
2014-01-27,6170,911000,12808700,9.6,9.73,9.36,9.46,-0.07,284
2014-02-05,6170,621000,8553000,9.29,9.63,9.19,9.46,0.0,231
2014-02-06,6170,713000,9814700,9.32,9.53,9.26,9.36,-0.1,164
2014-02-07,6170,8367000,121632400,9.46,10.0,9.46,9.87,0.51,1537
2014-02-10,6170,2359000,34563900,9.94,10.17,9.8,10.0,0.13,654
2014-02-11,6170,2858000,42637100,10.21,10.41,9.87,10.21,0.21,756
2014-02-12,6170,3444000,54407400,10.41,10.92,10.24,10.92,0.71,976
2014-02-13,6170,2115000,33788000,10.99,11.09,10.58,10.96,0.04,743
2014-02-14,6170,2165000,34234650,10.89,11.09,10.55,10.55,-0.41,566
2014-02-17,6170,1767000,26920000,10.58,10.68,10.21,10.21,-0.34,502
2014-02-18,6170,1646000,25006300,10.21,10.58,10.07,10.28,0.07,430
2014-02-19,6170,1039000,15787450,10.28,10.48,10.21,10.38,0.1,283
2014-02-20,6170,1178000,18005550,10.24,10.68,10.24,10.31,-0.07,290
2014-02-21,6170,1227000,18802550,10.34,10.68,10.24,10.24,-0.07,345
2014-02-24,6170,884000,13317400,10.34,10.38,10.11,10.24,0.0,257
2014-02-25,6170,1159000,17620550,10.34,10.55,10.21,10.31,0.07,324
2014-02-26,6170,907000,13792900,10.31,10.48,10.24,10.41,0.1,197
2014-02-27,6170,583000,8974150,10.51,10.62,10.34,10.38,-0.03,233
2014-03-03,6170,1710000,25521300,10.48,10.55,9.66,9.66,-0.72,449
2014-03-04,6170,3122000,46638750,9.56,10.31,9.56,10.31,0.65,831
2014-03-05,6170,1874000,28579450,10.45,10.62,10.14,10.34,0.03,478
2014-03-06,6170,367000,5544600,10.45,10.45,10.21,10.24,-0.1,168
2014-03-07,6170,741000,11061350,10.31,10.41,9.97,10.07,-0.17,291
2014-03-10,6170,512000,7638600,10.07,10.31,9.87,10.14,0.07,198
2014-03-11,6170,546000,7967950,9.87,10.17,9.6,9.87,-0.27,182
2014-03-12,6170,828000,11760150,9.87,9.97,9.43,9.53,-0.34,285
2014-03-13,6170,968000,13648650,9.73,9.73,9.49,9.63,0.1,288
2014-03-14,6170,375000,5282800,9.63,9.66,9.53,9.63,0.0,125
2014-03-17,6170,300000,4262500,9.7,9.73,9.6,9.6,-0.03,112
