日期,收盤價
114/09/01,52.00
114/09/02,52.00
114/09/03,51.95
114/09/04,52.30
114/09/05,52.85
114/09/08,53.35
114/09/09,53.90
114/09/10,54.95
114/09/11,55.45
114/09/12,56.00
114/09/15,56.00
114/09/16,56.75
114/09/17,56.35
114/09/18,56.95
114/09/19,57.00
114/09/22,57.40
114/09/23,58.45
114/09/24,58.40
114/09/25,58.20
114/09/26,57.25
114/09/30,57.80
月平均收盤價,55.49
