銀行,西元年月,民國年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-固定,定存利率-三個月-固定,定存利率-三個月-固定,定存利率-六個月-固定,定存利率-六個月-固定,定存利率-九個月-固定,定存利率-九個月-固定,定存利率-一年期-固定,定存利率-一年期-固定,定存利率-二年期-固定,定存利率-二年期-固定,定存利率-三年期-固定,定存利率-三年期-固定,定存利率-一年期-固定,定存利率-一年期-固定,定存利率-二年期-固定,定存利率-二年期-固定,定存利率-三年期-固定,定存利率-三年期-固定,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
臺灣銀行,2001-1,09001,,2.000,,3.750,4.400,4.400,4.600,4.600,4.700,4.700,4.800,4.800,5.000,5.000,5.100,5.100,5.200,5.200,5.050,5.050,5.150,5.150,5.250,5.250,,,,,,
臺灣銀行,2001-2,09002,,2.000,,3.700,4.250,4.300,4.450,4.500,4.550,4.600,4.650,4.700,4.800,4.850,4.900,4.950,5.000,5.050,4.850,4.900,4.950,5.000,5.150,5.200,,,,,,
臺灣銀行,2001-3,09003,,2.000,,3.700,4.150,4.250,4.350,4.450,4.460,4.560,4.560,4.660,4.690,4.790,4.790,4.890,4.890,4.990,4.740,4.840,4.840,4.940,5.040,5.140,,,,,,
臺灣銀行,2001-4,09004,,1.750,,3.550,3.800,3.950,3.900,4.050,4.050,4.200,4.150,4.300,4.275,4.425,4.275,4.425,4.275,4.425,4.325,4.450,4.275,4.425,4.275,4.425,,,,,,
臺灣銀行,2001-5,09005,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
臺灣銀行,2001-6,09006,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
臺灣銀行,2001-7,09007,,1.550,,3.300,3.450,3.600,3.550,3.700,3.700,3.850,3.800,3.950,3.900,4.050,3.900,4.050,3.900,4.050,3.950,4.150,3.950,4.150,3.950,4.150,,,,,,
臺灣銀行,2001-8,09008,,1.500,,3.100,3.200,3.350,3.300,3.450,3.450,3.600,3.550,3.700,3.650,3.800,3.650,3.800,3.650,3.800,3.750,3.950,3.750,3.950,3.750,3.950,,,,,,
臺灣銀行,2001-9,09009,,1.250,,2.700,2.750,2.850,2.900,3.100,2.950,3.100,3.050,3.200,3.150,3.300,3.150,3.300,3.150,3.300,3.250,3.450,3.250,3.450,3.250,3.450,,,,,,
臺灣銀行,2001-10,09010,,1.300,,2.500,2.500,2.550,2.550,2.550,2.600,2.800,2.750,2.900,2.800,3.000,2.800,3.000,2.800,3.000,2.850,3.200,2.850,3.200,2.850,3.200,,,,,,
臺灣銀行,2001-11,09011,,1.300,,2.300,2.200,2.300,2.250,2.350,2.350,2.550,2.450,2.650,2.500,2.750,2.500,2.750,2.500,2.750,2.550,2.950,2.550,2.950,2.550,2.950,,,,,,
臺灣銀行,2001-12,09012,,1.300,,2.300,2.200,2.300,2.250,2.350,2.350,2.550,2.450,2.650,2.500,2.750,2.500,2.750,2.500,2.750,2.550,2.950,2.550,2.950,2.550,2.950,,,,,,
臺灣銀行,2002-1,09101,,1.300,,2.200,2.000,2.175,2.050,2.225,2.150,2.425,2.250,2.525,2.300,2.625,2.300,2.625,2.300,2.625,2.350,2.825,2.350,2.825,2.350,2.825,,,,,,
臺灣銀行,2002-2,09102,,1.300,,2.200,2.000,2.175,2.050,2.225,2.150,2.425,2.250,2.525,2.300,2.625,2.300,2.625,2.300,2.625,2.350,2.825,2.350,2.825,2.350,2.825,,,,,,
臺灣銀行,2002-3,09103,,1.300,,2.200,2.000,2.175,2.050,2.225,2.150,2.425,2.250,2.525,2.300,2.625,2.300,2.625,2.300,2.625,2.350,2.825,2.350,2.825,2.350,2.825,,,,,,
臺灣銀行,2002-4,09104,,1.300,,1.950,2.100,2.125,2.125,2.150,2.250,2.275,2.325,2.375,2.375,2.400,2.400,2.425,2.400,2.425,2.400,2.425,2.425,2.450,2.425,2.450,,,,,,
臺灣銀行,2002-5,09105,,1.300,,1.950,2.100,2.125,2.125,2.150,2.250,2.275,2.325,2.375,2.375,2.400,2.400,2.425,2.400,2.425,2.400,2.425,2.425,2.450,2.425,2.450,,,,,,
臺灣銀行,2002-6,09106,,1.300,,1.950,2.100,2.125,2.125,2.150,2.250,2.275,2.325,2.375,2.375,2.400,2.400,2.425,2.400,2.425,2.400,2.425,2.425,2.450,2.425,2.450,,,,,,
臺灣銀行,2002-7,09107,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
臺灣銀行,2002-8,09108,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
臺灣銀行,2002-9,09109,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
臺灣銀行,2002-10,09110,,0.800,,1.600,1.800,1.800,1.850,1.850,1.950,1.950,2.050,2.050,2.125,2.125,2.200,2.150,2.250,2.150,2.150,2.150,2.250,2.175,2.250,2.175,,,,,,
臺灣銀行,2002-11,09111,,0.550,,1.350,1.550,1.550,1.600,1.600,1.700,1.700,1.800,1.800,1.875,1.875,1.950,1.900,1.975,1.900,1.900,1.900,1.975,1.950,2.025,1.950,,2.003,,,,
臺灣銀行,2002-12,09112,,0.550,,1.350,1.550,1.550,1.600,1.600,1.700,1.700,1.800,1.800,1.875,1.875,1.950,1.900,1.975,1.900,1.900,1.900,1.975,1.950,2.025,1.950,,2.003,,,,
臺灣銀行,2003-1,09201,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,2.003,,,,4.200
臺灣銀行,2003-2,09202,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,2.003,,,,4.200
臺灣銀行,2003-3,09203,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.678,,,,4.200
臺灣銀行,2003-4,09204,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.678,,,,3.990
臺灣銀行,2003-5,09205,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.678,,,,3.990
臺灣銀行,2003-6,09206,,0.450,,0.900,1.200,1.200,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.600,1.600,1.625,1.625,1.550,1.550,1.625,1.625,1.675,1.675,,1.649,,,,3.857
臺灣銀行,2003-7,09207,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.649,,,,3.857
臺灣銀行,2003-8,09208,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.649,,,,3.857
臺灣銀行,2003-9,09209,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2003-10,09210,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2003-11,09211,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2003-12,09212,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-1,09301,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-2,09302,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-3,09303,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-4,09304,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-5,09305,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-6,09306,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-7,09307,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-8,09308,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-9,09309,,0.325,,0.750,1.075,1.075,1.125,1.125,1.225,1.225,1.325,1.325,1.400,1.400,1.475,1.475,1.500,1.500,1.425,1.425,1.500,1.500,1.550,1.550,,1.503,,,,3.857
臺灣銀行,2004-10,09310,,0.325,,0.750,1.150,1.150,1.200,1.200,1.300,1.300,1.400,1.400,1.525,1.500,1.600,1.575,1.625,1.600,1.550,1.525,1.625,1.600,1.675,1.650,,1.503,,,,3.934
臺灣銀行,2004-11,09311,,0.325,,0.750,1.150,1.150,1.200,1.200,1.300,1.300,1.400,1.400,1.525,1.500,1.600,1.575,1.625,1.600,1.550,1.525,1.625,1.600,1.675,1.650,,1.503,,,,3.934
臺灣銀行,2004-12,09312,,0.325,,0.750,1.150,1.150,1.200,1.200,1.300,1.300,1.400,1.400,1.525,1.500,1.600,1.575,1.625,1.600,1.550,1.525,1.625,1.600,1.675,1.650,,1.618,,,,3.934
臺灣銀行,2005-1,09401,,0.325,,0.750,1.215,1.215,1.265,1.265,1.365,1.365,1.465,1.465,1.590,1.565,1.670,1.640,1.700,1.665,1.620,1.590,1.700,1.665,1.750,1.715,,1.618,,,,4.025
臺灣銀行,2005-2,09402,,0.325,,0.750,1.215,1.215,1.265,1.265,1.365,1.365,1.465,1.465,1.590,1.565,1.670,1.640,1.700,1.665,1.620,1.590,1.700,1.665,1.750,1.715,,1.618,,,,4.025
臺灣銀行,2005-3,09403,,0.325,,0.750,1.285,1.285,1.335,1.335,1.465,1.445,1.565,1.545,1.690,1.645,1.770,1.720,1.800,1.745,1.720,1.670,1.800,1.745,1.850,1.795,,1.689,,,,4.118
臺灣銀行,2005-4,09404,,0.325,,0.750,1.285,1.285,1.335,1.335,1.465,1.445,1.565,1.545,1.690,1.645,1.770,1.720,1.800,1.745,1.720,1.670,1.800,1.745,1.850,1.795,,1.689,,,,4.118
臺灣銀行,2005-5,09405,,0.325,,0.750,1.285,1.285,1.335,1.335,1.465,1.445,1.565,1.545,1.690,1.645,1.770,1.720,1.800,1.745,1.720,1.670,1.800,1.745,1.850,1.795,,1.689,,,,4.118
臺灣銀行,2005-6,09406,,0.325,,0.750,1.285,1.285,1.335,1.335,1.465,1.445,1.565,1.545,1.690,1.645,1.770,1.720,1.800,1.745,1.720,1.670,1.800,1.745,1.850,1.795,,1.786,,,,4.118
臺灣銀行,2005-7,09407,,0.325,,0.750,1.355,1.355,1.415,1.415,1.555,1.535,1.665,1.645,1.790,1.745,1.870,1.820,1.900,1.845,1.820,1.770,1.900,1.845,1.950,1.895,,1.786,,,,4.212
臺灣銀行,2005-8,09408,,0.325,,0.750,1.355,1.355,1.415,1.415,1.555,1.535,1.665,1.645,1.790,1.745,1.870,1.820,1.900,1.845,1.820,1.770,1.900,1.845,1.950,1.895,,1.786,,,,4.212
臺灣銀行,2005-9,09409,,0.325,,0.750,1.425,1.425,1.495,1.495,1.645,1.625,1.765,1.745,1.890,1.845,1.970,1.920,2.000,1.945,1.920,1.870,2.000,1.945,2.050,1.995,,1.888,,,,4.304
臺灣銀行,2005-10,09410,,0.325,,0.750,1.425,1.425,1.495,1.495,1.645,1.625,1.765,1.745,1.890,1.845,1.970,1.920,2.000,1.945,1.920,1.870,2.000,1.945,2.050,1.995,,1.888,,,,4.304
臺灣銀行,2005-11,09411,,0.325,,0.750,1.425,1.425,1.495,1.495,1.645,1.625,1.765,1.745,1.890,1.845,1.970,1.920,2.000,1.945,1.920,1.870,2.000,1.945,2.050,1.995,,1.888,,,,4.304
臺灣銀行,2005-12,09412,,0.325,,0.750,1.495,1.495,1.575,1.575,1.735,1.715,1.865,1.845,1.990,1.945,2.070,2.020,2.100,2.045,2.020,1.970,2.100,2.045,2.150,2.095,,1.988,,,,4.398
臺灣銀行,2006-1,09501,,0.325,,0.750,1.495,1.495,1.575,1.575,1.735,1.715,1.865,1.845,1.990,1.945,2.070,2.020,2.100,2.045,2.020,1.970,2.100,2.045,2.150,2.095,,1.988,,,,4.398
臺灣銀行,2006-2,09502,,0.325,,0.750,1.495,1.495,1.575,1.575,1.735,1.715,1.865,1.845,1.990,1.945,2.070,2.020,2.100,2.045,2.020,1.970,2.100,2.045,2.150,2.095,,1.988,,,,4.398
臺灣銀行,2006-3,09503,,0.325,,0.750,1.495,1.495,1.575,1.575,1.735,1.715,1.865,1.845,1.990,1.945,2.070,2.020,2.100,2.045,2.020,1.970,2.100,2.045,2.150,2.095,,2.088,,,,4.398
臺灣銀行,2006-4,09504,,0.325,,0.750,1.565,1.565,1.645,1.645,1.805,1.785,1.935,1.915,2.060,2.015,2.140,2.090,2.170,2.115,2.090,2.040,2.170,2.115,2.220,2.165,,2.088,,,,4.491
臺灣銀行,2006-5,09505,,0.325,,0.750,1.565,1.565,1.645,1.645,1.805,1.785,1.935,1.915,2.060,2.015,2.140,2.090,2.170,2.115,2.090,2.040,2.170,2.115,2.220,2.165,,2.088,,,,4.491
臺灣銀行,2006-6,09506,,0.325,,0.750,1.565,1.565,1.645,1.645,1.805,1.785,1.935,1.915,2.060,2.015,2.140,2.090,2.170,2.115,2.090,2.040,2.170,2.115,2.220,2.165,,2.158,,,,4.491
臺灣銀行,2006-7,09507,,0.325,,0.750,1.635,1.635,1.715,1.715,1.875,1.855,2.005,1.985,2.130,2.085,2.210,2.160,2.240,2.185,2.160,2.110,2.240,2.185,2.290,2.235,,2.158,,,,4.588
臺灣銀行,2006-8,09508,,0.325,,0.750,1.635,1.635,1.715,1.715,1.875,1.855,2.005,1.985,2.130,2.085,2.210,2.160,2.240,2.185,2.160,2.110,2.240,2.185,2.290,2.235,,2.158,,,,4.588
臺灣銀行,2006-9,09509,,0.325,,0.750,1.635,1.635,1.715,1.715,1.875,1.855,2.005,1.985,2.130,2.085,2.210,2.160,2.240,2.185,2.160,2.110,2.240,2.185,2.290,2.235,,2.227,,,,4.588
臺灣銀行,2006-10,09510,,0.325,,0.750,1.705,1.705,1.785,1.785,1.945,1.925,2.075,2.055,2.200,2.155,2.280,2.230,2.310,2.255,2.230,2.180,2.310,2.255,2.360,2.305,,2.227,,,,4.685
臺灣銀行,2006-11,09511,,0.325,,0.750,1.705,1.705,1.785,1.785,1.945,1.925,2.075,2.055,2.200,2.155,2.280,2.230,2.310,2.255,2.230,2.180,2.310,2.255,2.360,2.305,,2.227,,,,4.685
臺灣銀行,2006-12,09512,,0.325,,0.750,1.705,1.705,1.785,1.785,1.945,1.925,2.075,2.055,2.200,2.155,2.280,2.230,2.310,2.255,2.230,2.180,2.310,2.255,2.360,2.305,,2.297,,,,4.685
臺灣銀行,2007-1,09601,,0.325,,0.750,1.735,1.735,1.815,1.815,1.975,1.955,2.105,2.085,2.230,2.185,2.310,2.260,2.340,2.285,2.260,2.210,2.340,2.285,2.390,2.335,,2.297,,,,3.756
臺灣銀行,2007-2,09602,,0.325,,0.750,1.735,1.735,1.815,1.815,1.975,1.955,2.105,2.085,2.230,2.185,2.310,2.260,2.340,2.285,2.260,2.210,2.340,2.285,2.390,2.335,,2.297,,,,3.786
臺灣銀行,2007-3,09603,,0.325,,0.750,1.735,1.735,1.815,1.815,1.975,1.955,2.105,2.085,2.230,2.185,2.310,2.260,2.340,2.285,2.260,2.210,2.340,2.285,2.390,2.335,,2.327,,,,3.786
臺灣銀行,2007-4,09604,,0.325,,0.750,1.765,1.765,1.845,1.845,2.005,1.985,2.135,2.115,2.260,2.215,2.340,2.290,2.340,2.285,2.290,2.240,2.370,2.315,2.390,2.335,,2.327,,,,3.786
臺灣銀行,2007-5,09605,,0.325,,0.750,1.765,1.765,1.845,1.845,2.005,1.985,2.135,2.115,2.260,2.215,2.340,2.290,2.340,2.285,2.290,2.240,2.370,2.315,2.390,2.335,,2.327,,,,3.816
臺灣銀行,2007-6,09606,,0.325,,0.750,1.965,1.965,2.055,2.045,2.205,2.185,2.345,2.315,2.515,2.415,2.590,2.490,2.605,2.495,2.540,2.440,2.615,2.515,2.645,2.535,,2.339,,,,3.816
臺灣銀行,2007-7,09607,,0.325,,0.750,1.965,1.965,2.055,2.045,2.205,2.185,2.345,2.315,2.515,2.415,2.590,2.490,2.605,2.495,2.540,2.440,2.615,2.515,2.645,2.535,,2.339,,,,3.816
臺灣銀行,2007-8,09608,,0.325,,0.750,1.965,1.965,2.055,2.045,2.205,2.185,2.345,2.315,2.515,2.415,2.590,2.490,2.605,2.495,2.540,2.440,2.615,2.515,2.645,2.535,,2.339,,,,4.016
臺灣銀行,2007-9,09609,,0.325,,0.750,2.025,2.025,2.125,2.115,2.285,2.265,2.425,2.395,2.575,2.495,2.650,2.570,2.665,2.575,2.600,2.520,2.675,2.595,2.705,2.615,,2.551,,,,4.016
臺灣銀行,2007-10,09610,,0.325,,0.750,2.025,2.025,2.125,2.115,2.285,2.265,2.425,2.395,2.575,2.495,2.650,2.570,2.665,2.575,2.600,2.520,2.675,2.595,2.705,2.615,,2.551,,,,4.016
臺灣銀行,2007-11,09611,,0.325,,0.750,2.025,2.025,2.125,2.115,2.285,2.265,2.425,2.395,2.575,2.495,2.650,2.570,2.665,2.575,2.600,2.520,2.675,2.595,2.705,2.615,,2.551,,,,4.096
臺灣銀行,2007-12,09612,,0.325,,0.750,2.085,2.085,2.195,2.185,2.365,2.345,2.505,2.475,2.635,2.575,2.710,2.650,2.725,2.655,2.660,2.600,2.735,2.675,2.765,2.695,,2.621,,,,4.096
臺灣銀行,2008-1,09701,,0.325,,0.750,2.085,2.085,2.195,2.185,2.365,2.345,2.505,2.475,2.635,2.575,2.710,2.650,2.725,2.655,2.660,2.600,2.735,2.675,2.765,2.695,,2.621,,,,4.096
臺灣銀行,2008-2,09702,,0.325,,0.750,2.085,2.085,2.195,2.185,2.365,2.345,2.505,2.475,2.635,2.575,2.710,2.650,2.725,2.655,2.660,2.600,2.735,2.675,2.765,2.695,,2.621,,,,4.176
臺灣銀行,2008-3,09703,,0.325,,0.750,2.085,2.085,2.195,2.185,2.365,2.345,2.505,2.475,2.635,2.575,2.710,2.650,2.725,2.655,2.660,2.600,2.735,2.675,2.765,2.695,,2.693,,,,4.176
臺灣銀行,2008-4,09704,,0.250,,0.700,2.135,2.135,2.235,2.235,2.405,2.395,2.545,2.525,2.675,2.625,2.750,2.700,2.765,2.705,2.700,2.650,2.775,2.725,2.805,2.745,,2.693,,,,4.176
臺灣銀行,2008-5,09705,,0.250,,0.700,2.135,2.135,2.235,2.235,2.405,2.395,2.545,2.525,2.675,2.625,2.750,2.700,2.765,2.705,2.700,2.650,2.775,2.725,2.805,2.745,,2.693,,,,4.176
臺灣銀行,2008-6,09706,,0.230,,0.680,2.195,2.195,2.295,2.295,2.465,2.455,2.605,2.585,2.735,2.685,2.810,2.760,2.825,2.765,2.760,2.710,2.835,2.785,2.865,2.805,,2.736,,,,4.176
臺灣銀行,2008-7,09707,,0.230,,0.680,2.195,2.195,2.295,2.295,2.465,2.455,2.605,2.585,2.735,2.685,2.810,2.760,2.825,2.765,2.760,2.710,2.835,2.785,2.865,2.805,,2.736,,,,4.176
臺灣銀行,2008-8,09708,,0.230,,0.680,2.195,2.195,2.295,2.295,2.465,2.455,2.605,2.585,2.735,2.685,2.810,2.760,2.825,2.765,2.760,2.710,2.835,2.785,2.865,2.805,,2.736,,,,4.236
臺灣銀行,2008-9,09709,,0.230,,0.680,2.145,2.145,2.245,2.245,2.415,2.405,2.555,2.535,2.685,2.635,2.760,2.710,2.775,2.715,2.710,2.660,2.785,2.735,2.815,2.755,,2.796,,,,4.236
臺灣銀行,2008-10,09710,,0.230,,0.680,1.905,1.945,2.005,2.045,2.175,2.205,2.315,2.335,2.420,2.435,2.495,2.510,2.500,2.515,2.445,2.460,2.520,2.535,2.540,2.555,,2.796,,,,4.236
臺灣銀行,2008-11,09711,,0.230,,0.680,1.655,1.695,1.755,1.795,1.925,1.955,2.065,2.085,2.170,2.185,2.245,2.260,2.250,2.265,2.195,2.210,2.270,2.285,2.290,2.305,,2.796,,2.248,,4.026
臺灣銀行,2008-12,09712,,0.100,,0.450,0.945,1.095,1.005,1.145,1.175,1.305,1.315,1.435,1.420,1.535,1.495,1.610,1.500,1.615,1.445,1.560,1.520,1.635,1.540,1.655,,1.498,,1.498,,4.026
臺灣銀行,2009-1,09801,,0.100,,0.300,0.495,0.695,0.545,0.745,0.675,0.905,0.815,1.035,0.920,1.135,0.995,1.210,1.000,1.215,0.945,1.160,1.020,1.235,1.040,1.255,,1.498,,0.996,,4.026
臺灣銀行,2009-2,09802,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,1.498,,0.996,,2.686
臺灣銀行,2009-3,09803,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.686
臺灣銀行,2009-4,09804,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.686
臺灣銀行,2009-5,09805,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.636
臺灣銀行,2009-6,09806,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.636
臺灣銀行,2009-7,09807,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.636
臺灣銀行,2009-8,09808,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.636
臺灣銀行,2009-9,09809,,0.100,,0.250,0.445,0.645,0.495,0.695,0.575,0.855,0.715,0.985,0.770,1.085,0.845,1.160,0.850,1.165,0.795,1.110,0.870,1.185,0.890,1.205,,0.849,,0.849,,2.636
臺灣銀行,2009-10,09810,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.849,,0.988,,2.636
臺灣銀行,2009-11,09811,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.849,,0.988,,2.556
臺灣銀行,2009-12,09812,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.988,,0.988,,2.556
臺灣銀行,2010-1,09901,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.988,,0.988,,2.556
臺灣銀行,2010-2,09902,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.988,,0.988,,2.556
臺灣銀行,2010-3,09903,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.988,,0.988,,2.556
臺灣銀行,2010-4,09904,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.988,,0.988,,2.556
臺灣銀行,2010-5,09905,,0.100,,0.230,0.580,0.590,0.610,0.630,0.740,0.780,0.860,0.900,0.900,1.005,0.995,1.065,1.030,1.070,0.915,1.030,1.020,1.095,1.070,1.110,,0.988,,0.988,,2.556
臺灣銀行,2010-6,09906,,0.110,,0.250,0.650,0.650,0.690,0.690,0.850,0.840,0.970,0.960,1.025,1.065,1.120,1.125,1.155,1.130,1.040,1.090,1.145,1.155,1.195,1.170,,0.988,,0.988,,2.556
臺灣銀行,2010-7,09907,,0.110,,0.250,0.650,0.650,0.690,0.690,0.850,0.840,0.970,0.960,1.025,1.065,1.120,1.125,1.155,1.130,1.040,1.090,1.145,1.155,1.195,1.170,,0.988,,1.105,,2.556
臺灣銀行,2010-8,09908,,0.110,,0.250,0.650,0.650,0.690,0.690,0.850,0.840,0.970,0.960,1.025,1.065,1.120,1.125,1.155,1.130,1.040,1.090,1.145,1.155,1.195,1.170,,0.988,,1.105,,2.616
