西元年月,avg_rate_yr,risk_free_monthly
2001-1,5.0,0.0040741237836483535
2001-10,2.8,0.0023039138595752906
2001-11,2.45,0.0020190930200914003
2001-12,2.41,0.0019864852944315725
2001-2,4.8,0.003914607630530309
2001-3,4.658,0.0038011816750265215
2001-4,4.267,0.003488130328477279
2001-5,4.08,0.0033380295383023117
2001-6,4.08,0.0033380295383023117
2001-7,3.87,0.0031691721789193217
2001-8,3.62,0.0029677430057029053
2001-9,3.12,0.0025635446626290914
2002-1,2.3,0.0018967538135683526
2002-10,2.1100000000000003,0.0017415545459757986
2002-11,1.86,0.0015369411743291206
2002-12,1.86,0.0015369411743291206
2002-2,2.3,0.0018967538135683526
2002-3,2.3,0.0018967538135683526
2002-4,2.355,0.0019416306036859066
2002-5,2.355,0.0019416306036859066
2002-6,2.315,0.0019089951311190845
2002-7,2.1100000000000003,0.0017415545459757986
2002-8,2.1100000000000003,0.0017415545459757986
2002-9,2.1100000000000003,0.0017415545459757986
2003-1,1.54,0.0012743632726075482
2003-10,1.4,0.0011592468385308585
2003-11,1.4,0.0011592468385308585
2003-12,1.4,0.0011592468385308585
2003-2,1.54,0.0012743632726075482
2003-3,1.54,0.0012743632726075482
2003-4,1.54,0.0012743632726075482
2003-5,1.5299999999999998,0.0012661454966749197
2003-6,1.525,0.0012620363304756133
2003-7,1.4,0.0011592468385308585
2003-8,1.4,0.0011592468385308585
2003-9,1.4,0.0011592468385308585
2004-1,1.4,0.0011592468385308585
2004-10,1.52,0.0012579269787644787
2004-11,1.52,0.0012579269787644787
2004-12,1.52,0.0012579269787644787
2004-2,1.4,0.0011592468385308585
2004-3,1.4,0.0011592468385308585
2004-4,1.4,0.0011592468385308585
2004-5,1.4,0.0011592468385308585
2004-6,1.4,0.0011592468385308585
2004-7,1.4,0.0011592468385308585
2004-8,1.4,0.0011592468385308585
2004-9,1.4,0.0011592468385308585
2005-1,1.5870000000000002,0.0013129768848860746
2005-10,1.89,0.0015615190697231274
2005-11,1.89,0.0015615190697231274
2005-12,1.9899999999999998,0.0016433975062259965
2005-2,1.5870000000000002,0.0013129768848860746
2005-3,1.684,0.0013926170603397736
2005-4,1.688,0.001395899695964875
2005-5,1.688,0.001395899695964875
2005-6,1.688,0.001395899695964875
2005-7,1.7899999999999998,0.0014795669370546438
2005-8,1.7899999999999998,0.0014795669370546438
2005-9,1.89,0.0015615190697231274
2006-1,1.9899999999999998,0.0016433975062259965
2006-10,2.2,0.001815102957196446
2006-11,2.2,0.001815102957196446
2006-12,2.2,0.001815102957196446
2006-2,1.9899999999999998,0.0016433975062259965
2006-3,1.9899999999999998,0.0016433975062259965
2006-4,2.06,0.0017006686367058155
2006-5,2.06,0.0017006686367058155
2006-6,2.06,0.0017006686367058155
2006-7,2.13,0.0017579037712718293
2006-8,2.13,0.0017579037712718293
2006-9,2.13,0.0017579037712718293
2007-1,2.23,0.0018396059010297172
2007-10,2.541,0.002093232142250656
2007-11,2.541,0.002093232142250656
2007-12,2.617,0.0021551043255154667
2007-2,2.23,0.0018396059010297172
2007-3,2.23,0.0018396059010297172
2007-4,2.26,0.0018641022544263475
2007-5,2.26,0.0018641022544263475
2007-6,2.471,0.00203620740460031
2007-7,2.471,0.00203620740460031
2007-8,2.471,0.00203620740460031
2007-9,2.541,0.002093232142250656
2008-1,2.617,0.0021551043255154667
2008-10,2.501,0.0020606509489937697
2008-11,2.1733333333333333,0.0017933170269677223
2008-12,1.4209999999999998,0.001176523588032552
2008-2,2.617,0.0021551043255154667
2008-3,2.617,0.0021551043255154667
2008-4,2.659,0.002189278829296981
2008-5,2.659,0.002189278829296981
2008-6,2.6710000000000003,0.0021990406192045064
2008-7,2.719,0.0022380773231176487
2008-8,2.719,0.0022380773231176487
2008-9,2.6990000000000003,0.002221814062370653
2009-1,0.921,0.0007642791270960902
2009-10,0.893,0.0007411381193531685
2009-11,0.893,0.0007411381193531685
2009-12,0.893,0.0007411381193531685
2009-2,0.771,0.000640240686909932
2009-3,0.771,0.000640240686909932
2009-4,0.771,0.000640240686909932
2009-5,0.771,0.000640240686909932
2009-6,0.771,0.000640240686909932
2009-7,0.771,0.000640240686909932
2009-8,0.771,0.000640240686909932
2009-9,0.771,0.000640240686909932
2010-1,0.893,0.0007411381193531685
2010-10,1.1309999999999998,0.000937649330181145
2010-11,1.1309999999999998,0.000937649330181145
2010-12,1.1309999999999998,0.000937649330181145
2010-2,0.893,0.0007411381193531685
2010-3,0.893,0.0007411381193531685
2010-4,0.893,0.0007411381193531685
2010-5,0.893,0.0007411381193531685
2010-6,1.018,0.0008444007053833857
2010-7,1.018,0.0008444007053833857
2010-8,1.018,0.0008444007053833857
2010-9,1.018,0.0008444007053833857
2011-1,1.188,0.00098465001312098
2011-10,1.355,0.0011222141853224343
2011-11,1.355,0.0011222141853224343
2011-12,1.355,0.0011222141853224343
2011-2,1.188,0.00098465001312098
2011-3,1.188,0.00098465001312098
2011-4,1.276,0.0010571648349839702
2011-5,1.276,0.0010571648349839702
2011-6,1.276,0.0010571648349839702
2011-7,1.355,0.0011222141853224343
2011-8,1.355,0.0011222141853224343
2011-9,1.355,0.0011222141853224343
2012-1,1.355,0.0011222141853224343
2012-10,1.355,0.0011222141853224343
2012-11,1.355,0.0011222141853224343
2012-12,1.355,0.0011222141853224343
2012-2,1.355,0.0011222141853224343
2012-3,1.355,0.0011222141853224343
2012-4,1.355,0.0011222141853224343
2012-5,1.355,0.0011222141853224343
2012-6,1.355,0.0011222141853224343
2012-7,1.355,0.0011222141853224343
2012-8,1.355,0.0011222141853224343
2012-9,1.355,0.0011222141853224343
2013-1,1.355,0.0011222141853224343
2013-10,1.355,0.0011222141853224343
2013-11,1.355,0.0011222141853224343
2013-12,1.355,0.0011222141853224343
2013-2,1.355,0.0011222141853224343
2013-3,1.355,0.0011222141853224343
2013-4,1.355,0.0011222141853224343
2013-5,1.355,0.0011222141853224343
2013-6,1.355,0.0011222141853224343
2013-7,1.355,0.0011222141853224343
2013-8,1.355,0.0011222141853224343
2013-9,1.355,0.0011222141853224343
2014-1,1.355,0.0011222141853224343
2014-10,1.355,0.0011222141853224343
2014-11,1.355,0.0011222141853224343
