,date,stock_id,close
0,2014-01-02,1101,20.25
1,2014-01-03,1101,19.87
2,2014-01-06,1101,19.45
3,2014-01-07,1101,19.69
4,2014-01-08,1101,19.58
5,2014-01-09,1101,19.14
6,2014-01-10,1101,19.54
7,2014-01-13,1101,19.54
8,2014-01-14,1101,19.67
9,2014-01-15,1101,19.96
10,2014-01-16,1101,19.63
11,2014-01-17,1101,19.54
12,2014-01-20,1101,19.69
13,2014-01-21,1101,20.03
14,2014-01-22,1101,20.16
15,2014-01-23,1101,20.27
16,2014-01-24,1101,20.23
17,2014-01-27,1101,19.76
18,2014-02-05,1101,19.0
19,2014-02-06,1101,19.36
20,2014-02-07,1101,19.45
21,2014-02-10,1101,19.76
22,2014-02-11,1101,19.92
23,2014-02-12,1101,20.21
24,2014-02-13,1101,20.27
25,2014-02-14,1101,20.41
26,2014-02-17,1101,20.52
27,2014-02-18,1101,20.54
28,2014-02-19,1101,20.43
29,2014-02-20,1101,20.45
30,2014-02-21,1101,20.94
31,2014-02-24,1101,20.81
32,2014-02-25,1101,21.32
33,2014-02-26,1101,21.21
34,2014-02-27,1101,21.55
35,2014-03-03,1101,21.26
36,2014-03-04,1101,20.74
37,2014-03-05,1101,21.23
38,2014-03-06,1101,21.03
39,2014-03-07,1101,20.97
40,2014-03-10,1101,21.19
41,2014-03-11,1101,20.76
42,2014-03-12,1101,21.08
43,2014-03-13,1101,21.01
44,2014-03-14,1101,20.97
45,2014-03-17,1101,21.14
46,2014-03-18,1101,20.97
47,2014-03-19,1101,20.83
48,2014-03-20,1101,20.83
49,2014-03-21,1101,20.5
50,2014-03-24,1101,20.52
51,2014-03-25,1101,21.23
52,2014-03-26,1101,21.17
53,2014-03-27,1101,20.97
54,2014-03-28,1101,21.05
55,2014-03-31,1101,20.97
56,2014-04-01,1101,21.32
57,2014-04-02,1101,20.99
58,2014-04-03,1101,21.05
59,2014-04-07,1101,21.1
60,2014-04-08,1101,20.92
61,2014-04-09,1101,21.32
62,2014-04-10,1101,22.08
63,2014-04-11,1101,22.08
64,2014-04-14,1101,21.55
65,2014-04-15,1101,21.66
66,2014-04-16,1101,21.59
67,2014-04-17,1101,21.61
68,2014-04-18,1101,21.86
69,2014-04-21,1101,21.9
70,2014-04-22,1101,21.75
71,2014-04-23,1101,21.66
72,2014-04-24,1101,21.48
73,2014-04-25,1101,20.74
74,2014-04-28,1101,21.23
75,2014-04-29,1101,21.34
76,2014-04-30,1101,21.37
77,2014-05-02,1101,21.17
78,2014-05-05,1101,20.94
79,2014-05-06,1101,20.88
80,2014-05-07,1101,20.52
81,2014-05-08,1101,20.39
82,2014-05-09,1101,20.21
83,2014-05-12,1101,19.72
84,2014-05-13,1101,19.63
85,2014-05-14,1101,19.76
86,2014-05-15,1101,20.21
87,2014-05-16,1101,20.47
88,2014-05-19,1101,19.85
89,2014-05-20,1101,19.81
90,2014-05-21,1101,19.63
91,2014-05-22,1101,19.67
92,2014-05-23,1101,19.72
93,2014-05-26,1101,19.69
94,2014-05-27,1101,20.12
95,2014-05-28,1101,19.94
96,2014-05-29,1101,19.96
97,2014-05-30,1101,19.89
98,2014-06-03,1101,19.78
99,2014-06-04,1101,19.85
100,2014-06-05,1101,20.07
101,2014-06-06,1101,20.52
102,2014-06-09,1101,20.65
103,2014-06-10,1101,20.59
104,2014-06-11,1101,20.43
105,2014-06-12,1101,20.27
106,2014-06-13,1101,20.01
107,2014-06-16,1101,19.96
108,2014-06-17,1101,19.94
109,2014-06-18,1101,20.1
110,2014-06-19,1101,20.07
111,2014-06-20,1101,19.98
112,2014-06-23,1101,19.81
113,2014-06-24,1101,20.07
114,2014-06-25,1101,19.92
115,2014-06-26,1101,19.92
116,2014-06-27,1101,19.96
117,2014-06-30,1101,20.16
118,2014-07-01,1101,20.61
119,2014-07-02,1101,20.25
120,2014-07-03,1101,20.25
121,2014-07-04,1101,20.39
122,2014-07-07,1101,20.39
123,2014-07-08,1101,20.39
124,2014-07-09,1101,20.39
125,2014-07-10,1101,20.39
126,2014-07-11,1101,20.3
127,2014-07-14,1101,20.16
128,2014-07-15,1101,20.21
129,2014-07-16,1101,20.61
130,2014-07-17,1101,20.51
131,2014-07-18,1101,20.56
132,2014-07-21,1101,20.75
133,2014-07-22,1101,20.66
134,2014-07-24,1101,20.66
135,2014-07-25,1101,20.66
136,2014-07-28,1101,20.68
137,2014-07-29,1101,21.36
138,2014-07-30,1101,21.45
139,2014-07-31,1101,21.05
140,2014-08-01,1101,20.87
141,2014-08-04,1101,21.38
142,2014-08-05,1101,20.8
143,2014-08-06,1101,20.75
144,2014-08-07,1101,20.94
145,2014-08-08,1101,21.03
146,2014-08-11,1101,21.08
147,2014-08-12,1101,21.12
148,2014-08-13,1101,21.36
149,2014-08-14,1101,21.57
150,2014-08-15,1101,21.57
151,2014-08-18,1101,21.41
152,2014-08-19,1101,21.74
153,2014-08-20,1101,22.06
154,2014-08-21,1101,22.3
155,2014-08-22,1101,23.26
156,2014-08-25,1101,22.67
157,2014-08-26,1101,22.72
158,2014-08-27,1101,22.67
159,2014-08-28,1101,22.63
160,2014-08-29,1101,22.3
161,2014-09-01,1101,22.77
162,2014-09-02,1101,22.11
163,2014-09-03,1101,22.42
164,2014-09-04,1101,22.49
165,2014-09-05,1101,22.2
166,2014-09-09,1101,22.37
167,2014-09-10,1101,22.11
168,2014-09-11,1101,22.13
169,2014-09-12,1101,21.64
170,2014-09-15,1101,21.95
171,2014-09-16,1101,21.74
172,2014-09-17,1101,22.2
173,2014-09-18,1101,21.92
174,2014-09-19,1101,22.04
175,2014-09-22,1101,21.5
176,2014-09-23,1101,21.34
177,2014-09-24,1101,21.92
178,2014-09-25,1101,21.52
179,2014-09-26,1101,21.27
180,2014-09-29,1101,21.12
181,2014-09-30,1101,21.27
182,2014-10-01,1101,21.03
183,2014-10-02,1101,20.98
184,2014-10-03,1101,21.17
185,2014-10-06,1101,21.03
186,2014-10-07,1101,21.01
187,2014-10-08,1101,21.29
188,2014-10-09,1101,21.59
189,2014-10-13,1101,21.03
190,2014-10-14,1101,21.2
191,2014-10-15,1101,21.36
192,2014-10-16,1101,21.36
193,2014-10-17,1101,21.24
194,2014-10-20,1101,21.38
195,2014-10-21,1101,21.31
196,2014-10-22,1101,21.38
197,2014-10-23,1101,21.48
198,2014-10-24,1101,21.48
199,2014-10-27,1101,21.52
200,2014-10-28,1101,22.11
201,2014-10-29,1101,21.95
202,2014-10-30,1101,21.81
203,2014-10-31,1101,21.81
204,2014-11-03,1101,21.97
205,2014-11-04,1101,21.74
206,2014-11-05,1101,21.74
207,2014-11-06,1101,21.62
208,2014-11-07,1101,21.43
209,2014-11-10,1101,21.69
210,2014-11-11,1101,21.57
211,2014-11-12,1101,21.43
212,2014-11-13,1101,21.43
213,2014-11-14,1101,21.12
214,2014-11-17,1101,20.94
215,2014-11-18,1101,21.1
216,2014-11-19,1101,21.03
217,2014-11-20,1101,21.59
218,2014-11-21,1101,21.27
219,2014-11-24,1101,21.66
220,2014-11-25,1101,21.36
221,2014-11-26,1101,21.27
222,2014-11-27,1101,21.29
223,2014-11-28,1101,21.34
224,2014-12-01,1101,21.22
225,2014-12-02,1101,21.29
226,2014-12-03,1101,21.22
227,2014-12-04,1101,21.2
228,2014-12-05,1101,21.29
229,2014-12-08,1101,21.41
230,2014-12-09,1101,21.24
231,2014-12-10,1101,21.05
232,2014-12-11,1101,20.89
233,2014-12-12,1101,20.75
234,2014-12-15,1101,20.4
235,2014-12-16,1101,20.37
236,2014-12-17,1101,19.51
237,2014-12-18,1101,19.72
238,2014-12-19,1101,19.86
239,2014-12-22,1101,19.93
240,2014-12-23,1101,20.14
241,2014-12-24,1101,20.16
242,2014-12-25,1101,20.26
243,2014-12-26,1101,20.19
244,2014-12-27,1101,20.16
245,2014-12-29,1101,20.37
246,2014-12-30,1101,20.44
247,2014-12-31,1101,20.37
248,2014-01-02,1102,20.86
249,2014-01-03,1102,20.66
250,2014-01-06,1102,20.53
251,2014-01-07,1102,20.58
252,2014-01-08,1102,20.55
253,2014-01-09,1102,20.5
254,2014-01-10,1102,20.5
255,2014-01-13,1102,20.42
256,2014-01-14,1102,20.42
257,2014-01-15,1102,20.58
258,2014-01-16,1102,20.58
259,2014-01-17,1102,20.58
260,2014-01-20,1102,20.58
261,2014-01-21,1102,20.58
262,2014-01-22,1102,20.75
263,2014-01-23,1102,20.58
264,2014-01-24,1102,20.64
265,2014-01-27,1102,20.42
266,2014-02-05,1102,19.71
267,2014-02-06,1102,19.71
268,2014-02-07,1102,19.98
269,2014-02-10,1102,19.95
270,2014-02-11,1102,20.03
271,2014-02-12,1102,20.5
272,2014-02-13,1102,20.47
273,2014-02-14,1102,20.61
274,2014-02-17,1102,20.42
275,2014-02-18,1102,20.64
276,2014-02-19,1102,20.69
277,2014-02-20,1102,20.66
278,2014-02-21,1102,20.8
279,2014-02-24,1102,20.69
280,2014-02-25,1102,20.8
281,2014-02-26,1102,20.94
282,2014-02-27,1102,20.96
283,2014-03-03,1102,20.83
284,2014-03-04,1102,20.8
285,2014-03-05,1102,20.8
286,2014-03-06,1102,20.86
287,2014-03-07,1102,21.05
288,2014-03-10,1102,20.91
289,2014-03-11,1102,21.02
290,2014-03-12,1102,21.07
291,2014-03-13,1102,20.91
292,2014-03-14,1102,20.61
293,2014-03-17,1102,20.66
294,2014-03-18,1102,20.8
295,2014-03-19,1102,20.55
296,2014-03-20,1102,20.64
297,2014-03-21,1102,20.42
298,2014-03-24,1102,20.61
299,2014-03-25,1102,20.94
300,2014-03-26,1102,20.96
301,2014-03-27,1102,20.96
302,2014-03-28,1102,20.64
303,2014-03-31,1102,20.8
304,2014-04-01,1102,20.94
305,2014-04-02,1102,20.94
306,2014-04-03,1102,20.94
307,2014-04-07,1102,20.94
308,2014-04-08,1102,20.96
309,2014-04-09,1102,20.96
310,2014-04-10,1102,21.38
311,2014-04-11,1102,21.73
312,2014-04-14,1102,21.16
313,2014-04-15,1102,21.57
314,2014-04-16,1102,21.54
