date,stock_id,close
2022-08-01,1101,36.38
2022-08-02,1101,36.06
2022-08-03,1101,36.01
2022-08-04,1101,35.69
2022-08-05,1101,35.78
2022-08-08,1101,35.64
2022-08-09,1101,35.69
2022-08-10,1101,35.69
2022-08-11,1101,36.24
2022-08-12,1101,36.19
2022-08-15,1101,36.19
2022-08-16,1101,36.24
2022-08-17,1101,36.84
2022-08-18,1101,36.65
2022-08-19,1101,36.33
2022-08-22,1101,36.52
2022-08-23,1101,36.24
2022-08-24,1101,36.15
2022-08-25,1101,36.42
2022-08-26,1101,36.52
2022-08-29,1101,36.24
2022-08-30,1101,36.15
2022-08-31,1101,36.19
2022-08-01,1101B,44.7
2022-08-02,1101B,44.7
2022-08-03,1101B,44.7
2022-08-04,1101B,44.7
2022-08-05,1101B,44.7
2022-08-09,1101B,44.7
2022-08-10,1101B,44.7
2022-08-11,1101B,44.7
2022-08-12,1101B,44.7
2022-08-15,1101B,44.47
2022-08-16,1101B,44.52
2022-08-17,1101B,44.61
2022-08-18,1101B,44.7
2022-08-22,1101B,44.78
2022-08-23,1101B,44.61
2022-08-24,1101B,44.7
2022-08-25,1101B,44.7
2022-08-26,1101B,44.7
2022-08-29,1101B,44.7
2022-08-31,1101B,44.7
2022-08-01,1102,35.31
2022-08-02,1102,35.35
2022-08-03,1102,35.39
2022-08-04,1102,34.75
2022-08-05,1102,34.97
2022-08-08,1102,34.92
2022-08-09,1102,35.22
2022-08-10,1102,35.01
2022-08-11,1102,36.08
2022-08-12,1102,35.82
2022-08-15,1102,36.08
2022-08-16,1102,36.2
2022-08-17,1102,36.55
2022-08-18,1102,36.63
2022-08-19,1102,36.38
2022-08-22,1102,36.5
2022-08-23,1102,36.33
2022-08-24,1102,36.29
2022-08-25,1102,36.42
2022-08-26,1102,36.55
2022-08-29,1102,36.25
2022-08-30,1102,36.25
2022-08-31,1102,36.93
2022-08-01,1103,16.5
2022-08-02,1103,16.32
2022-08-03,1103,16.23
2022-08-04,1103,16.28
2022-08-05,1103,16.51
2022-08-08,1103,16.6
2022-08-09,1103,16.75
2022-08-10,1103,16.75
2022-08-11,1103,16.7
2022-08-12,1103,16.7
2022-08-15,1103,16.7
2022-08-16,1103,16.56
2022-08-17,1103,16.65
2022-08-18,1103,16.65
2022-08-19,1103,16.65
2022-08-22,1103,16.65
2022-08-23,1103,16.65
2022-08-24,1103,16.75
2022-08-25,1103,16.79
2022-08-26,1103,16.98
2022-08-29,1103,16.7
2022-08-30,1103,16.84
2022-08-31,1103,17.07
2022-08-01,1104,17.92
2022-08-02,1104,17.8
2022-08-03,1104,17.6
2022-08-04,1104,17.56
2022-08-05,1104,17.51
2022-08-08,1104,17.15
2022-08-09,1104,17.15
2022-08-10,1104,17.39
2022-08-11,1104,17.56
2022-08-12,1104,17.51
2022-08-15,1104,17.35
2022-08-16,1104,17.51
2022-08-17,1104,17.64
2022-08-18,1104,17.64
2022-08-19,1104,17.84
2022-08-22,1104,17.96
2022-08-23,1104,17.76
2022-08-24,1104,17.84
2022-08-25,1104,17.88
2022-08-26,1104,17.8
2022-08-29,1104,17.64
2022-08-30,1104,17.92
2022-08-31,1104,18.2
2022-08-01,1108,9.19
2022-08-02,1108,9.11
2022-08-03,1108,8.94
2022-08-04,1108,9.02
2022-08-05,1108,9.11
2022-08-08,1108,9.06
2022-08-09,1108,9.06
2022-08-10,1108,9.15
2022-08-11,1108,9.27
2022-08-12,1108,9.4
2022-08-15,1108,9.7
2022-08-16,1108,9.7
2022-08-17,1108,9.57
2022-08-18,1108,9.53
2022-08-19,1108,9.78
2022-08-22,1108,9.83
2022-08-23,1108,9.87
2022-08-24,1108,9.87
2022-08-25,1108,9.99
2022-08-26,1108,9.95
2022-08-29,1108,9.77
2022-08-30,1108,9.73
2022-08-31,1108,9.73
2022-08-01,1109,15.63
2022-08-02,1109,15.59
2022-08-03,1109,15.59
2022-08-04,1109,15.42
2022-08-05,1109,15.42
2022-08-08,1109,15.29
2022-08-09,1109,15.29
2022-08-10,1109,15.29
2022-08-11,1109,15.34
2022-08-12,1109,15.12
2022-08-15,1109,15.21
2022-08-16,1109,15.21
2022-08-17,1109,15.12
2022-08-18,1109,15.08
2022-08-19,1109,15.04
2022-08-22,1109,15.0
2022-08-23,1109,15.0
2022-08-24,1109,15.0
2022-08-25,1109,15.04
2022-08-26,1109,15.29
2022-08-29,1109,15.04
2022-08-30,1109,15.12
2022-08-31,1109,15.21
2022-08-01,1110,17.46
2022-08-02,1110,17.42
2022-08-03,1110,17.46
2022-08-04,1110,17.37
2022-08-05,1110,17.42
2022-08-08,1110,17.46
2022-08-09,1110,17.46
2022-08-10,1110,17.46
2022-08-11,1110,17.27
2022-08-12,1110,17.46
2022-08-15,1110,17.66
2022-08-16,1110,17.76
2022-08-17,1110,17.51
2022-08-18,1110,17.46
2022-08-19,1110,17.46
2022-08-22,1110,17.56
2022-08-23,1110,17.76
2022-08-24,1110,17.66
2022-08-25,1110,17.76
2022-08-26,1110,18.24
2022-08-29,1110,17.56
2022-08-30,1110,17.66
2022-08-31,1110,18.0
2022-08-01,1201,20.1
2022-08-02,1201,19.61
2022-08-03,1201,19.71
2022-08-04,1201,19.51
2022-08-05,1201,19.51
2022-08-08,1201,19.36
2022-08-09,1201,19.36
2022-08-10,1201,19.31
2022-08-11,1201,19.51
2022-08-12,1201,19.66
2022-08-15,1201,19.66
2022-08-16,1201,19.71
2022-08-17,1201,19.71
2022-08-18,1201,19.71
2022-08-19,1201,19.71
2022-08-22,1201,19.66
2022-08-23,1201,19.71
2022-08-24,1201,19.81
2022-08-25,1201,20.0
2022-08-26,1201,20.1
2022-08-29,1201,19.86
2022-08-30,1201,20.05
2022-08-31,1201,20.1
2022-08-01,1203,30.85
2022-08-02,1203,30.95
2022-08-03,1203,30.62
2022-08-04,1203,30.58
2022-08-05,1203,30.81
2022-08-08,1203,31.08
2022-08-09,1203,30.81
2022-08-10,1203,30.81
2022-08-11,1203,30.76
2022-08-12,1203,30.48
2022-08-15,1203,30.62
2022-08-16,1203,30.62
2022-08-17,1203,30.99
2022-08-18,1203,30.76
2022-08-19,1203,30.72
2022-08-22,1203,30.62
2022-08-23,1203,30.53
2022-08-24,1203,30.67
2022-08-25,1203,30.85
2022-08-26,1203,30.85
2022-08-29,1203,30.72
2022-08-30,1203,30.62
2022-08-31,1203,30.62
2022-08-01,1210,43.05
2022-08-02,1210,42.3
2022-08-03,1210,41.94
2022-08-04,1210,41.99
2022-08-05,1210,42.12
2022-08-08,1210,42.48
2022-08-09,1210,42.79
2022-08-10,1210,42.34
2022-08-11,1210,42.7
2022-08-12,1210,43.5
2022-08-15,1210,44.21
2022-08-16,1210,44.08
2022-08-17,1210,44.03
2022-08-18,1210,43.68
2022-08-19,1210,43.68
2022-08-22,1210,44.25
2022-08-23,1210,44.43
2022-08-24,1210,44.65
2022-08-25,1210,44.92
2022-08-26,1210,45.01
2022-08-29,1210,45.1
2022-08-30,1210,45.9
2022-08-31,1210,46.0
2022-08-01,1213,7.33
2022-08-02,1213,7.55
2022-08-03,1213,7.41
2022-08-04,1213,7.18
2022-08-05,1213,7.52
2022-08-08,1213,7.32
2022-08-09,1213,7.28
2022-08-10,1213,7.22
2022-08-11,1213,7.28
2022-08-12,1213,7.46
2022-08-15,1213,7.47
2022-08-16,1213,7.38
2022-08-17,1213,7.15
2022-08-18,1213,7.13
2022-08-19,1213,7.29
2022-08-22,1213,7.62
2022-08-23,1213,7.36
2022-08-24,1213,7.35
2022-08-25,1213,7.51
2022-08-26,1213,7.17
2022-08-29,1213,7.56
2022-08-30,1213,7.31
2022-08-31,1213,7.45
2022-08-01,1215,63.02
2022-08-02,1215,63.26
2022-08-03,1215,62.78
2022-08-04,1215,62.14
2022-08-05,1215,62.86
2022-08-08,1215,63.5
2022-08-09,1215,64.23
2022-08-10,1215,64.23
2022-08-11,1215,64.63
2022-08-12,1215,66.07
2022-08-15,1215,65.75
2022-08-16,1215,65.99
2022-08-17,1215,66.47
2022-08-18,1215,66.07
2022-08-19,1215,66.31
2022-08-22,1215,66.55
2022-08-23,1215,66.55
2022-08-24,1215,67.27
2022-08-25,1215,70.65
2022-08-26,1215,70.65
2022-08-29,1215,70.47
2022-08-30,1215,70.74
2022-08-31,1215,71.09
2022-08-01,1216,64.84
2022-08-02,1216,62.89
2022-08-03,1216,63.45
2022-08-04,1216,62.77
2022-08-05,1216,63.45
2022-08-08,1216,63.64
2022-08-09,1216,63.83
2022-08-10,1216,63.25
2022-08-11,1216,63.64
2022-08-12,1216,63.54
2022-08-15,1216,63.35
2022-08-16,1216,63.45
2022-08-17,1216,63.64
2022-08-18,1216,63.54
2022-08-19,1216,63.45
2022-08-22,1216,63.83
2022-08-23,1216,63.54
2022-08-24,1216,63.45
2022-08-25,1216,63.74
2022-08-26,1216,64.03
2022-08-29,1216,63.64
2022-08-30,1216,63.25
2022-08-31,1216,63.64
2022-08-01,1217,10.0
2022-08-02,1217,9.59
2022-08-03,1217,9.15
2022-08-04,1217,8.88
2022-08-05,1217,8.99
2022-08-08,1217,8.99
2022-08-09,1217,9.02
2022-08-10,1217,9.03
2022-08-11,1217,9.16
2022-08-12,1217,9.18
2022-08-15,1217,9.18
2022-08-16,1217,9.18
2022-08-17,1217,9.14
2022-08-18,1217,9.17
2022-08-19,1217,9.22
2022-08-22,1217,9.16
2022-08-23,1217,9.12
2022-08-24,1217,9.16
2022-08-25,1217,9.18
2022-08-26,1217,9.27
2022-08-29,1217,9.11
2022-08-30,1217,9.12
2022-08-31,1217,9.15
2022-08-01,1218,30.82
2022-08-02,1218,29.4
2022-08-03,1218,28.52
2022-08-04,1218,28.02
2022-08-05,1218,28.02
2022-08-08,1218,28.16
2022-08-09,1218,28.8
2022-08-10,1218,28.89
2022-08-11,1218,29.4
2022-08-12,1218,30.04
2022-08-15,1218,30.73
2022-08-16,1218,30.36
2022-08-17,1218,30.04
2022-08-18,1218,29.72
2022-08-19,1218,30.22
2022-08-22,1218,32.01
2022-08-23,1218,31.42
2022-08-24,1218,31.1
2022-08-25,1218,32.15
2022-08-26,1218,32.43
2022-08-29,1218,31.78
2022-08-30,1218,32.06
2022-08-31,1218,31.69
2022-08-01,1219,18.04
2022-08-02,1219,17.87
2022-08-03,1219,17.52
2022-08-04,1219,17.35
2022-08-05,1219,17.78
2022-08-08,1219,17.87
2022-08-09,1219,18.04
2022-08-10,1219,18.0
2022-08-11,1219,17.95
2022-08-12,1219,18.04
2022-08-15,1219,18.04
2022-08-16,1219,18.08
2022-08-17,1219,18.26
2022-08-18,1219,18.17
2022-08-19,1219,18.17
2022-08-22,1219,18.39
2022-08-23,1219,18.95
2022-08-24,1219,18.43
2022-08-25,1219,18.52
2022-08-26,1219,18.91
2022-08-29,1219,18.65
2022-08-30,1219,18.73
2022-08-31,1219,18.78
2022-08-01,1220,14.66
2022-08-02,1220,14.44
2022-08-03,1220,14.21
2022-08-04,1220,14.16
2022-08-05,1220,14.66
2022-08-08,1220,14.53
2022-08-09,1220,14.8
2022-08-10,1220,14.85
2022-08-11,1220,14.71
2022-08-12,1220,14.76
2022-08-15,1220,14.71
2022-08-16,1220,14.71
2022-08-17,1220,14.66
2022-08-18,1220,14.57
2022-08-19,1220,14.57
2022-08-22,1220,14.57
2022-08-23,1220,14.76
2022-08-24,1220,14.57
2022-08-25,1220,14.57
2022-08-26,1220,14.71
2022-08-29,1220,14.44
2022-08-30,1220,14.53
2022-08-31,1220,14.57
2022-08-01,1225,44.79
2022-08-02,1225,44.62
2022-08-03,1225,44.88
2022-08-04,1225,44.88
2022-08-05,1225,45.06
2022-08-08,1225,44.97
2022-08-09,1225,44.62
2022-08-10,1225,44.62
2022-08-11,1225,45.06
2022-08-12,1225,45.06
2022-08-15,1225,44.97
2022-08-16,1225,45.15
2022-08-17,1225,45.15
2022-08-18,1225,45.24
