Stock_id,Combination,Start_Date,End_Date,Start_Price,End_Price,Return,RT_Percentile_Rank
2027,201605-201610,2016-05-03,2016-10-31,15.95,16.6,0.04075235109717882,0.48743718592964824
1314,201605-201610,2016-05-03,2016-10-31,8.07,9.03,0.11895910780669133,0.6532663316582915
2104,201605-201610,2016-05-03,2016-10-31,23.4,24.8,0.05982905982905992,0.5326633165829145
1210,201605-201610,2016-05-03,2016-10-31,22.3,28.75,0.2892376681614349,0.8693467336683417
1303,201605-201610,2016-05-03,2016-10-31,62.7,65.7,0.04784688995215311,0.5025125628140703
2456,201605-201610,2016-05-03,2016-10-31,52.3,69.1,0.32122370936902483,0.8844221105527639
5269,201605-201610,2016-05-03,2016-10-31,148.5,246.5,0.6599326599326599,0.9698492462311558
1301,201605-201610,2016-05-03,2016-10-31,79.0,85.4,0.08101265822784817,0.5879396984924623
8341,201605-201610,2016-05-03,2016-10-31,142.5,113.0,-0.20701754385964913,0.05025125628140704
5876,201605-201610,2016-05-03,2016-10-31,28.08,26.35,-0.0616096866096865,0.15577889447236182
1227,201605-201610,2016-05-03,2016-10-31,78.7,78.1,-0.007623888182973424,0.3316582914572864
2889,201605-201610,2016-05-03,2016-10-31,7.98,8.0,0.0025062656641603475,0.36683417085427134
3005,201605-201610,2016-05-03,2016-10-31,21.35,41.0,0.9203747072599531,0.9949748743718593
1216,201605-201610,2016-05-03,2016-10-31,57.8,61.1,0.05709342560553641,0.5226130653266332
3023,201605-201610,2016-05-03,2016-10-31,68.5,71.0,0.0364963503649635,0.4723618090452261
5534,201605-201610,2016-05-03,2016-10-31,51.9,51.8,-0.0019267822736031104,0.34673366834170855
2023,201605-201610,2016-05-03,2016-10-31,8.27,12.2,0.4752116082224909,0.9447236180904522
6415,201605-201610,2016-05-03,2016-10-31,421.0,461.0,0.09501187648456057,0.6130653266331658
1402,201605-201610,2016-05-03,2016-10-31,24.05,24.45,0.016632016632016574,0.4271356783919598
1262,201605-201610,2016-05-03,2016-10-31,142.0,167.5,0.1795774647887324,0.7839195979899497
1704,201605-201610,2016-05-03,2016-10-31,39.2,38.6,-0.015306122448979626,0.3065326633165829
3060,201605-201610,2016-05-03,2016-10-31,49.95,37.1,-0.2572572572572573,0.03015075376884422
3576,201605-201610,2016-05-03,2016-10-31,17.1,16.15,-0.05555555555555572,0.1658291457286432
1605,201605-201610,2016-05-03,2016-10-31,8.92,11.05,0.2387892376681615,0.8341708542713567
6005,201605-201610,2016-05-03,2016-10-31,8.46,7.9,-0.06619385342789603,0.1306532663316583
1590,201605-201610,2016-05-03,2016-10-31,220.0,251.5,0.1431818181818182,0.7286432160804021
8046,201605-201610,2016-05-03,2016-10-31,31.5,23.85,-0.2428571428571428,0.04020100502512563
8150,201605-201610,2016-05-03,2016-10-31,30.5,28.15,-0.0770491803278689,0.11557788944723618
1536,201605-201610,2016-05-03,2016-10-31,152.0,131.5,-0.13486842105263158,0.07537688442211055
9907,201605-201610,2016-05-03,2016-10-31,15.2,13.55,-0.10855263157894728,0.08542713567839195
9940,201605-201610,2016-05-03,2016-10-31,26.95,28.9,0.07235621521335804,0.5527638190954773
1504,201605-201610,2016-05-03,2016-10-31,26.0,28.05,0.07884615384615387,0.5778894472361809
1702,201605-201610,2016-05-03,2016-10-31,59.7,67.3,0.12730318257956438,0.6733668341708543
3662,201605-201610,2016-05-03,2016-10-31,103.0,11.75,-0.8859223300970874,0.005025125628140704
1477,201605-201610,2016-05-03,2016-10-31,166.0,124.5,-0.25,0.035175879396984924
1589,201605-201610,2016-05-03,2016-10-31,204.5,124.0,-0.39364303178484106,0.01507537688442211
1707,201605-201610,2016-05-03,2016-10-31,200.0,265.0,0.325,0.8944723618090452
1476,201605-201610,2016-05-03,2016-10-31,354.0,359.0,0.014124293785310734,0.41457286432160806
2849,201605-201610,2016-05-03,2016-10-31,13.9,12.05,-0.1330935251798561,0.08040201005025126
4137,201605-201610,2016-05-03,2016-10-31,229.5,138.5,-0.39651416122004357,0.010050251256281407
1434,201605-201610,2016-05-03,2016-10-31,29.1,28.8,-0.010309278350515488,0.32160804020100503
2355,201605-201610,2016-05-03,2016-10-31,64.5,60.5,-0.06201550387596899,0.1507537688442211
6414,201605-201610,2016-05-03,2016-10-31,420.0,501.0,0.19285714285714287,0.7939698492462312
2231,201605-201610,2016-05-03,2016-10-31,383.0,290.0,-0.24281984334203655,0.04522613065326633
6409,201605-201610,2016-05-03,2016-10-31,502.0,474.0,-0.055776892430278883,0.16080402010050251
2834,201605-201610,2016-05-03,2016-10-31,8.31,7.98,-0.03971119133574008,0.20603015075376885
2382,201605-201610,2016-05-03,2016-10-31,52.5,64.0,0.21904761904761905,0.8241206030150754
2845,201605-201610,2016-05-03,2016-10-31,9.29,8.98,-0.03336921420882656,0.24120603015075376
2867,201605-201610,2016-05-03,2016-10-31,15.25,15.2,-0.0032786885245902103,0.3417085427135678
2379,201605-201610,2016-05-03,2016-10-31,91.3,107.0,0.17196056955093103,0.7788944723618091
2880,201605-201610,2016-05-03,2016-10-31,15.8,16.05,0.01582278481012658,0.4221105527638191
2881,201605-201610,2016-05-03,2016-10-31,38.95,44.8,0.15019255455712435,0.7336683417085427
2377,201605-201610,2016-05-03,2016-10-31,51.2,90.9,0.775390625,0.9849246231155779
2882,201605-201610,2016-05-03,2016-10-31,36.25,40.95,0.12965517241379318,0.6934673366834171
2883,201605-201610,2016-05-03,2016-10-31,8.12,7.91,-0.02586206896551713,0.2562814070351759
2376,201605-201610,2016-05-03,2016-10-31,33.95,41.55,0.22385861561119275,0.8291457286432161
2884,201605-201610,2016-05-03,2016-10-31,17.7,17.95,0.014124293785310734,0.41457286432160806
2885,201605-201610,2016-05-03,2016-10-31,10.65,11.8,0.10798122065727703,0.6331658291457286
2371,201605-201610,2016-05-03,2016-10-31,4.97,8.31,0.6720321931589539,0.9748743718592965
2886,201605-201610,2016-05-03,2016-10-31,23.1,21.6,-0.06493506493506493,0.135678391959799
2887,201605-201610,2016-05-03,2016-10-31,12.0,11.55,-0.03749999999999994,0.22110552763819097
2360,201605-201610,2016-05-03,2016-10-31,72.0,80.1,0.11249999999999992,0.6432160804020101
2888,201605-201610,2016-05-03,2016-10-31,6.49,6.85,0.05546995377503843,0.5175879396984925
2357,201605-201610,2016-05-03,2016-10-31,274.0,276.5,0.009124087591240875,0.3969849246231156
2890,201605-201610,2016-05-03,2016-10-31,9.53,9.11,-0.0440713536201469,0.18592964824120603
2891,201605-201610,2016-05-03,2016-10-31,16.5,17.0,0.030303030303030304,0.4623115577889447
2823,201605-201610,2016-05-03,2016-10-31,24.25,29.15,0.20206185567010304,0.8090452261306532
2356,201605-201610,2016-05-03,2016-10-31,20.7,24.7,0.1932367149758454,0.7989949748743719
2383,201605-201610,2016-05-03,2016-10-31,57.6,88.1,0.5295138888888887,0.9547738693467337
2385,201605-201610,2016-05-03,2016-10-31,76.1,80.8,0.06176084099868598,0.5376884422110553
2454,201605-201610,2016-05-03,2016-10-31,211.0,240.0,0.13744075829383887,0.7085427135678392
2449,201605-201610,2016-05-03,2016-10-31,27.45,27.75,0.010928961748633906,0.40703517587939697
2474,201605-201610,2016-05-03,2016-10-31,220.0,247.5,0.125,0.6633165829145728
2448,201605-201610,2016-05-03,2016-10-31,20.55,21.5,0.04622871046228707,0.49748743718592964
2492,201605-201610,2016-05-03,2016-10-31,27.2,38.3,0.4080882352941176,0.9346733668341709
2498,201605-201610,2016-05-03,2016-10-31,81.8,92.4,0.1295843520782397,0.6884422110552764
2439,201605-201610,2016-05-03,2016-10-31,64.0,122.0,0.90625,0.9899497487437185
2542,201605-201610,2016-05-03,2016-10-31,46.8,46.75,-0.0010683760683760078,0.35175879396984927
2603,201605-201610,2016-05-03,2016-10-31,11.8,11.8,0.0,0.3592964824120603
2412,201605-201610,2016-05-03,2016-10-31,110.5,108.0,-0.02262443438914027,0.27638190954773867
2606,201605-201610,2016-05-03,2016-10-31,25.6,21.9,-0.1445312500000001,0.06532663316582915
2610,201605-201610,2016-05-03,2016-10-31,10.55,9.55,-0.0947867298578199,0.10552763819095477
2409,201605-201610,2016-05-03,2016-10-31,9.02,12.0,0.33037694013303776,0.9045226130653267
2615,201605-201610,2016-05-03,2016-10-31,17.35,15.55,-0.10374639769452453,0.09547738693467336
2618,201605-201610,2016-05-03,2016-10-31,15.75,15.2,-0.03492063492063496,0.23115577889447236
2408,201605-201610,2016-05-03,2016-10-31,37.4,40.95,0.0949197860962568,0.6080402010050251
2633,201605-201610,2016-05-03,2016-10-31,15.5,20.85,0.34516129032258075,0.9095477386934674
2723,201605-201610,2016-05-03,2016-10-31,273.0,283.0,0.03663003663003663,0.47738693467336685
2395,201605-201610,2016-05-03,2016-10-31,229.5,257.0,0.11982570806100218,0.6582914572864321
2801,201605-201610,2016-05-03,2016-10-31,16.6,16.15,-0.02710843373493993,0.25125628140703515
2809,201605-201610,2016-05-03,2016-10-31,22.35,25.85,0.1565995525727069,0.7537688442211056
2812,201605-201610,2016-05-03,2016-10-31,9.09,8.99,-0.011001100110010962,0.3165829145728643
1102,201605-201610,2016-05-03,2016-10-31,28.65,27.55,-0.03839441535776607,0.21105527638190955
2892,201605-201610,2016-05-03,2016-10-31,16.25,16.55,0.018461538461538505,0.4371859296482412
2354,201605-201610,2016-05-03,2016-10-31,66.8,91.6,0.3712574850299401,0.9246231155778895
2325,201605-201610,2016-05-03,2016-10-31,46.5,47.75,0.026881720430107527,0.45226130653266333
4915,201605-201610,2016-05-03,2016-10-31,37.0,50.0,0.35135135135135137,0.914572864321608
