Stock_id,Combination,Start_Date,End_Date,Start_Price,End_Price,Return
1216,201605-201610,2016-05-03,2016-10-31,57.8,61.1,0.05709342560553641
3023,201605-201610,2016-05-03,2016-10-31,68.5,71.0,0.0364963503649635
5534,201605-201610,2016-05-03,2016-10-31,51.9,51.8,-0.0019267822736031104
2023,201605-201610,2016-05-03,2016-10-31,8.27,12.2,0.4752116082224909
6415,201605-201610,2016-05-03,2016-10-31,421.0,461.0,0.09501187648456057
1402,201605-201610,2016-05-03,2016-10-31,24.05,24.45,0.016632016632016574
1262,201605-201610,2016-05-03,2016-10-31,142.0,167.5,0.1795774647887324
1704,201605-201610,2016-05-03,2016-10-31,39.2,38.6,-0.015306122448979626
3060,201605-201610,2016-05-03,2016-10-31,49.95,37.1,-0.2572572572572573
3576,201605-201610,2016-05-03,2016-10-31,17.1,16.15,-0.05555555555555572
1605,201605-201610,2016-05-03,2016-10-31,8.92,11.05,0.2387892376681615
6005,201605-201610,2016-05-03,2016-10-31,8.46,7.9,-0.06619385342789603
1590,201605-201610,2016-05-03,2016-10-31,220.0,251.5,0.1431818181818182
8046,201605-201610,2016-05-03,2016-10-31,31.5,23.85,-0.2428571428571428
8150,201605-201610,2016-05-03,2016-10-31,30.5,28.15,-0.0770491803278689
1536,201605-201610,2016-05-03,2016-10-31,152.0,131.5,-0.13486842105263158
9907,201605-201610,2016-05-03,2016-10-31,15.2,13.55,-0.10855263157894728
9940,201605-201610,2016-05-03,2016-10-31,26.95,28.9,0.07235621521335804
1504,201605-201610,2016-05-03,2016-10-31,26.0,28.05,0.07884615384615387
1702,201605-201610,2016-05-03,2016-10-31,59.7,67.3,0.12730318257956438
3662,201605-201610,2016-05-03,2016-10-31,103.0,11.75,-0.8859223300970874
1477,201605-201610,2016-05-03,2016-10-31,166.0,124.5,-0.25
1589,201605-201610,2016-05-03,2016-10-31,204.5,124.0,-0.39364303178484106
1707,201605-201610,2016-05-03,2016-10-31,200.0,265.0,0.325
1476,201605-201610,2016-05-03,2016-10-31,354.0,359.0,0.014124293785310734
2849,201605-201610,2016-05-03,2016-10-31,13.9,12.05,-0.1330935251798561
4137,201605-201610,2016-05-03,2016-10-31,229.5,138.5,-0.39651416122004357
1434,201605-201610,2016-05-03,2016-10-31,29.1,28.8,-0.010309278350515488
2355,201605-201610,2016-05-03,2016-10-31,64.5,60.5,-0.06201550387596899
6414,201605-201610,2016-05-03,2016-10-31,420.0,501.0,0.19285714285714287
2231,201605-201610,2016-05-03,2016-10-31,383.0,290.0,-0.24281984334203655
6409,201605-201610,2016-05-03,2016-10-31,502.0,474.0,-0.055776892430278883
2834,201605-201610,2016-05-03,2016-10-31,8.31,7.98,-0.03971119133574008
2382,201605-201610,2016-05-03,2016-10-31,52.5,64.0,0.21904761904761905
2845,201605-201610,2016-05-03,2016-10-31,9.29,8.98,-0.03336921420882656
2867,201605-201610,2016-05-03,2016-10-31,15.25,15.2,-0.0032786885245902103
2379,201605-201610,2016-05-03,2016-10-31,91.3,107.0,0.17196056955093103
2880,201605-201610,2016-05-03,2016-10-31,15.8,16.05,0.01582278481012658
2881,201605-201610,2016-05-03,2016-10-31,38.95,44.8,0.15019255455712435
2377,201605-201610,2016-05-03,2016-10-31,51.2,90.9,0.775390625
2882,201605-201610,2016-05-03,2016-10-31,36.25,40.95,0.12965517241379318
2883,201605-201610,2016-05-03,2016-10-31,8.12,7.91,-0.02586206896551713
2376,201605-201610,2016-05-03,2016-10-31,33.95,41.55,0.22385861561119275
2884,201605-201610,2016-05-03,2016-10-31,17.7,17.95,0.014124293785310734
2885,201605-201610,2016-05-03,2016-10-31,10.65,11.8,0.10798122065727703
2371,201605-201610,2016-05-03,2016-10-31,4.97,8.31,0.6720321931589539
2886,201605-201610,2016-05-03,2016-10-31,23.1,21.6,-0.06493506493506493
2887,201605-201610,2016-05-03,2016-10-31,12.0,11.55,-0.03749999999999994
2360,201605-201610,2016-05-03,2016-10-31,72.0,80.1,0.11249999999999992
2888,201605-201610,2016-05-03,2016-10-31,6.49,6.85,0.05546995377503843
2357,201605-201610,2016-05-03,2016-10-31,274.0,276.5,0.009124087591240875
2890,201605-201610,2016-05-03,2016-10-31,9.53,9.11,-0.0440713536201469
2891,201605-201610,2016-05-03,2016-10-31,16.5,17.0,0.030303030303030304
2823,201605-201610,2016-05-03,2016-10-31,24.25,29.15,0.20206185567010304
2356,201605-201610,2016-05-03,2016-10-31,20.7,24.7,0.1932367149758454
2383,201605-201610,2016-05-03,2016-10-31,57.6,88.1,0.5295138888888887
2385,201605-201610,2016-05-03,2016-10-31,76.1,80.8,0.06176084099868598
2454,201605-201610,2016-05-03,2016-10-31,211.0,240.0,0.13744075829383887
2449,201605-201610,2016-05-03,2016-10-31,27.45,27.75,0.010928961748633906
2474,201605-201610,2016-05-03,2016-10-31,220.0,247.5,0.125
2448,201605-201610,2016-05-03,2016-10-31,20.55,21.5,0.04622871046228707
2492,201605-201610,2016-05-03,2016-10-31,27.2,38.3,0.4080882352941176
2498,201605-201610,2016-05-03,2016-10-31,81.8,92.4,0.1295843520782397
2439,201605-201610,2016-05-03,2016-10-31,64.0,122.0,0.90625
2542,201605-201610,2016-05-03,2016-10-31,46.8,46.75,-0.0010683760683760078
2603,201605-201610,2016-05-03,2016-10-31,11.8,11.8,0.0
2412,201605-201610,2016-05-03,2016-10-31,110.5,108.0,-0.02262443438914027
2606,201605-201610,2016-05-03,2016-10-31,25.6,21.9,-0.1445312500000001
2610,201605-201610,2016-05-03,2016-10-31,10.55,9.55,-0.0947867298578199
2409,201605-201610,2016-05-03,2016-10-31,9.02,12.0,0.33037694013303776
2615,201605-201610,2016-05-03,2016-10-31,17.35,15.55,-0.10374639769452453
2618,201605-201610,2016-05-03,2016-10-31,15.75,15.2,-0.03492063492063496
2408,201605-201610,2016-05-03,2016-10-31,37.4,40.95,0.0949197860962568
2633,201605-201610,2016-05-03,2016-10-31,15.5,20.85,0.34516129032258075
2723,201605-201610,2016-05-03,2016-10-31,273.0,283.0,0.03663003663003663
2395,201605-201610,2016-05-03,2016-10-31,229.5,257.0,0.11982570806100218
2801,201605-201610,2016-05-03,2016-10-31,16.6,16.15,-0.02710843373493993
2809,201605-201610,2016-05-03,2016-10-31,22.35,25.85,0.1565995525727069
2812,201605-201610,2016-05-03,2016-10-31,9.09,8.99,-0.011001100110010962
1102,201605-201610,2016-05-03,2016-10-31,28.65,27.55,-0.03839441535776607
2892,201605-201610,2016-05-03,2016-10-31,16.25,16.55,0.018461538461538505
2354,201605-201610,2016-05-03,2016-10-31,66.8,91.6,0.3712574850299401
2325,201605-201610,2016-05-03,2016-10-31,46.5,47.75,0.026881720430107527
4915,201605-201610,2016-05-03,2016-10-31,37.0,50.0,0.35135135135135137
2324,201605-201610,2016-05-03,2016-10-31,18.65,18.8,0.008042895442359364
4938,201605-201610,2016-05-03,2016-10-31,67.0,85.0,0.26865671641791045
4943,201605-201610,2016-05-03,2016-10-31,43.16,71.44,0.6552363299351252
2317,201605-201610,2016-05-03,2016-10-31,75.6,85.3,0.12830687830687834
4958,201605-201610,2016-05-03,2016-10-31,66.6,71.9,0.07957957957957976
5264,201605-201610,2016-05-03,2016-10-31,139.5,101.5,-0.2724014336917563
2313,201605-201610,2016-05-03,2016-10-31,17.4,16.65,-0.04310344827586207
5522,201605-201610,2016-05-03,2016-10-31,37.65,36.3,-0.03585657370517932
5871,201605-201610,2016-05-03,2016-10-31,53.4,54.6,0.022471910112359605
