Remark,mean,n,t-statistic,p-value (one-tailed)
Winner,0.3004,15,6.0612519861804754,1.4651022007997517e-05
Loser,0.06411286549707601,15,3.0988813772324373,0.003924906725928654
Winner - Loser,0.236287134502924,15,4.789559574511324,0.0001440827501436237
