date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2019-01-02,3236,137000,3302150,17.81,17.85,17.52,17.59,-0.07,96
2019-01-03,3236,268000,6346100,17.55,17.7,16.93,16.93,-0.66,181
2019-01-04,3236,467000,10458000,16.82,16.86,16.13,16.27,-0.66,272
2019-01-07,3236,309000,7074650,16.82,16.89,16.64,16.71,0.44,162
2019-01-08,3236,196000,4430650,16.68,16.68,16.46,16.6,-0.11,135
2019-01-09,3236,374000,8745850,16.82,17.33,16.82,16.97,0.37,286
2019-01-10,3236,193000,4524400,16.97,17.26,16.97,17.11,0.14,134
2019-01-11,3236,431000,10325300,17.33,17.77,17.33,17.37,0.26,313
2019-01-14,3236,102000,2403050,17.37,17.37,17.11,17.15,-0.22,78
2019-01-15,3236,211000,4988350,17.19,17.48,17.19,17.19,0.04,136
2019-01-16,3236,174000,4123950,17.19,17.48,17.19,17.41,0.22,130
2019-01-17,3236,332000,7952550,17.63,17.74,17.37,17.44,0.03,199
2019-01-18,3236,154000,3684550,17.52,17.77,17.37,17.55,0.11,111
2019-01-21,3236,479000,11676050,17.88,18.21,17.55,17.7,0.15,312
2019-01-22,3236,278000,6619650,17.88,17.88,17.11,17.11,-0.59,174
2019-01-23,3236,138000,3239250,17.11,17.3,16.93,17.22,0.11,98
2019-01-24,3236,97000,2295450,17.26,17.41,17.26,17.3,0.08,64
2019-01-25,3236,320000,7670700,17.44,17.81,17.3,17.7,0.4,206
2019-01-28,3236,270000,6538650,17.77,17.99,17.59,17.59,-0.11,153
2019-01-29,3236,104000,2463050,17.55,17.55,17.26,17.3,-0.29,87
2019-01-30,3236,85000,2024350,17.55,17.55,17.37,17.41,0.11,65
2019-02-11,3236,207000,4903450,17.41,17.63,17.22,17.26,-0.15,156
2019-02-12,3236,377000,9102400,17.33,17.81,17.33,17.77,0.51,293
2019-02-13,3236,1252000,31493350,17.92,18.87,17.81,18.8,1.03,857
2019-02-14,3236,775000,19818250,19.09,19.09,18.5,18.65,-0.15,544
2019-02-15,3236,354000,8900250,18.5,18.8,18.21,18.28,-0.37,249
2019-02-18,3236,314000,7952400,18.36,18.65,18.36,18.5,0.22,222
2019-02-19,3236,204000,5148750,18.5,18.61,18.32,18.36,-0.14,154
2019-02-20,3236,234000,5932800,18.43,18.72,18.43,18.47,0.11,175
2019-02-21,3236,341000,8661700,18.69,18.72,18.32,18.61,0.14,225
2019-02-22,3236,3709000,98749700,18.76,19.97,18.69,19.67,1.06,2422
2019-02-25,3236,2363000,64815300,20.11,20.4,19.75,19.75,0.08,1495
2019-02-26,3236,869000,23063900,19.75,19.78,19.16,19.23,-0.52,616
2019-02-27,3236,510000,13155950,19.27,19.27,18.61,18.91,-0.32,356
2019-03-04,3236,322000,8334550,18.83,19.16,18.72,19.16,0.25,235
2019-03-05,3236,217000,5638250,19.09,19.16,18.87,18.91,-0.25,143
2019-03-06,3236,421000,11078400,19.09,19.42,19.05,19.38,0.47,287
2019-03-07,3236,389000,10147650,19.56,19.56,18.87,18.87,-0.51,270
2019-03-08,3236,242000,6166100,18.61,18.83,18.5,18.65,-0.22,183
2019-03-11,3236,185000,4755750,18.69,18.94,18.65,18.76,0.11,137
2019-03-12,3236,188000,4866650,19.16,19.16,18.8,18.8,0.04,135
2019-03-13,3236,243000,6216100,18.98,18.98,18.61,18.8,0.0,137
2019-03-14,3236,222000,5731650,18.83,19.02,18.72,18.72,-0.08,160
2019-03-15,3236,191000,4927600,18.94,19.02,18.72,18.8,0.08,139
2019-03-18,3236,226000,5781650,18.87,18.87,18.61,18.61,-0.19,166
2019-03-19,3236,198000,5031500,18.54,18.72,18.5,18.54,-0.07,131
2019-03-20,3236,198000,4996800,18.54,18.72,18.36,18.36,-0.18,154
2019-03-21,3236,240000,6076150,18.36,18.61,18.36,18.58,0.22,155
2019-03-22,3236,300000,7643600,18.65,18.8,18.43,18.47,-0.11,179
2019-03-25,3236,246000,6098600,18.36,18.36,18.03,18.03,-0.44,146
2019-03-26,3236,120000,2988700,18.1,18.36,18.1,18.28,0.25,92
2019-03-27,3236,157000,3917150,18.28,18.36,18.17,18.21,-0.07,90
2019-03-28,3236,362000,9239500,18.32,18.87,18.32,18.65,0.44,270
2019-03-29,3236,223000,5680100,18.83,18.83,18.5,18.58,-0.07,139
2019-04-01,3236,205000,5180900,18.65,18.76,18.36,18.36,-0.22,148
2019-04-02,3236,234000,5854600,18.54,18.54,18.14,18.28,-0.08,162
2019-04-03,3236,223000,5624700,18.28,18.61,18.21,18.47,0.19,168
2019-04-08,3236,220000,5633550,18.72,18.83,18.58,18.76,0.29,163
2019-04-09,3236,378000,9738350,18.91,18.94,18.65,18.83,0.07,249
2019-04-10,3236,203000,5187800,18.91,18.91,18.61,18.61,-0.22,156
2019-04-11,3236,244000,6238750,18.87,18.91,18.43,18.43,-0.18,180
2019-04-12,3236,345000,8591550,18.47,18.58,18.06,18.06,-0.37,222
2019-04-15,3236,162000,4039950,18.06,18.32,18.06,18.28,0.22,127
2019-04-16,3236,369000,9328550,18.25,18.72,18.25,18.72,0.44,253
2019-04-17,3236,537000,13848400,18.98,18.98,18.72,18.72,0.0,317
2019-04-18,3236,400000,10211150,18.8,18.87,18.28,18.28,-0.44,240
2019-04-19,3236,109000,2752750,18.39,18.61,18.36,18.54,0.26,83
2019-04-22,3236,202000,5146100,18.58,18.72,18.58,18.65,0.11,139
2019-04-23,3236,221000,5554200,18.65,18.76,18.28,18.28,-0.37,166
2019-04-24,3236,207000,5164450,18.36,18.43,18.14,18.21,-0.07,141
2019-04-25,3236,324000,7985550,18.25,18.25,17.92,17.99,-0.22,232
2019-04-26,3236,225000,5473850,17.95,17.99,17.66,17.77,-0.22,152
2019-04-29,3236,384000,9042750,17.85,17.85,16.97,16.97,-0.8,257
2019-04-30,3236,144000,3376900,17.04,17.26,17.0,17.26,0.29,101
2019-05-02,3236,87000,2068450,17.26,17.48,17.22,17.48,0.22,65
2019-05-03,3236,151000,3603400,17.55,17.59,17.3,17.59,0.11,81
2019-05-06,3236,142000,3333400,17.52,17.52,17.08,17.08,-0.51,106
2019-05-07,3236,109000,2551950,17.3,17.3,16.97,17.11,0.03,60
2019-05-08,3236,173000,3974600,16.86,17.04,16.6,16.78,-0.33,103
2019-05-09,3236,270000,6046250,16.86,16.86,16.16,16.27,-0.51,174
2019-05-10,3236,208000,4622400,16.2,16.46,16.09,16.13,-0.14,139
2019-05-13,3236,426000,8965900,16.27,16.27,15.29,15.32,-0.81,289
2019-05-14,3236,210000,4279800,14.63,15.32,14.63,15.29,-0.03,133
2019-05-15,3236,117000,2502850,15.29,15.72,15.29,15.69,0.4,73
2019-05-16,3236,63000,1343150,15.65,15.72,15.5,15.5,-0.19,47
2019-05-17,3236,205000,4307000,15.69,15.69,15.14,15.18,-0.32,109
2019-05-20,3236,98000,1999700,15.21,15.21,14.74,14.96,-0.22,71
2019-05-21,3236,147000,3011800,14.92,15.1,14.92,15.1,0.14,69
2019-05-22,3236,150000,3107850,15.1,15.32,15.07,15.1,0.0,78
