date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2019-01-02,2936,1000,26800,26.8,26.8,26.8,26.8,0.0,1
2019-01-03,2936,6000,158100,26.3,26.8,26.25,26.8,0.0,3
2019-01-04,2936,6000,158900,26.4,26.7,26.35,26.7,-0.1,6
2019-01-07,2936,1000,26750,26.75,26.75,26.75,26.75,0.05,1
2019-01-08,2936,10000,265000,26.35,26.7,26.35,26.7,-0.05,8
2019-01-09,2936,63000,1681150,26.7,26.75,26.6,26.75,0.05,22
2019-01-10,2936,15000,400150,26.75,26.75,26.55,26.75,0.0,11
2019-01-11,2936,5000,132250,26.25,26.65,26.25,26.65,-0.1,5
2019-01-14,2936,11000,290850,26.45,26.6,26.05,26.6,-0.05,8
2019-01-15,2936,21000,556950,26.6,26.6,26.25,26.55,-0.05,15
2019-01-16,2936,23000,611450,26.55,26.7,26.45,26.6,0.05,20
2019-01-17,2936,23000,608850,26.4,26.65,26.25,26.65,0.05,10
2019-01-18,2936,14000,373050,26.6,26.7,26.6,26.7,0.05,8
2019-01-21,2936,1000,26800,26.8,26.8,26.8,26.8,0.1,1
2019-01-22,2936,9000,239900,26.65,26.7,26.65,26.7,-0.1,5
2019-01-23,2936,13000,347150,26.7,26.75,26.7,26.75,0.05,4
2019-01-24,2936,53000,1421700,26.75,26.85,26.75,26.85,0.1,12
2019-01-25,2936,6001,160427,26.5,26.8,26.5,26.75,-0.1,6
2019-01-28,2936,35000,932550,26.75,26.75,26.5,26.7,-0.05,22
2019-01-29,2936,16010,427320,26.65,26.75,26.5,26.75,0.05,11
2019-01-30,2936,23010,614470,26.7,26.8,26.6,26.8,0.05,13
2019-02-11,2936,2000,53300,26.65,26.65,26.65,26.65,-0.15,1
2019-02-12,2936,26000,691700,26.65,26.65,26.55,26.6,-0.05,10
2019-02-13,2936,26000,691650,26.65,26.65,26.4,26.65,0.05,14
2019-02-14,2936,38000,1002650,26.5,26.65,26.3,26.3,-0.35,23
2019-02-15,2936,7060,186905,26.5,26.5,26.4,26.5,0.2,7
2019-02-18,2936,29000,768600,26.5,26.55,26.5,26.55,0.05,13
2019-02-19,2936,16010,425368,26.55,26.6,26.5,26.6,0.05,9
2019-02-20,2936,14000,371000,26.35,26.6,26.35,26.6,0.0,14
2019-02-21,2936,20000,531450,26.55,26.65,26.45,26.6,0.0,15
2019-02-22,2936,19000,503300,26.35,26.6,26.35,26.6,0.0,13
2019-02-25,2936,13000,343550,26.5,26.6,26.25,26.6,0.0,11
2019-02-26,2936,48000,1268700,26.4,26.6,26.4,26.6,0.0,18
2019-02-27,2936,24003,632679,26.45,26.55,26.25,26.3,-0.3,16
2019-03-04,2936,24000,631850,26.3,26.35,26.3,26.35,0.05,14
2019-03-05,2936,4000,105300,26.3,26.35,26.3,26.35,0.0,4
2019-03-06,2936,34000,887900,26.2,26.25,26.0,26.25,-0.1,29
2019-03-07,2936,31000,806450,26.1,26.2,25.7,26.15,-0.1,18
2019-03-08,2936,9001,234576,25.9,26.2,25.9,26.2,0.05,10
2019-03-11,2936,3000,78900,26.3,26.3,26.3,26.3,0.1,2
2019-03-12,2936,31000,808700,26.3,26.3,25.95,26.15,-0.15,22
2019-03-13,2936,13000,338200,26.0,26.15,25.9,26.15,0.0,10
2019-03-14,2936,22000,572200,26.0,26.2,25.95,26.2,0.05,11
2019-03-15,2936,22000,572650,26.05,26.1,25.95,26.1,-0.1,15
2019-03-18,2936,40010,1036410,26.2,26.2,25.8,25.8,-0.3,24
2019-03-19,2936,8000,205600,25.6,26.0,25.6,26.0,0.2,6
2019-03-20,2936,14000,362750,25.7,26.0,25.7,26.0,0.0,12
2019-03-21,2936,28000,721050,25.8,25.85,25.55,25.85,-0.15,24
2019-03-22,2936,5000,129150,25.8,25.85,25.8,25.85,0.0,5
2019-03-25,2936,17000,430000,25.25,25.7,25.1,25.3,-0.55,12
2019-03-26,2936,6000,153300,25.3,25.8,25.3,25.7,0.4,6
2019-03-27,2936,23000,583200,25.5,25.65,25.15,25.65,-0.05,15
2019-03-28,2936,22000,560300,25.35,25.6,25.35,25.4,-0.25,16
2019-03-29,2936,7000,179750,25.95,25.95,25.6,25.65,0.25,6
2019-04-01,2936,21000,533100,25.4,25.65,25.25,25.65,0.0,13
2019-04-02,2936,1000,25750,25.75,25.75,25.75,25.75,0.1,1
2019-04-03,2936,29000,745500,25.7,25.8,25.7,25.8,0.05,7
2019-04-08,2936,9000,233900,26.0,26.0,25.9,25.9,0.1,7
2019-04-09,2936,22000,567950,25.9,25.95,25.7,25.95,0.05,16
2019-04-10,2936,23000,596200,25.95,26.0,25.7,26.0,0.05,13
2019-04-11,2936,21000,548350,26.35,26.35,26.0,26.2,0.2,12
2019-04-12,2936,15000,391250,26.1,26.25,26.0,26.25,0.05,9
2019-04-15,2936,20000,525300,26.25,26.35,25.75,26.35,0.1,13
2019-04-16,2936,12000,313700,26.0,26.3,25.95,26.3,-0.05,10
2019-04-17,2936,24000,625600,26.25,26.25,25.85,26.25,-0.05,19
2019-04-18,2936,4000,103500,26.15,26.15,25.3,26.05,-0.2,4
2019-04-19,2936,3000,78150,26.05,26.05,26.05,26.05,0.0,2
2019-04-22,2936,7000,180150,25.65,26.0,25.65,26.0,-0.05,4
2019-04-23,2936,8000,205250,25.65,25.95,25.6,25.95,-0.05,5
2019-04-24,2936,11000,285350,25.95,26.1,25.7,26.1,0.15,6
2019-04-25,2936,6000,155550,25.9,26.05,25.9,26.05,-0.05,2
2019-04-26,2936,7000,179850,25.65,25.95,25.65,25.95,-0.1,6
2019-04-29,2936,27000,692350,25.95,25.95,25.5,25.9,-0.05,14
2019-04-30,2936,5000,129350,25.85,25.9,25.85,25.9,0.0,3
2019-05-02,2936,7000,180700,25.8,25.9,25.65,25.65,-0.25,7
2019-05-03,2936,21081,540885,25.65,25.75,25.65,25.75,0.1,9
2019-05-06,2936,6000,154150,25.45,26.0,25.45,26.0,0.25,5
2019-05-07,2936,36000,930000,25.55,26.35,25.55,25.95,-0.05,15
2019-05-08,2936,4000,103800,25.95,25.95,25.95,25.95,0.0,1
2019-05-09,2936,2000,52100,26.0,26.1,26.0,26.1,0.15,2
2019-05-10,2936,4000,104750,26.2,26.35,26.1,26.1,0.0,4
2019-05-13,2936,35000,887550,25.75,25.75,25.0,25.35,-0.75,23
2019-05-14,2936,14000,350200,24.6,25.5,24.6,25.5,0.15,10
2019-05-15,2936,4000,101850,25.6,25.6,25.1,25.55,0.05,4
2019-05-16,2936,7000,177050,25.2,25.6,25.2,25.45,-0.1,5
2019-05-17,2936,12000,303700,25.25,25.4,25.15,25.4,-0.05,12
2019-05-20,2936,10000,252950,25.2,25.45,25.15,25.45,0.05,9
2019-05-21,2936,12000,303800,25.4,25.4,25.25,25.3,-0.15,11
2019-05-22,2936,3000,75600,25.2,25.2,25.2,25.2,-0.1,2
2019-05-23,2936,7000,176400,25.2,25.2,25.2,25.2,0.0,4
2019-05-24,2936,12000,300850,25.0,25.3,24.9,25.3,0.1,9
2019-05-27,2936,17010,422999,25.1,25.1,24.55,24.75,-0.55,16
2019-05-28,2936,1000,24600,24.6,24.6,24.6,24.6,-0.15,1
2019-05-29,2936,4000,100000,25.0,25.0,25.0,25.0,0.4,4
2019-05-30,2936,2000,50000,25.0,25.0,25.0,25.0,0.0,2
2019-05-31,2936,5000,124900,24.8,25.05,24.8,25.05,0.05,5
2019-06-03,2936,7000,179500,25.8,25.8,25.05,25.45,0.4,3
2019-06-04,2936,8000,201050,24.85,25.45,24.85,25.45,0.0,6
2019-06-05,2936,5000,126000,25.05,25.4,25.05,25.4,-0.05,4
2019-06-06,2936,19000,475650,25.1,25.15,24.85,25.15,-0.25,13
2019-06-10,2936,16000,399350,24.95,25.1,24.8,25.1,-0.05,10
2019-06-11,2936,2000,50000,25.0,25.0,25.0,25.0,-0.1,2
2019-06-12,2936,9000,224300,24.8,25.0,24.8,25.0,0.0,8
2019-06-13,2936,7050,176040,24.95,25.0,24.95,25.0,0.0,6
2019-06-14,2936,11000,274150,24.8,25.0,24.8,25.0,0.0,10
2019-06-17,2936,12000,298400,24.75,24.95,24.75,24.95,-0.05,6
2019-06-18,2936,12000,296250,24.75,24.75,24.6,24.75,-0.2,8
2019-06-19,2936,28095,690927,24.65,24.7,24.5,24.7,-0.05,24
2019-06-20,2936,21000,515250,24.55,24.65,24.45,24.6,-0.1,18
2019-06-21,2936,21000,517750,24.65,24.8,24.6,24.7,0.1,15
