combination,remark,count,mean_return2
201001-201004,loser,14,0.06658830038531248
201001-201004,winner,14,0.19351681880902558
201001-201004,winner - loser,-,0.1269285184237131
201010-201101,loser,14,-0.36930013613072127
201010-201101,winner,14,-0.198138221820648
201010-201101,winner - loser,-,0.17116191431007327
201011-201102,loser,14,-0.20192714374998252
201011-201102,winner,14,-0.05417958320395094
201011-201102,winner - loser,-,0.14774756054603158
201012-201103,loser,14,-0.2695422968496501
201012-201103,winner,14,-0.21247723226121937
201012-201103,winner - loser,-,0.05706506458843072
201101-201104,loser,14,-0.26680593711579814
201101-201104,winner,14,-0.2330243073598902
201101-201104,winner - loser,-,0.033781629755907955
201110-201201,loser,14,0.1276131202851886
201110-201201,winner,14,0.21880171401029874
201110-201201,winner - loser,-,0.09118859372511015
201111-201202,loser,14,-0.11149781728237906
201111-201202,winner,14,-0.17725674977677572
201111-201202,winner - loser,-,-0.06575893249439665
201112-201203,loser,14,-0.054150442909181785
201112-201203,winner,14,-0.14030531753832054
201112-201203,winner - loser,-,-0.08615487462913876
201201-201204,loser,14,0.024435202372972566
201201-201204,winner,14,-0.02432355733651708
201201-201204,winner - loser,-,-0.048758759709489646
201210-201301,loser,14,0.2835937952272219
201210-201301,winner,14,0.15622288147835636
201210-201301,winner - loser,-,-0.12737091374886553
201211-201302,loser,14,-0.007002576427475783
201211-201302,winner,14,0.0720349722009057
201211-201302,winner - loser,-,0.07903754862838148
201212-201303,loser,14,0.08392238061000203
201212-201303,winner,13,0.20854600866712897
201212-201303,winner - loser,-,0.12462362805712694
201301-201304,loser,14,0.1400558484142302
201301-201304,winner,13,0.2784138683903988
201301-201304,winner - loser,-,0.1383580199761686
201310-201401,loser,14,0.10078913130844001
201310-201401,winner,13,0.15972100528763392
201310-201401,winner - loser,-,0.0589318739791939
201311-201402,loser,14,0.062438480544584896
201311-201402,winner,14,0.18108411272128125
201311-201402,winner - loser,-,0.11864563217669635
201312-201403,loser,14,0.06158251484520717
201312-201403,winner,14,0.1052586082087807
201312-201403,winner - loser,-,0.04367609336357353
