,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2016-11-01,2357,678519,186669954,275.5,276.5,274.0,275.0,-1.5,595
1,2016-11-02,2357,363846,99539369,273.5,275.0,273.0,273.5,-1.5,355
2,2016-11-03,2357,586477,160611473,275.5,276.0,272.5,272.5,-1.0,526
3,2016-11-04,2357,441434,119831614,272.0,273.5,271.0,271.0,-1.5,414
4,2016-11-07,2357,373333,102312909,272.0,275.0,272.0,274.0,3.0,300
5,2016-11-08,2357,357151,98469025,275.5,276.5,275.0,276.0,2.0,316
6,2016-11-09,2357,1771108,480435160,278.0,280.0,268.0,268.5,-7.5,1522
7,2016-11-10,2357,918451,250103672,273.5,273.5,271.0,273.5,5.0,731
8,2016-11-11,2357,1838660,484982580,267.0,269.0,262.5,262.5,-11.0,1638
9,2016-11-14,2357,2074448,547117491,266.0,267.5,261.5,262.5,0.0,1548
10,2016-11-15,2357,1024957,268128234,262.5,263.0,261.0,261.0,-1.5,922
11,2016-11-16,2357,934239,245298357,263.0,264.5,261.0,261.0,0.0,709
12,2016-11-17,2357,523467,136926354,262.0,262.5,261.0,261.0,0.0,492
13,2016-11-18,2357,1742171,455954606,261.0,264.5,261.0,263.0,2.0,820
14,2016-11-21,2357,888700,234517000,264.0,265.0,261.0,265.0,2.0,750
15,2016-11-22,2357,1355877,362685462,265.0,269.5,264.0,268.5,3.5,1133
16,2016-11-23,2357,881208,236746494,267.0,270.0,267.0,268.5,0.0,640
17,2016-11-24,2357,677875,180896750,268.5,268.5,266.0,266.0,-2.5,405
18,2016-11-25,2357,390576,104214716,266.0,268.0,265.5,266.5,0.5,327
19,2016-11-28,2357,918978,245436050,266.5,268.0,266.0,266.0,-0.5,725
20,2016-11-29,2357,1389663,367927032,265.0,267.0,262.5,262.5,-3.5,1128
21,2016-11-30,2357,2506052,662423176,265.5,265.5,264.0,264.0,1.5,916
22,2016-12-01,2357,2619721,689765865,264.0,265.0,263.0,263.0,-1.0,1334
23,2016-12-02,2357,1791120,468516640,263.0,264.0,261.0,261.0,-2.0,1409
24,2016-12-05,2357,956723,250932054,263.0,263.5,261.0,261.5,0.5,784
25,2016-12-06,2357,1158497,305621711,264.5,265.0,263.0,263.0,1.5,991
26,2016-12-07,2357,1032526,274021364,265.0,266.0,264.0,265.5,2.5,798
27,2016-12-08,2357,1381780,367871980,266.5,267.0,265.5,267.0,1.5,1001
28,2016-12-09,2357,1404189,373977968,267.0,267.5,265.0,265.0,-2.0,953
29,2016-12-12,2357,745494,198737410,267.0,267.5,266.0,266.5,1.5,593
30,2016-12-13,2357,1044065,277858790,266.5,267.0,265.0,267.0,0.5,867
31,2016-12-14,2357,753968,201020020,267.0,267.0,266.0,266.0,-1.0,622
32,2016-12-15,2357,931060,247833460,266.5,268.0,264.0,266.5,0.5,711
33,2016-12-16,2357,1633038,434109570,268.0,268.0,264.5,265.0,-1.5,958
34,2016-12-19,2357,1034751,272940013,265.0,265.5,263.0,263.5,-1.5,639
35,2016-12-20,2357,1037791,273530919,263.5,264.0,263.0,263.5,0.0,819
36,2016-12-21,2357,1030782,271753166,263.5,264.5,262.5,263.5,0.0,616
37,2016-12-22,2357,1213602,319095826,263.0,264.0,262.0,263.0,-0.5,746
38,2016-12-23,2357,1246012,329061155,263.0,265.5,263.0,264.0,1.0,835
39,2016-12-26,2357,191709,50588676,264.0,264.5,263.0,264.0,0.0,201
40,2016-12-27,2357,376164,99325710,264.0,264.5,263.5,264.5,0.5,320
41,2016-12-28,2357,1188975,314118904,265.0,265.0,263.5,264.0,-0.5,673
42,2016-12-29,2357,705209,186344467,264.0,265.5,263.0,263.0,-1.0,512
43,2016-12-30,2357,559410,148312240,265.5,266.0,264.0,265.0,2.0,347
