remark,n,mean,t_stat,p_value,std,oPeriod,hPeriod
loser,156,0.0018906628402683,1.5951666192826552,0.1127119498830744,0.0148037020213371,12,12
winner,156,-0.001013587556526,-0.8691490290236159,0.3861094832524017,0.0145656315553098,12,12
winner - loser,156,-0.0029042503967943,-3.588987325135127,0.0004447938326732,0.0101070504138076,12,12
loser,165,-0.0001198831805789,-0.0436143002736831,0.9652649096522752,0.0353078537806011,12,3
winner,165,0.0035249760649629,1.3729581070785666,0.1716397442976496,0.0329792563627627,12,3
winner - loser,165,0.0036448592455419,2.1117155355963,0.0362261163185525,0.0221711039845446,12,3
loser,162,-0.0003630478920793,-0.1998126011447684,0.8418792962690058,0.0231258952060705,12,6
winner,162,0.0010075577043267,0.5700119548076634,0.5694641433082406,0.0224979771473721,12,6
winner - loser,162,0.0013706055964061,1.1876883662000397,0.2367054401734452,0.0146881637510119,12,6
loser,159,0.0006971383553494,0.4973280355304432,0.6196491207402548,0.0176756176104251,12,9
winner,159,-0.0004494840070581,-0.3351705578781375,0.7379410143149632,0.0169101299000263,12,9
winner - loser,159,-0.0011466223624076,-1.2704381878688522,0.2057961419405502,0.0113806070955859,12,9
loser,165,-0.0025733901964273,-2.253036240021021,0.0255825055694138,0.0146716661727811,3,12
winner,165,0.0006727828671585,0.5913450134141861,0.555103467467593,0.0146142306226557,3,12
winner - loser,165,0.0032461730635858,5.23549652032627,4.982425361166191e-07,0.007964449566621,3,12
loser,174,-0.0010593659740967,-0.4103956190762916,0.6820235701613651,0.0340500636219179,3,3
winner,174,0.0053993986725872,2.3849197459629763,0.0181643014761485,0.0298638812655576,3,3
winner - loser,174,0.0064587646466839,4.246392950747847,3.539490453794122e-05,0.0200633709713609,3,3
loser,171,-0.002647835857988,-1.6489439843585694,0.1010058341551284,0.0209982553080042,3,6
winner,171,0.003287778165392,1.98222796721096,0.0490652095512336,0.021689371266244,3,6
winner - loser,171,0.00593561402338,6.225650529731014,3.627666390947635e-09,0.0124674882916505,3,6
loser,168,-0.0030738639084283,-2.474920478371446,0.0143249926670732,0.0160982262717606,3,9
winner,168,0.0021715336531811,1.7137833555877933,0.0884239838368955,0.0164234837247632,3,9
winner - loser,168,0.0052453975616094,7.62170073240262,1.7864389400945617e-12,0.0089203348833497,3,9
loser,162,-0.0018412152291008,-1.5345969150276089,0.1268456593469978,0.0152710094127609,6,12
winner,162,8.143921021579643e-05,0.0689088363935517,0.9451476943099096,0.015042365748933,6,12
winner - loser,162,0.0019226544393166,2.8250890181428963,0.0053251945823574,0.0086621680582059,6,12
loser,171,-0.0017897587954363,-0.6677746505096828,0.5051829859402276,0.0350479509067866,6,3
winner,171,0.0053860240138025,2.2436513989759046,0.0261458846028746,0.0313914198895127,6,3
winner - loser,171,0.0071757828092388,4.269033721034675,3.2563331649839264e-05,0.0219805095135352,6,3
loser,168,-0.0032730523687108,-1.9197463948584867,0.0565945862690093,0.0220985477568649,6,6
winner,168,0.0034841485371306,2.088632658565281,0.0382575205553336,0.0216216701690295,6,6
winner - loser,168,0.0067572009058415,6.578860368226932,5.844182033725266e-10,0.0133128427924388,6,6
loser,165,-0.0028788184845592,-2.1482475077282728,0.0331618227816094,0.0172136091641642,6,9
winner,165,0.0017394118029625,1.3429767393270542,0.1811351594784081,0.0166370336170709,6,9
winner - loser,165,0.0046182302875217,6.12773391579259,6.396490774523478e-09,0.009680942899979,6,9
loser,159,-0.0003174625329396,-0.2642082354065477,0.7919637769310969,0.0151511182828482,9,12
winner,159,-0.0007112918621749,-0.6072184283007225,0.5445776115295347,0.0147707129681151,9,12
winner - loser,159,-0.0003938293292352,-0.5399205911132898,0.5900119599076605,0.0091976467820813,9,12
loser,168,-0.0017833363158274,-0.6497428095513197,0.5167510837235982,0.0355751231750065,9,3
winner,168,0.0060546761798938,2.494556727168194,0.0135836208804893,0.0314595261814408,9,3
winner - loser,168,0.0078380124957212,4.478127455088609,1.3906039181065527e-05,0.0226863246234446,9,3
loser,165,-0.002655857305356,-1.4702930194254054,0.1433983428043326,0.023202929166036,9,6
winner,165,0.0026196122351821,1.5693504821544906,0.1184936886475978,0.0214416912024879,9,6
winner - loser,165,0.0052754695405382,4.947838057449266,1.8461141626351984e-06,0.0136958066175697,9,6
loser,162,-0.00175931916783,-1.275121761348458,0.2041031295809124,0.0175610501898371,9,9
winner,162,0.0006746072656264,0.5150883634735258,0.6071977489747242,0.0166696615722731,9,9
winner - loser,162,0.0024339264334565,3.0322107946627974,0.0028302995447967,0.0102165805895294,9,9
