remark,n,mean,t_stat,p_value,oPeriod,hPeriod
loser,156,0.0015172050789854,1.2542202931376152,0.2116500926104516,12,12
winner,156,-0.001184395420722,-0.9745598403904016,0.3312971283892076,12,12
winner - loser,156,-0.0027016004997075,-3.315631588459189,0.0011388237225331,12,12
loser,165,-0.001268700162695,-0.4493619491934426,0.6537638673190617,12,3
winner,165,0.0028244293662067,1.062776151723459,0.289445905254295,12,3
winner - loser,165,0.0040931295289018,2.331818162829533,0.020926016137514,12,3
loser,162,-0.0007745379343045,-0.4183385991729679,0.6762570507632775,12,6
winner,162,0.0007338405633996,0.409786495845311,0.6825072924985436,12,6
winner - loser,162,0.0015083784977041,1.316691895317428,0.1898131157510742,12,6
loser,159,0.0001729419363922,0.1205189817641277,0.9042251658381366,12,9
winner,159,-0.000634395106798,-0.4514629428506712,0.652274994072386,12,9
winner - loser,159,-0.0008073370431902,-0.893409692654526,0.3729965984020594,12,9
loser,165,-0.0028954778817365,-2.5035808378763766,0.0132723494998372,3,12
winner,165,0.0006579248793281,0.5694831542718263,0.5698074905044803,3,12
winner - loser,165,0.0035534027610647,5.639119421085192,7.321139109191723e-08,3,12
loser,174,-0.0021325668562729,-0.8179108213733122,0.4145331940787189,3,3
winner,174,0.0045505778524624,1.944606969171036,0.0534439100682902,3,3
winner - loser,174,0.0066831447087353,4.321547330663124,2.6079499189192826e-05,3,3
loser,171,-0.0030428985553032,-1.852187165140064,0.0657330131855846,3,6
winner,171,0.0029804602757641,1.8047424630357125,0.0728848179838579,3,6
winner - loser,171,0.0060233588310673,6.376333805750138,1.6496901182443812e-09,3,6
loser,168,-0.0033495167969786,-2.6399603329632573,0.0090773467833277,3,9
winner,168,0.0019510542829555,1.4902228666410098,0.138051931482123,3,9
winner - loser,168,0.0053005710799342,7.38189639920201,7.018694439724905e-12,3,9
loser,162,-0.0021005760105777,-1.730117582318349,0.0855255431339083,6,12
winner,162,0.0001055218887769,0.087652755762222,0.9302615969992843,6,12
winner - loser,162,0.0022060978993546,3.1941452172930527,0.0016874423740729,6,12
loser,171,-0.0024945120962329,-0.9225879072127982,0.3575295317423319,6,3
winner,171,0.00493601326144,1.9721307249652045,0.050216819459381,6,3
winner - loser,171,0.007430525357673,4.411923216896488,1.81382369270427e-05,6,3
loser,168,-0.0035164580295624,-2.025351447423138,0.0444235937883018,6,6
winner,168,0.0033301099068884,1.9629924324300687,0.0513080576829145,6,6
winner - loser,168,0.0068465679364509,6.741640071950067,2.436401771065497e-10,6,6
loser,165,-0.003128003340049,-2.2950885386136277,0.0229951922050867,6,9
winner,165,0.0017424822358346,1.2920187679646944,0.1981683281649786,6,9
winner - loser,165,0.0048704855758837,6.481390788438166,1.0187732109516403e-09,6,9
loser,159,-0.0007654051262714,-0.6166199296148481,0.5383729002420208,9,12
winner,159,-0.0008073333964062,-0.671257701122983,0.5030365540109114,9,12
winner - loser,159,-4.192827013476566e-05,-0.0566571657236613,0.9548898815407254,9,12
loser,168,-0.0029208301836323,-1.047640370450298,0.2963181980323747,9,3
winner,168,0.0051083073131921,2.021435903299089,0.0448314611480951,9,3
winner - loser,168,0.0080291374968244,4.584973661191913,8.864305695687598e-06,9,3
loser,165,-0.0031012411625402,-1.6785612824330016,0.0951420063181119,9,6
winner,165,0.0025257011241089,1.502970556773359,0.134769800652669,9,6
winner - loser,165,0.0056269422866491,5.3157870264351805,3.427081180679078e-07,9,6
loser,162,-0.0021197653086804,-1.4997222801579144,0.1356447340723555,9,9
winner,162,0.0006024896187377,0.446556015395391,0.655795721379917,9,9
winner - loser,162,0.0027222549274181,3.400278239708358,0.0008488827322455,9,9
