date,broker_id,stock_id
2024-09-02,1440,1721
2024-09-02,1480,1721
2024-09-02,1560,1721
2024-09-02,1650,1721
2024-09-02,5850,1721
2024-09-02,5920,1721
2024-09-02,585U,1721
2024-09-02,700C,1721
2024-09-02,7790,1721
2024-09-02,592A,1721
2024-09-02,8150,1721
2024-09-02,8440,1721
2024-09-02,8560,1721
2024-09-02,8888,1721
2024-09-02,9227,1721
2024-09-02,9268,1721
2024-09-02,9300,1721
2024-09-02,9692,1721
2024-09-02,9600,1721
2024-09-02,9666,1721
2024-09-02,9800,1721
2024-09-02,980K,1721
2024-09-02,5850,1735
2024-09-02,5854,1735
2024-09-02,8150,1735
2024-09-02,8440,1735
2024-09-02,8560,1735
2024-09-02,8888,1735
2024-09-02,9227,1735
2024-09-02,9268,1735
2024-09-02,9A89,1735
2024-09-02,9800,1735
2024-09-02,1440,1799
2024-09-02,1560,1799
2024-09-02,1650,1799
2024-09-02,1480,1799
2024-09-02,5920,1799
2024-09-02,5850,1799
2024-09-02,700C,1799
2024-09-02,8150,1799
2024-09-02,7790,1799
2024-09-02,8440,1799
2024-09-02,8880,1799
2024-09-02,8888,1799
2024-09-02,8560,1799
2024-09-02,9227,1799
2024-09-02,9268,1799
2024-09-02,9300,1799
2024-09-02,9666,1799
2024-09-02,9692,1799
2024-09-02,9A9R,1799
2024-09-02,9800,1799
2024-09-02,980K,1799
2024-09-02,9A89,1799
2024-09-02,1480,2033
2024-09-02,1440,2033
2024-09-02,1650,2033
2024-09-02,8440,2033
2024-09-02,7790,2033
2024-09-02,8560,2033
2024-09-02,8888,2033
2024-09-02,9268,2033
2024-09-02,9800,2033
2024-09-02,1480,2425
2024-09-02,1650,2425
2024-09-02,1440,2425
2024-09-02,5850,2425
2024-09-02,5920,2425
2024-09-02,700C,2425
2024-09-02,5854,2425
2024-09-02,8440,2425
2024-09-02,592A,2425
2024-09-02,7790,2425
2024-09-02,8150,2425
2024-09-02,779Z,2425
2024-09-02,8560,2425
2024-09-02,8880,2425
2024-09-02,8888,2425
2024-09-02,9268,2425
2024-09-02,9101,2425
2024-09-02,918E,2425
2024-09-02,9227,2425
2024-09-02,9300,2425
2024-09-02,9692,2425
2024-09-02,9600,2425
2024-09-02,9666,2425
2024-09-02,9A89,2425
2024-09-02,9800,2425
2024-09-02,980K,2425
2024-09-02,9A9R,2425
2024-09-02,1440,3081
2024-09-02,1480,3081
2024-09-02,1650,3081
2024-09-02,1560,3081
2024-09-02,5854,3081
2024-09-02,592A,3081
2024-09-02,5850,3081
2024-09-02,585U,3081
2024-09-02,5920,3081
2024-09-02,7790,3081
2024-09-02,8440,3081
2024-09-02,700C,3081
2024-09-02,779Z,3081
2024-09-02,8560,3081
2024-09-02,8150,3081
2024-09-02,8888,3081
2024-09-02,8880,3081
2024-09-02,918E,3081
2024-09-02,9101,3081
2024-09-02,9227,3081
2024-09-02,9600,3081
2024-09-02,9300,3081
2024-09-02,9666,3081
2024-09-02,9268,3081
2024-09-02,9692,3081
2024-09-02,980K,3081
2024-09-02,9A9R,3081
2024-09-02,9800,3081
2024-09-02,9A89,3081
2024-09-02,1440,3167
2024-09-02,1480,3167
2024-09-02,1560,3167
2024-09-02,5920,3167
2024-09-02,1650,3167
2024-09-02,5850,3167
2024-09-02,5854,3167
2024-09-02,592A,3167
2024-09-02,585U,3167
2024-09-02,8150,3167
2024-09-02,700C,3167
2024-09-02,7790,3167
2024-09-02,8440,3167
2024-09-02,8560,3167
2024-09-02,8880,3167
2024-09-02,8888,3167
2024-09-02,918E,3167
2024-09-02,9227,3167
2024-09-02,9101,3167
2024-09-02,9268,3167
2024-09-02,9600,3167
2024-09-02,9692,3167
2024-09-02,9300,3167
2024-09-02,9666,3167
2024-09-02,9A9R,3167
