combination,remark,count,mean_avg_monthly_return,std_avg_monthly_return
201001-201101,loser,88,-0.027558805265957994,0.03969606237309623
201001-201101,winner,88,-0.005009775470814775,0.03891487647454872
201002-201102,loser,83,-0.03541361816574601,0.04949896430468011
201002-201102,winner,83,-0.009288996467528694,0.05726900411750056
201003-201103,loser,88,-0.06494181851987736,0.04621503395079329
201003-201103,winner,88,-0.029010623464459453,0.06504132699102375
201004-201104,loser,94,-0.061302132945489494,0.049140954936194976
201004-201104,winner,94,-0.047138413512944816,0.05198436408289801
201005-201105,loser,88,-0.05732484322262972,0.05309089896547026
201005-201105,winner,91,-0.03523595528338957,0.042546181548549514
201006-201106,loser,88,-0.0748019876317892,0.07576207000102902
201006-201106,winner,89,-0.06265046744725353,0.045208518039388905
201007-201107,loser,89,-0.06942798292142502,0.05000012063942419
201007-201107,winner,92,-0.04993215885955486,0.03816171442173109
201008-201108,loser,96,-0.04415960435939197,0.04077682119241278
201008-201108,winner,96,-0.04531554877954871,0.04031026467542771
201009-201109,loser,97,0.01886921347859162,0.029892602910000943
201009-201109,winner,96,-0.0005116813827835863,0.03305288688823227
201010-201110,loser,97,0.018958054254064643,0.04421928602672398
201010-201110,winner,97,0.01737677479588408,0.046526227844301486
201011-201111,loser,95,-0.006143940533028818,0.04876847298366213
201011-201111,winner,95,-0.0006144281641794835,0.03742333532316543
201012-201112,loser,99,0.01846509817449277,0.04396208472662465
201012-201112,winner,99,0.01182367857296108,0.03150418082202923
201101-201201,loser,108,0.014994932830411466,0.039085397965666596
201101-201201,winner,108,0.018191758119494843,0.03714726116198483
201102-201202,loser,107,-0.02599201293364476,0.04059574677006716
201102-201202,winner,106,0.0025138879068429694,0.04438333435269572
201103-201203,loser,105,-0.05511221343926558,0.042789529828466774
201103-201203,winner,105,-0.012010584534511379,0.0448659205394574
201104-201204,loser,108,-0.026581539483159316,0.0413712029512498
201104-201204,winner,108,-0.006660055901600083,0.03820043210580476
201105-201205,loser,107,-0.0370278379114643,0.058944801067606176
201105-201205,winner,107,-0.012824169248903403,0.04816725933856817
201106-201206,loser,107,-0.020608206563783444,0.05310025324620436
201106-201206,winner,106,0.010480346899245131,0.049122635701339144
201107-201207,loser,104,-0.01254976388212267,0.04943867833713521
201107-201207,winner,104,0.010941084288232213,0.04521892609270403
201108-201208,loser,97,0.005691554421098034,0.03995476658894303
201108-201208,winner,98,0.01501032359994082,0.04752805098169156
201109-201209,loser,93,0.0024694575181901323,0.037254353874921216
201109-201209,winner,92,0.011479544272595742,0.04792131866319347
201110-201210,loser,94,0.0016889794173952086,0.04179742082127779
201110-201210,winner,93,0.018737415630707674,0.05007574101178278
201111-201211,loser,92,0.03940119419375752,0.04875011894163128
201111-201211,winner,91,0.032285006204277315,0.05194471831787071
201112-201212,loser,85,0.029400184331220894,0.05412186434716938
201112-201212,winner,86,0.03281407350392152,0.05533817046754746
201201-201301,loser,87,0.009797409367720054,0.04884012519548317
201201-201301,winner,89,0.013024461001489105,0.050715661163635926
201202-201302,loser,99,0.0001635557399941549,0.04643528500207269
201202-201302,winner,99,0.017108882503590085,0.060028951481397134
201203-201303,loser,104,-0.010023043552382621,0.04829200078446442
201203-201303,winner,104,0.001700061070319127,0.06042139937240891
201204-201304,loser,96,0.00030783586473007185,0.05127374627657036
201204-201304,winner,98,0.010319996427755974,0.06333766896652582
201205-201305,loser,95,0.002202197416257733,0.04178376103542243
201205-201305,winner,95,0.007723026798732171,0.06593936049124244
201206-201306,loser,92,-0.010579278109581033,0.05331543646955621
201206-201306,winner,92,0.009681532470205265,0.06757098006061016
201207-201307,loser,94,0.012125748210538146,0.05145568375961501
201207-201307,winner,94,0.01499163473718219,0.06191910349760975
201208-201308,loser,96,0.0130910711127498,0.04461824718761954
201208-201308,winner,96,0.00689341711867542,0.04877829735747341
201209-201309,loser,99,0.03132012594171322,0.05674293872389713
201209-201309,winner,100,0.025907331837381073,0.04748924207846781
201210-201310,loser,97,0.02375744679082582,0.05176973850287231
201210-201310,winner,97,0.021921122505985626,0.0522862646710687
201211-201311,loser,93,0.022236694032765833,0.04452341076289138
201211-201311,winner,92,0.01291523512798151,0.04867189526221451
201212-201312,loser,98,0.03390553808360806,0.04966969830829002
201212-201312,winner,98,0.019412908297175513,0.051739733187107784
201301-201401,loser,101,0.03463997087194877,0.05256833446462374
201301-201401,winner,100,0.017937416630381633,0.057380107419559755
201302-201402,loser,103,0.024345854715716986,0.04997786459314896
201302-201402,winner,102,0.015159714457803713,0.050151759389919365
201303-201403,loser,106,0.007317564705113996,0.05076735309845934
201303-201403,winner,105,-0.0003619431685220153,0.04940754993500206
201304-201404,loser,107,-0.007201188364515851,0.04661847084840253
201304-201404,winner,106,-0.009236334429062128,0.05526189654211985
201305-201405,loser,108,-0.02643300919102867,0.04973060760663686
201305-201405,winner,109,-0.021332649181884218,0.046105735924990704
201306-201406,loser,107,-0.03247247951004334,0.04817395361601596
201306-201406,winner,110,-0.03164106687897013,0.0431288634029803
201307-201407,loser,108,-0.02161604401892867,0.03827703840639315
201307-201407,winner,110,-0.029732626825675547,0.03491274071100562
201308-201408,loser,110,-0.010170578850642755,0.04102214547334094
201308-201408,winner,110,-0.019726076296699594,0.03671914155439878
201309-201409,loser,111,-0.005950376406296952,0.03633154512319752
201309-201409,winner,111,-0.014169163669979815,0.036854635353141214
201310-201410,loser,115,-0.0013786282183051327,0.04204333776955745
201310-201410,winner,114,-0.0016480549909883818,0.04212494616501475
201311-201411,loser,114,0.012043766638320536,0.04751950553677713
201311-201411,winner,115,0.015450561865196579,0.04195568892107571
201312-201412,loser,117,0.00829808102724955,0.047820871607808915
201312-201412,winner,118,0.007124452602802844,0.05389782937408416
201401-201501,loser,121,-0.0244468164411627,0.05105658855418482
201401-201501,winner,122,-0.009094599561875008,0.06562942360905198
201402-201502,loser,123,-0.04438269976546674,0.05176333220903651
201402-201502,winner,124,-0.028856691430915134,0.060142486868762994
201403-201503,loser,126,-0.058386323626069665,0.05565996213690472
201403-201503,winner,126,-0.039833808424771244,0.057882416411150606
201404-201504,loser,126,-0.04824422430116126,0.04904501036300583
201404-201504,winner,127,-0.03132154695595225,0.05458405775084085
201405-201505,loser,126,-0.03511099393073294,0.03946148969783365
201405-201505,winner,125,-0.01682340647712012,0.051394422812719345
201406-201506,loser,127,-0.024738568703945585,0.052637957437171555
201406-201506,winner,126,-0.02202874205314571,0.05540693439203622
201407-201507,loser,130,-0.014571882582389993,0.04386320977413758
201407-201507,winner,129,-0.02201965719190717,0.053168386476395525
201408-201508,loser,128,0.012745857123067462,0.046331983059972714
201408-201508,winner,126,0.012751670816909427,0.05360527905409165
201409-201509,loser,128,0.036778058648527415,0.04971439883711296
201409-201509,winner,127,0.020396732586667465,0.05428244462844361
201410-201510,loser,125,0.01722741138041351,0.050435404459797405
201410-201510,winner,124,0.007509948613557424,0.047343211146025306
201411-201511,loser,126,-0.009901205789815648,0.052395278668011296
201411-201511,winner,125,-0.0007279763591497185,0.04934121101971094
