combination,remark,count,mean_avg_monthly_return
201606-201706,loser,123,-0.009826843003882231
201606-201706,winner,123,0.0006522438629283922
201607-201707,loser,128,-0.00448285325275461
201607-201707,winner,128,0.017617716625322674
201608-201708,loser,131,-0.017609889081478435
201608-201708,winner,132,-0.011617838484878672
201609-201709,loser,132,-0.004875801891314536
201609-201709,winner,133,-0.002268531560160824
201610-201710,loser,131,0.007775280754993652
201610-201710,winner,133,-0.0035382682800502298
201611-201711,loser,131,0.0013429120629900608
201611-201711,winner,132,-0.011802728160818987
201612-201712,loser,134,0.01686892783579108
201612-201712,winner,134,0.021284575581775853
201701-201801,loser,136,-0.0010970229006940658
201701-201801,winner,136,-0.00042079462738031485
201702-201802,loser,137,0.008763466186441372
201702-201802,winner,139,0.010909111437564002
201703-201803,loser,140,-0.003571286072656851
201703-201803,winner,142,-0.00941267431103015
201704-201804,loser,140,-0.020547948691858907
201704-201804,winner,141,-0.04226241015166031
201705-201805,loser,140,-0.03252510072658875
201705-201805,winner,140,-0.05319502246789747
201706-201806,loser,141,-0.03000692876906551
201706-201806,winner,142,-0.061264254673339624
201707-201807,loser,140,-0.01909612882827703
201707-201807,winner,142,-0.05558394270716379
201708-201808,loser,142,-0.02099991851142642
201708-201808,winner,143,-0.04288556909654895
201709-201809,loser,145,-0.002286837138936213
201709-201809,winner,146,-0.013859361000942006
201710-201810,loser,147,0.009426062194194226
201710-201810,winner,145,0.009209806428047146
201711-201811,loser,148,0.028878808091528013
201711-201811,winner,147,0.016701776114822067
201712-201812,loser,147,0.003224387369307035
201712-201812,winner,146,0.004841049516245019
201801-201901,loser,150,0.013725185366042248
201801-201901,winner,152,0.01655796546598177
201802-201902,loser,148,0.004637129993440223
201802-201902,winner,148,0.008237617503608434
201803-201903,loser,150,-0.00042377127887487527
201803-201903,winner,150,0.01309409989538852
201804-201904,loser,150,-0.005223191137087991
201804-201904,winner,151,0.002501167529854796
201805-201905,loser,147,-0.004756012599854768
201805-201905,winner,151,0.011280622085463978
201806-201906,loser,152,0.010615316987558774
201806-201906,winner,153,0.017401086885391565
