,date,stock_id,close
0,2015-01-05,1101,20.19
1,2015-01-06,1101,19.83
2,2015-01-07,1101,19.76
3,2015-01-08,1101,19.83
4,2015-01-09,1101,19.62
5,2015-01-12,1101,19.13
6,2015-01-13,1101,19.39
7,2015-01-14,1101,19.39
8,2015-01-15,1101,19.46
9,2015-01-16,1101,19.46
10,2015-01-19,1101,19.58
11,2015-01-20,1101,19.62
12,2015-01-21,1101,19.53
13,2015-01-22,1101,19.72
14,2015-01-23,1101,19.83
15,2015-01-26,1101,19.95
16,2015-01-27,1101,20.05
17,2015-01-28,1101,20.16
18,2015-01-29,1101,19.76
19,2015-01-30,1101,20.0
20,2015-02-02,1101,20.07
21,2015-02-03,1101,19.95
22,2015-02-04,1101,19.83
23,2015-02-05,1101,19.81
24,2015-02-06,1101,19.97
25,2015-02-09,1101,19.81
26,2015-02-10,1101,19.81
27,2015-02-11,1101,19.51
28,2015-02-12,1101,19.83
29,2015-02-13,1101,19.79
30,2015-02-24,1101,20.12
31,2015-02-25,1101,20.07
32,2015-02-26,1101,20.16
33,2015-03-02,1101,20.02
34,2015-03-03,1101,20.3
35,2015-03-04,1101,20.47
36,2015-03-05,1101,20.19
37,2015-03-06,1101,20.35
38,2015-03-09,1101,20.0
39,2015-03-10,1101,19.76
40,2015-03-11,1101,19.48
41,2015-03-12,1101,19.72
42,2015-03-13,1101,19.83
43,2015-03-16,1101,19.6
44,2015-03-17,1101,19.65
45,2015-03-18,1101,19.86
46,2015-03-19,1101,20.21
47,2015-03-20,1101,19.83
48,2015-03-23,1101,19.95
49,2015-03-24,1101,19.72
50,2015-03-25,1101,19.72
51,2015-03-26,1101,19.81
52,2015-03-27,1101,19.72
53,2015-03-30,1101,20.07
54,2015-03-31,1101,20.7
55,2015-04-01,1101,20.44
56,2015-04-02,1101,20.3
57,2015-04-07,1101,20.66
58,2015-04-08,1101,20.56
59,2015-04-09,1101,20.66
60,2015-04-10,1101,20.54
61,2015-04-13,1101,20.49
62,2015-04-14,1101,20.51
63,2015-04-15,1101,20.42
64,2015-04-16,1101,20.54
65,2015-04-17,1101,20.47
66,2015-04-20,1101,20.37
67,2015-04-21,1101,20.54
68,2015-04-22,1101,20.54
69,2015-04-23,1101,21.17
70,2015-04-24,1101,21.1
71,2015-04-27,1101,20.98
72,2015-04-28,1101,20.63
73,2015-04-29,1101,20.47
74,2015-04-30,1101,20.47
75,2015-05-04,1101,20.37
76,2015-05-05,1101,20.33
77,2015-05-06,1101,20.26
78,2015-05-07,1101,19.9
79,2015-05-08,1101,19.97
80,2015-05-11,1101,20.02
81,2015-05-12,1101,20.12
82,2015-05-13,1101,20.28
83,2015-05-14,1101,20.05
84,2015-05-15,1101,19.95
85,2015-05-18,1101,20.19
86,2015-05-19,1101,20.0
87,2015-05-20,1101,19.97
88,2015-05-21,1101,19.58
89,2015-05-22,1101,19.6
90,2015-05-25,1101,19.67
91,2015-05-26,1101,19.72
92,2015-05-27,1101,19.72
93,2015-05-28,1101,19.67
94,2015-05-29,1101,19.58
95,2015-06-01,1101,19.29
96,2015-06-02,1101,18.97
97,2015-06-03,1101,18.85
98,2015-06-04,1101,18.21
99,2015-06-05,1101,18.28
100,2015-06-08,1101,18.73
101,2015-06-09,1101,18.24
102,2015-06-10,1101,18.21
103,2015-06-11,1101,17.91
104,2015-06-12,1101,17.84
105,2015-06-15,1101,17.84
106,2015-06-16,1101,17.84
107,2015-06-17,1101,17.77
108,2015-06-18,1101,17.79
109,2015-06-22,1101,17.84
110,2015-06-23,1101,18.1
111,2015-06-24,1101,18.26
112,2015-06-25,1101,18.36
