stock_id,year_month,mean_market_value,rank
1101,2004-02,51394767521.666664,2.0
1101,2004-03,49521874510.82609,2.0
1101,2004-04,44637171596.86364,2.0
1101,2004-05,37498718547.0,2.0
1101,2004-06,36468034286.14286,2.0
1101,2004-07,39046674031.13636,2.0
1101,2004-08,40003887585.5,2.0
1101,2004-09,46577570204.28571,2.0
1101,2004-10,48814353309.15,2.0
1101,2004-11,49824554264.681816,2.0
1101,2004-12,53398427727.391304,2.0
1101,2005-01,54036588237.61905,2.0
1101,2005-02,53668313394.38461,2.0
1101,2005-03,52863523184.26087,2.0
1101,2005-04,48854039775.3,2.0
1101,2005-05,48442686404.38095,2.0
1101,2005-06,50780637311.63636,2.0
1101,2005-07,52333219970.6,2.0
1101,2005-08,53540650636.22727,2.0
1101,2005-09,53160966263.52381,2.0
1101,2005-10,56127043128.15,2.0
1101,2005-11,57226308260.27273,2.0
1101,2005-12,61714522038.5,2.0
1101,2006-01,65742027460.166664,2.0
1101,2006-02,68101838967.23529,2.0
1101,2006-03,70045529756.60869,2.0
1101,2006-04,69641112046.8421,2.0
1101,2006-05,72790513633.61905,2.0
1101,2006-06,69270475474.40909,2.0
1101,2006-07,71390582844.95238,2.0
1101,2006-08,70885457124.04347,2.0
1101,2006-09,70465756292.14285,2.0
1101,2006-10,80731500601.47368,2.0
1101,2006-11,84329089002.0,2.0
1101,2006-12,91241309412.0,2.0
1101,2007-01,89956613901.45454,2.0
1101,2007-02,86082744920.83333,2.0
1101,2007-03,81682895531.90909,2.0
1101,2007-04,90537960668.52632,2.0
1101,2007-05,99850929778.63637,2.0
1101,2007-06,110856182009.36842,2.0
1101,2007-07,127062129045.59091,2.0
1101,2007-08,126582489157.08696,2.0
1101,2007-09,143121578158.52942,2.0
1101,2007-10,173691341044.22726,2.0
1101,2007-11,155454673142.9091,2.0
1101,2007-12,147859401566.38095,2.0
1101,2008-01,154790179170.77274,2.0
1101,2008-02,162571087158.57144,2.0
1101,2008-03,181057379779.4762,2.0
1101,2008-04,178535818526.57144,2.0
1101,2008-05,164427451271.14285,2.0
1101,2008-06,149940076342.4762,2.0
1101,2008-07,130181752403.5,2.0
1101,2008-08,108778506565.90475,2.0
1101,2008-09,80289898633.90475,2.0
1101,2008-10,56834927047.681816,2.0
1101,2008-11,68745830317.26315,2.0
1101,2008-12,83556854935.95653,2.0
1101,2009-01,83330036130.46153,2.0
1101,2009-02,86575994915.05,2.0
1101,2009-03,91200753789.22728,2.0
1101,2009-04,106195118428.90909,2.0
1101,2009-05,111120080511.66667,2.0
1101,2009-06,102935365504.14285,2.0
1101,2009-07,108691902005.43478,2.0
1101,2009-08,117687056877.05,2.0
1101,2009-09,118525813502.04546,2.0
1101,2009-10,120321545794.18182,2.0
1101,2009-11,115296702040.85715,2.0
1101,2009-12,111518879110.39131,2.0
2330,2004-02,1276796995992.0,1.0
2330,2004-03,1258733270375.8262,1.0
2330,2004-04,1240869807793.0908,1.0
2330,2004-05,1130105277631.6191,1.0
2330,2004-06,990651637479.8096,1.0
2330,2004-07,929331877861.8096,1.0
2330,2004-08,1053700110000.35,1.0
2330,2004-09,1041885225144.0,1.0
2330,2004-10,1008085127551.85,1.0
2330,2004-11,1109537294538.8635,1.0
2330,2004-12,1144801109585.4783,1.0
2330,2005-01,1125158328272.1,1.0
2330,2005-02,1253812752346.8462,1.0
2330,2005-03,1206069129727.0435,1.0
2330,2005-04,1194615860103.35,1.0
2330,2005-05,1280346953111.0,1.0
2330,2005-06,1314209564656.1365,1.0
2330,2005-07,1368486829800.9,1.0
2330,2005-08,1308155554286.1365,1.0
2330,2005-09,1297452268782.238,1.0
2330,2005-10,1272512810811.8,1.0
2330,2005-11,1398625075007.8635,1.0
2330,2005-12,1536520853797.2727,1.0
2330,2006-01,1578527681638.2778,1.0
2330,2006-02,1546159477196.1177,1.0
2330,2006-03,1505190010326.261,1.0
2330,2006-04,1667608498010.1052,1.0
2330,2006-05,1581048606232.1904,1.0
2330,2006-06,1435528879262.8635,1.0
2330,2006-07,1420762497669.8096,1.0
2330,2006-08,1471017499040.7827,1.0
2330,2006-09,1523930759059.3333,1.0
2330,2006-10,1588935029483.5264,1.0
2330,2006-11,1603143902539.9092,1.0
2330,2006-12,1701126290714.6191,1.0
2330,2007-01,1765242433027.9546,1.0
2330,2007-02,1753817675388.0,1.0
2330,2007-03,1753856801270.2273,1.0
2330,2007-04,1771499161044.2104,1.0
2330,2007-05,1758167719936.9092,1.0
2330,2007-06,1759105159163.842,1.0
2330,2007-07,1854830756701.5908,1.0
2330,2007-08,1630941534027.5652,1.0
2330,2007-09,1631846989500.0,1.0
2330,2007-10,1663883466112.0454,1.0
2330,2007-11,1612483818079.1365,1.0
2330,2007-12,1596671621059.6667,1.0
2330,2008-01,1475338028234.318,1.0
2330,2008-02,1621079019569.2856,1.0
2330,2008-03,1653999023846.238,1.0
2330,2008-04,1662353836921.0476,1.0
2330,2008-05,1728679151899.8572,1.0
2330,2008-06,1677907440011.0952,1.0
2330,2008-07,1505060605733.0,1.0
2330,2008-08,1549142266592.3333,1.0
2330,2008-09,1398127055218.9048,1.0
2330,2008-10,1185983709074.1365,1.0
2330,2008-11,1080749940074.7368,1.0
2330,2008-12,1095272187611.6522,1.0
2330,2009-01,1085920983708.4615,1.0
2330,2009-02,1139748878539.95,1.0
2330,2009-03,1259716007727.0908,1.0
2330,2009-04,1326691200001.0908,1.0
2330,2009-05,1451154447026.2778,1.0
2330,2009-06,1416158793967.0,1.0
2330,2009-07,1425491440384.739,1.0
2330,2009-08,1500941529419.55,1.0
2330,2009-09,1604161378963.7727,1.0
2330,2009-10,1601218611538.318,1.0
2330,2009-11,1587939723860.476,1.0
2330,2009-12,1618972455362.6086,1.0
